merchant_id,application_id
M00564,A031039
M00565,A031440
M00566,A033552
M00567,A025083
M00568,A037152
M00569,A023314
M00570,A029977
M00571,A018898
M00572,A010448
M00573,A028396
M00574,A026667
M00575,A026072
M00576,A004404
M00577,A013575
M00578,A045635
M00579,A022713
M00580,A000926
M00581,A045621
M00582,A036953
M00583,A048001
M00584,A003909
M00585,A006066
M00586,A021254
M00587,A006357
M00588,A001207
M00589,A027856
M00590,A013456
M00591,A011684
M00592,A002362
M00593,A013579
M00594,A035042
M00595,A035137
M00596,A016822
M00597,A004109
M00598,A040999
M00599,A040246
M00600,A035819
M00601,A049385
M00602,A030764
M00603,A049202
M00604,A016229
M00605,A039735
M00606,A014559
M00607,A027715
M00608,A040190
M00609,A006475
M00610,A006300
M00611,A013868
M00612,A039436
M00613,A015792
M00614,A048602
M00615,A013014
M00616,A023539
M00617,A045276
M00618,A026141
M00619,A032257
M00620,A032346
M00621,A007577
M00622,A040602
M00623,A048795
M00624,A008431
M00625,A019270
M00626,A023566
M00627,A025004
M00628,A002650
M00629,A044052
M00630,A029987
M00631,A012043
M00632,A013293
M00633,A034346
M00634,A038519
M00635,A020323
M00636,A008368
M00637,A001228
M00638,A004879
M00639,A026004
M00640,A028303
M00641,A019273
M00642,A046919
M00643,A043850
M00644,A048364
M00645,A047462
M00646,A011666
M00647,A002402
M00648,A011602
M00649,A016732
M00650,A040219
M00651,A012700
M00652,A005255
M00653,A030244
M00654,A000469
M00655,A028117
M00656,A038065
M00657,A038357
M00658,A002472
M00659,A022672
M00660,A036836
M00661,A030500
M00662,A038533
M00663,A021967
M00664,A042673
M00665,A049516
M00666,A047034
M00667,A026946
M00668,A042429
M00669,A032388
M00670,A007320
M00671,A013351
M00672,A009031
M00673,A011979
M00674,A008469
M00675,A044934
M00676,A033891
M00677,A016514
M00678,A017175
M00679,A032931
M00680,A023347
M00681,A000677
M00682,A012111
M00683,A032343
M00684,A041704
M00685,A044170
M00686,A016370
M00687,A010593
M00688,A012658
M00689,A044089
M00690,A034461
M00691,A003789
M00692,A032717
M00693,A023052
M00694,A048029
M00695,A048574
M00696,A035242
M00697,A016493
M00698,A037027
M00699,A037041
M00700,A038940
M00701,A005500
M00702,A021839
M00703,A002929
M00704,A014349
M00705,A002000
M00706,A010507
M00707,A026712
M00708,A030237
M00709,A048239
M00710,A032072
M00711,A025643
M00712,A029174
M00713,A039891
M00714,A041680
M00715,A017927
M00716,A024432
M00717,A028795
M00718,A015670
M00719,A005130
M00720,A047545
M00721,A012204
M00722,A048283
M00723,A046483
M00724,A034000
M00725,A032416
M00726,A017603
M00727,A017915
M00728,A004868
M00729,A040025
M00730,A020303
M00731,A036028
M00732,A020878
M00733,A047557
M00734,A038826
M00735,A002779
M00736,A023658
M00737,A023555
M00738,A033918
M00739,A006687
M00740,A019518
M00741,A007483
M00742,A010396
M00743,A040286
M00744,A029175
M00745,A034094
M00746,A011402
M00747,A000095
M00748,A021979
M00749,A010234
M00750,A039233
M00751,A041837
M00752,A021766
M00753,A049620
M00754,A004928
M00755,A017932
M00756,A017792
M00757,A031557
M00758,A041916
M00759,A001580
M00760,A023588
M00761,A023717
M00762,A022110
M00763,A014004
M00764,A026624
M00765,A032979
M00766,A038085
M00767,A018685
M00768,A041506
M00769,A002386
M00770,A011667
M00771,A035735
M00772,A044992
M00773,A005721
M00774,A012871
M00775,A024237
M00776,A006515
M00777,A013689
M00778,A022927
M00779,A008985
M00780,A020566
M00781,A031189
M00782,A035964
M00783,A000144
M00784,A003425
M00785,A002875
M00786,A012518
M00787,A010208
M00788,A006493
M00789,A042043
M00790,A000467
M00791,A000041
M00792,A038824
M00793,A043549
M00794,A047010
M00795,A013557
M00796,A000242
M00797,A031421
M00798,A028899
M00799,A031484
M00800,A037453
M00801,A031668
M00802,A044038
M00803,A039979
M00804,A003047
M00805,A021550
M00806,A040415
M00807,A003638
M00808,A024873
M00809,A001727
M00810,A032121
M00811,A002338
M00812,A020322
M00813,A009770
M00814,A040745
M00815,A013876
M00816,A025657
M00817,A021419
M00818,A010364
M00819,A049343
M00820,A046646
M00821,A049869
M00822,A032426
M00823,A018052
M00824,A021153
M00825,A009260
M00826,A045184
M00827,A043441
M00828,A045829
M00829,A048504
M00830,A041948
M00831,A036945
M00832,A019988
M00833,A034553
M00834,A024562
M00835,A017578
M00836,A029522
M00837,A008930
M00838,A046103
M00839,A002528
M00840,A003650
M00841,A000821
M00842,A042109
M00843,A012927
M00844,A025983
M00845,A028021
M00846,A030487
M00847,A023968
M00848,A006504
M00849,A025548
M00850,A008309
M00851,A009663
M00852,A029655
M00853,A016137
M00854,A037173
M00855,A021348
M00856,A048134
M00857,A038203
M00858,A003951
M00859,A026499
M00860,A031736
M00861,A009179
M00862,A021337
M00863,A020928
M00864,A048142
M00865,A013135
M00866,A005822
M00867,A044837
M00868,A046109
M00869,A009317
M00870,A015803
M00871,A027088
M00872,A016501
M00873,A006895
M00874,A031320
M00875,A048587
M00876,A048771
M00877,A034664
M00878,A031229
M00879,A006716
M00880,A015641
M00881,A031291
M00882,A003529
M00883,A030889
M00884,A036518
M00885,A046761
M00886,A017403
M00887,A049131
M00888,A009060
M00889,A035143
M00890,A029489
M00891,A024597
M00892,A027706
M00893,A036714
M00894,A018582
M00895,A040784
M00896,A020442
M00897,A003340
M00898,A002111
M00899,A030426
M00900,A012448
M00901,A049582
M00902,A021139
M00903,A035862
M00904,A007710
M00905,A027176
M00906,A046712
M00907,A029689
M00908,A031225
M00909,A042967
M00910,A014237
M00911,A004155
M00912,A034829
M00913,A021068
M00914,A012054
M00915,A048990
M00916,A022410
M00917,A015193
M00918,A026391
M00919,A029318
M00920,A000192
M00921,A030818
M00922,A027699
M00923,A042396
M00924,A041463
M00925,A012948
M00926,A026677
M00927,A012233
M00928,A030885
M00929,A011964
M00930,A012809
M00931,A027564
M00932,A039497
M00933,A036654
M00934,A036850
M00935,A011052
M00936,A023987
M00937,A007341
M00938,A014309
M00939,A029276
M00940,A027715
M00941,A048983
M00942,A033407
M00943,A034430
M00944,A026158
M00945,A003005
M00946,A033716
M00947,A009032
M00948,A027354
M00949,A045032
M00950,A020056
M00951,A038032
M00952,A025284
M00953,A018179
M00954,A033541
M00955,A009030
M00956,A010066
M00957,A039532
M00958,A009729
M00959,A029253
M00960,A009921
M00961,A004794
M00962,A023718
M00963,A038418
M00964,A039374
M00965,A033488
M00966,A025198
M00967,A014372
M00968,A037397
M00969,A006087
M00970,A025351
M00971,A037180
M00972,A021035
M00973,A048957
M00974,A039904
M00975,A003489
M00976,A004171
M00977,A022882
M00978,A000665
M00979,A045316
M00980,A013631
M00981,A049396
M00982,A032867
M00983,A023888
M00984,A016002
M00985,A012152
M00986,A046961
M00987,A049800
M00988,A035315
M00989,A044322
M00990,A028224
M00991,A008172
M00992,A007960
M00993,A041587
M00994,A039878
M00995,A014556
M00996,A013693
M00997,A020541
M00998,A007784
M00999,A008793
M01000,A025251
M01001,A035621
M01002,A049550
M01003,A049267
M01004,A026463
M01005,A048025
M01006,A044930
M01007,A008136
M01008,A030939
M01009,A001139
M01010,A026480
M01011,A000466
M01012,A002093
M01013,A029173
M01014,A012141
M01015,A021108
M01016,A027501
M01017,A047961
M01018,A017539
M01019,A023485
M01020,A030010
M01021,A038702
M01022,A011399
M01023,A044479
M01024,A009558
M01025,A017668
M01026,A013834
M01027,A016453
M01028,A036714
M01029,A013175
M01030,A011332
M01031,A000714
M01032,A033005
M01033,A020662
M01034,A015511
M01035,A019431
M01036,A019814
M01037,A039314
M01038,A022728
M01039,A018954
M01040,A032740
M01041,A042529
M01042,A022338
M01043,A007865
M01044,A013805
M01045,A000755
M01046,A009459
M01047,A001254
M01048,A028953
M01049,A026030
M01050,A044208
M01051,A036970
M01052,A027752
M01053,A029124
M01054,A028172
M01055,A036356
M01056,A018684
M01057,A049850
M01058,A006813
M01059,A036514
M01060,A010926
M01061,A012874
M01062,A000700
M01063,A041747
M01064,A001725
M01065,A007269
M01066,A016496
M01067,A008460
M01068,A028173
M01069,A045386
M01070,A047358
M01071,A014491
M01072,A028941
M01073,A041806
M01074,A040515
M01075,A026697
M01076,A048938
M01077,A036989
M01078,A040996
M01079,A020303
M01080,A015618
M01081,A045322
M01082,A001456
M01083,A000947
M01084,A029019
M01085,A023351
M01086,A022925
M01087,A044373
M01088,A036538
M01089,A039497
M01090,A037476
M01091,A017772
M01092,A000815
M01093,A049115
M01094,A011113
M01095,A031698
M01096,A046570
M01097,A009973
M01098,A047077
M01099,A042752
M01100,A035655
M01101,A035262
M01102,A048253
M01103,A006838
M01104,A022912
M01105,A011525
M01106,A008708
M01107,A013012
M01108,A011527
M01109,A017077
M01110,A002343
M01111,A043057
M01112,A022426
M01113,A037563
M01114,A003677
M01115,A036548
M01116,A024465
M01117,A020864
M01118,A035106
M01119,A007870
M01120,A000196
M01121,A015773
M01122,A003970
M01123,A013735
M01124,A039263
M01125,A010116
M01126,A014327
M01127,A022236
M01128,A015748
M01129,A028925
M01130,A000312
M01131,A006569
M01132,A013683
M01133,A024403
M01134,A022553
M01135,A007766
M01136,A027449
M01137,A031195
M01138,A027326
M01139,A042650
M01140,A000010
M01141,A026293
M01142,A036332
M01143,A049480
M01144,A006332
M01145,A047262
M01146,A002108
M01147,A000891
M01148,A036777
M01149,A004363
M01150,A001800
M01151,A002634
M01152,A014146
M01153,A009949
M01154,A040593
M01155,A005560
M01156,A018819
M01157,A015984
M01158,A003527
M01159,A035143
M01160,A010600
M01161,A016042
M01162,A004605
M01163,A029006
M01164,A046591
M01165,A021370
M01166,A035329
M01167,A012381
M01168,A045853
M01169,A028525
M01170,A029974
M01171,A025211
M01172,A016179
M01173,A045802
M01174,A021841
M01175,A016205
M01176,A017534
M01177,A037189
M01178,A001458
M01179,A033234
M01180,A042487
M01181,A022150
M01182,A038427
M01183,A029585
M01184,A036861
M01185,A023489
M01186,A038899
M01187,A036755
M01188,A024417
M01189,A013652
M01190,A017776
M01191,A036207
M01192,A012033
M01193,A028715
M01194,A047855
M01195,A023131
M01196,A009565
M01197,A031895
M01198,A048776
M01199,A019755
M01200,A003055
M01201,A013307
M01202,A038368
M01203,A004107
M01204,A004944
M01205,A036938
M01206,A008738
M01207,A049001
M01208,A040339
M01209,A027518
M01210,A041068
M01211,A004886
M01212,A023389
M01213,A000968
M01214,A028273
M01215,A047703
M01216,A023529
M01217,A023835
M01218,A037781
M01219,A031617
M01220,A007711
M01221,A007527
M01222,A015625
M01223,A046356
M01224,A031818
M01225,A029013
M01226,A007438
M01227,A035663
M01228,A003732
M01229,A030297
M01230,A012808
M01231,A021150
M01232,A042352
M01233,A044833
M01234,A038189
M01235,A014081
M01236,A026373
M01237,A033051
M01238,A020095
M01239,A011454
M01240,A044895
M01241,A019640
M01242,A040182
M01243,A016972
M01244,A044118
M01245,A009420
M01246,A011509
M01247,A033855
M01248,A038167
M01249,A029295
M01250,A036679
M01251,A042006
M01252,A047793
M01253,A040101
M01254,A009262
M01255,A013988
M01256,A031989
M01257,A026724
M01258,A047086
M01259,A005022
M01260,A046895
M01261,A003453
M01262,A038399
M01263,A027421
M01264,A007082
M01265,A008276
M01266,A016770
M01267,A023396
M01268,A005625
M01269,A027341
M01270,A002769
M01271,A022907
M01272,A009949
M01273,A005139
M01274,A011504
M01275,A032208
M01276,A032276
M01277,A049873
M01278,A018434
M01279,A023939
M01280,A045103
M01281,A023241
M01282,A020101
M01283,A012460
M01284,A011921
M01285,A035402
M01286,A016797
M01287,A026246
M01288,A018940
M01289,A022008
M01290,A040339
M01291,A007553
M01292,A044402
M01293,A043604
M01294,A016217
M01295,A015564
M01296,A047252
M01297,A031322
M01298,A038343
M01299,A015541
M01300,A034056
M01301,A026360
M01302,A019106
M01303,A027123
M01304,A028573
M01305,A041943
M01306,A036178
M01307,A005318
M01308,A037782
M01309,A028950
M01310,A046937
M01311,A037695
M01312,A008025
M01313,A012976
M01314,A015228
M01315,A007066
M01316,A046717
M01317,A033136
M01318,A021113
M01319,A015104
M01320,A035824
M01321,A038054
M01322,A004521
M01323,A046442
M01324,A010918
M01325,A049576
M01326,A011565
M01327,A025480
M01328,A017815
M01329,A003071
M01330,A043514
M01331,A038723
M01332,A018706
M01333,A027621
M01334,A035588
M01335,A023600
M01336,A021488
M01337,A021487
M01338,A022353
M01339,A020646
M01340,A031428
M01341,A045796
M01342,A049297
M01343,A020449
M01344,A041092
M01345,A009433
M01346,A041436
M01347,A003061
M01348,A019889
M01349,A024736
M01350,A046357
M01351,A046705
M01352,A003601
M01353,A016748
M01354,A014765
M01355,A012467
M01356,A048028
M01357,A006787
M01358,A032746
M01359,A000043
M01360,A038235
M01361,A017202
M01362,A003206
M01363,A009216
M01364,A038816
M01365,A003945
M01366,A027164
M01367,A032657
M01368,A009614
M01369,A005832
M01370,A010596
M01371,A011076
M01372,A008946
M01373,A042043
M01374,A031872
M01375,A035776
M01376,A006705
M01377,A005595
M01378,A031662
M01379,A007590
M01380,A038208
M01381,A033335
M01382,A011280
M01383,A006302
M01384,A013176
M01385,A033732
M01386,A025653
M01387,A010230
M01388,A007131
M01389,A015086
M01390,A002035
M01391,A016333
M01392,A017257
M01393,A003069
M01394,A017609
M01395,A048805
M01396,A033761
M01397,A018632
M01398,A005651
M01399,A025296
M01400,A011557
M01401,A014565
M01402,A023549
M01403,A048677
M01404,A012574
M01405,A012787
M01406,A038452
M01407,A027444
M01408,A029455
M01409,A015370
M01410,A031574
M01411,A002452
M01412,A044593
M01413,A021326
M01414,A011668
M01415,A013804
M01416,A046829
M01417,A013401
M01418,A011168
M01419,A017926
M01420,A017976
M01421,A042359
M01422,A014602
M01423,A042271
M01424,A038624
M01425,A030932
M01426,A031543
M01427,A025174
M01428,A003240
M01429,A031815
M01430,A003369
M01431,A021517
M01432,A031087
M01433,A027548
M01434,A004911
M01435,A012069
M01436,A034310
M01437,A046515
M01438,A013655
M01439,A048149
M01440,A044344
M01441,A025074
M01442,A031609
M01443,A003291
M01444,A036925
M01445,A038839
M01446,A024876
M01447,A038379
M01448,A001479
M01449,A048700
M01450,A020222
M01451,A048921
M01452,A019337
M01453,A031721
M01454,A017365
M01455,A035578
M01456,A045878
M01457,A017542
M01458,A036503
M01459,A048379
M01460,A044872
M01461,A043407
M01462,A001131
M01463,A049165
M01464,A028209
M01465,A038033
M01466,A042907
M01467,A002759
M01468,A028854
M01469,A031006
M01470,A029344
M01471,A029131
M01472,A007469
M01473,A039209
M01474,A001774
M01475,A015039
M01476,A045548
M01477,A010290
M01478,A043886
M01479,A012092
M01480,A032448
M01481,A022657
M01482,A029918
M01483,A010100
M01484,A003917
M01485,A022537
M01486,A033551
M01487,A037905
M01488,A014767
M01489,A043920
M01490,A033549
M01491,A001426
M01492,A025441
M01493,A049419
M01494,A002205
M01495,A009846
M01496,A022145
M01497,A042227
M01498,A030604
M01499,A017748
M01500,A019804
M01501,A039917
M01502,A008316
M01503,A041644
M01504,A004463
M01505,A020872
M01506,A030853
M01507,A028216
M01508,A044499
M01509,A027441
M01510,A017127
M01511,A005951
M01512,A022245
M01513,A019858
M01514,A043834
M01515,A036380
M01516,A007880
M01517,A016106
M01518,A038709
M01519,A027356
M01520,A042346
M01521,A009360
M01522,A049337
M01523,A040626
M01524,A029432
M01525,A022767
M01526,A011314
M01527,A040451
M01528,A005988
M01529,A043494
M01530,A047490
M01531,A022828
M01532,A022393
M01533,A007802
M01534,A045943
M01535,A038838
M01536,A031230
M01537,A018271
M01538,A011396
M01539,A038481
M01540,A040260
M01541,A025853
M01542,A046898
M01543,A019144
M01544,A043517
M01545,A019596
M01546,A002367
M01547,A010157
M01548,A044094
M01549,A039708
M01550,A035748
M01551,A014267
M01552,A033465
M01553,A030803
M01554,A012854
M01555,A007001
M01556,A009524
M01557,A021639
M01558,A019948
M01559,A035727
M01560,A043628
M01561,A010111
M01562,A006333
M01563,A025867
M01564,A044598
M01565,A021376
M01566,A021437
M01567,A004625
M01568,A040602
M01569,A038755
M01570,A040108
M01571,A016190
M01572,A049033
M01573,A013437
M01574,A025012
M01575,A025090
M01576,A030510
M01577,A043177
M01578,A020158
M01579,A007051
M01580,A033716
M01581,A000681
M01582,A001379
M01583,A037941
M01584,A010939
M01585,A048578
M01586,A039595
M01587,A036993
M01588,A041649
M01589,A028978
M01590,A003465
M01591,A044252
M01592,A014777
M01593,A027935
M01594,A014040
M01595,A029756
M01596,A018864
M01597,A018081
M01598,A031075
M01599,A047908
M01600,A041838
M01601,A020721
M01602,A044404
M01603,A014436
M01604,A025179
M01605,A024411
M01606,A025100
M01607,A039947
M01608,A005696
M01609,A007932
M01610,A014069
M01611,A033699
M01612,A005900
M01613,A040213
M01614,A032425
M01615,A021126
M01616,A034807
M01617,A009512
M01618,A042252
M01619,A029763
M01620,A013391
M01621,A040498
M01622,A049176
M01623,A010337
M01624,A043651
M01625,A022091
M01626,A032539
M01627,A006498
M01628,A047169
M01629,A008237
M01630,A007589
M01631,A040643
M01632,A044960
M01633,A029129
M01634,A041231
M01635,A004639
M01636,A005803
M01637,A047159
M01638,A007664
M01639,A016306
M01640,A026425
M01641,A010342
M01642,A038742
M01643,A031380
M01644,A024867
M01645,A036841
M01646,A020939
M01647,A018896
M01648,A018238
M01649,A007604
M01650,A002573
M01651,A048652
M01652,A014375
M01653,A026798
M01654,A032517
M01655,A005098
M01656,A015484
M01657,A046607
M01658,A023456
M01659,A022263
M01660,A041398
M01661,A035846
M01662,A009409
M01663,A013872
M01664,A040133
M01665,A034352
M01666,A023640
M01667,A029390
M01668,A045699
M01669,A028821
M01670,A001729
M01671,A006893
M01672,A009682
M01673,A026855
M01674,A022711
M01675,A032021
M01676,A026261
M01677,A046959
M01678,A026354
M01679,A048495
M01680,A031013
M01681,A033453
M01682,A005099
M01683,A004631
M01684,A008061
M01685,A045310
M01686,A017955
M01687,A012951
M01688,A024911
M01689,A035590
M01690,A014285
M01691,A035551
M01692,A028546
M01693,A016104
M01694,A009280
M01695,A012345
M01696,A019012
M01697,A037912
M01698,A031559
M01699,A015823
M01700,A026094
M01701,A009659
M01702,A013494
M01703,A017282
M01704,A047114
M01705,A042527
M01706,A040061
M01707,A004144
M01708,A026282
M01709,A015207
M01710,A016659
M01711,A033243
M01712,A049341
M01713,A035968
M01714,A003888
M01715,A001136
M01716,A014220
M01717,A049939
M01718,A008965
M01719,A023412
M01720,A019172
M01721,A038617
M01722,A015744
M01723,A029564
M01724,A035365
M01725,A005720
M01726,A036650
M01727,A037728
M01728,A001316
M01729,A021682
M01730,A012662
M01731,A027732
M01732,A020278
M01733,A027298
M01734,A033770
M01735,A003106
M01736,A040225
M01737,A049388
M01738,A020053
M01739,A004221
M01740,A025026
M01741,A038341
M01742,A010833
M01743,A037488
M01744,A027965
M01745,A000324
M01746,A021451
M01747,A023068
