merchant_id,bank_id
M00634,B056
M00635,B039
M00636,B006
M00637,B002
M00638,B067
M00639,B043
M00640,B036
M00641,B097
M00642,B047
M00643,B080
M00644,B052
M00645,B046
M00646,B093
M00647,B091
M00648,B042
M00649,B001
M00650,B003
M00651,B095
M00652,B080
M00653,B067
M00654,B075
M00655,B059
M00656,B039
M00657,B063
M00658,B035
M00659,B089
M00660,B067
M00661,B086
M00662,B035
M00663,B026
M00664,B019
M00665,B059
M00666,B079
M00667,B076
M00668,B043
M00669,B065
M00670,B023
M00671,B052
M00672,B059
M00673,B077
M00674,B006
M00675,B092
M00676,B009
M00677,B079
M00678,B001
M00679,B044
M00680,B084
M00681,B064
M00682,B064
M00683,B090
M00684,B045
M00685,B034
M00686,B035
M00687,B053
M00688,B074
M00689,B007
M00690,B020
M00691,B046
M00692,B069
M00693,B092
M00694,B024
M00695,B095
M00696,B080
M00697,B009
M00698,B096
M00699,B034
M00700,B036
M00701,B097
M00702,B096
M00703,B080
M00704,B039
M00705,B045
M00706,B065
M00707,B052
M00708,B045
M00709,B018
M00710,B004
M00711,B061
M00712,B051
M00713,B070
M00714,B083
M00715,B093
M00716,B039
M00717,B036
M00718,B072
M00719,B078
M00720,B067
M00721,B015
M00722,B093
M00723,B094
M00724,B054
M00725,B021
M00726,B075
M00727,B097
M00728,B090
M00729,B047
M00730,B076
M00731,B062
M00732,B015
M00733,B034
M00734,B092
M00735,B096
M00736,B025
M00737,B094
M00738,B055
M00739,B025
M00740,B023
M00741,B028
M00742,B037
M00743,B069
M00744,B057
M00745,B079
M00746,B078
M00747,B087
M00748,B005
M00749,B033
M00750,B027
M00751,B038
M00752,B036
M00753,B092
M00754,B013
M00755,B016
M00756,B038
M00757,B065
M00758,B074
M00759,B032
M00760,B040
M00761,B080
M00762,B011
M00763,B057
M00764,B008
M00765,B035
M00766,B057
M00767,B089
M00768,B018
M00769,B005
M00770,B062
M00771,B087
M00772,B056
M00773,B094
M00774,B023
M00775,B024
M00776,B082
M00777,B011
M00778,B030
M00779,B066
M00780,B004
M00781,B071
M00782,B055
M00783,B081
M00784,B035
M00785,B098
M00786,B056
M00787,B061
M00788,B062
M00789,B092
M00790,B081
M00791,B002
M00792,B038
M00793,B058
M00794,B021
M00795,B041
M00796,B038
M00797,B040
M00798,B083
M00799,B079
M00800,B007
M00801,B090
M00802,B022
M00803,B042
M00804,B100
M00805,B004
M00806,B064
M00807,B057
M00808,B001
M00809,B015
M00810,B020
M00811,B011
M00812,B080
M00813,B079
M00814,B090
M00815,B077
M00816,B053
M00817,B071
M00818,B059
M00819,B063
M00820,B094
M00821,B025
M00822,B081
M00823,B011
M00824,B017
M00825,B084
M00826,B043
M00827,B064
M00828,B063
M00829,B053
M00830,B072
M00831,B090
M00832,B004
M00833,B078
M00834,B090
M00835,B001
M00836,B034
M00837,B028
M00838,B069
M00839,B075
M00840,B062
M00841,B061
M00842,B003
M00843,B066
M00844,B084
M00845,B021
M00846,B083
M00847,B031
M00848,B029
M00849,B062
M00850,B062
M00851,B002
M00852,B003
M00853,B049
M00854,B042
M00855,B016
M00856,B005
M00857,B026
M00858,B058
M00859,B024
M00860,B010
M00861,B017
M00862,B100
M00863,B006
M00864,B064
M00865,B081
M00866,B004
M00867,B057
M00868,B045
M00869,B069
M00870,B038
M00871,B036
M00872,B093
M00873,B046
M00874,B076
M00875,B038
M00876,B024
M00877,B056
M00878,B063
M00879,B038
M00880,B036
M00881,B036
M00882,B006
M00883,B060
M00884,B010
M00885,B057
M00886,B059
M00887,B097
M00888,B098
M00889,B084
M00890,B049
M00891,B056
M00892,B081
M00893,B091
M00894,B001
M00895,B017
M00896,B050
M00897,B059
M00898,B044
M00899,B023
M00900,B007
M00901,B087
M00902,B053
M00903,B063
M00904,B079
M00905,B065
M00906,B098
M00907,B085
M00908,B035
M00909,B095
M00910,B096
M00911,B062
M00912,B071
M00913,B003
M00914,B096
M00915,B022
M00916,B063
M00917,B012
M00918,B084
M00919,B076
M00920,B061
M00921,B014
M00922,B018
M00923,B089
M00924,B042
M00925,B006
M00926,B009
M00927,B004
M00928,B012
M00929,B059
M00930,B023
M00931,B067
M00932,B066
M00933,B028
M00934,B042
M00935,B072
M00936,B065
M00937,B084
M00938,B068
M00939,B072
M00940,B099
M00941,B081
M00942,B056
M00943,B086
M00944,B004
M00945,B023
M00946,B055
M00947,B085
M00948,B040
M00949,B071
M00950,B012
M00951,B094
M00952,B016
M00953,B032
M00954,B091
M00955,B005
M00956,B051
M00957,B089
M00958,B067
M00959,B026
M00960,B093
M00961,B070
M00962,B012
M00963,B010
M00964,B003
M00965,B083
M00966,B021
M00967,B070
M00968,B006
M00969,B037
M00970,B039
M00971,B100
M00972,B091
M00973,B083
M00974,B059
M00975,B084
M00976,B015
M00977,B009
M00978,B047
M00979,B090
M00980,B032
M00981,B051
M00982,B026
M00983,B043
M00984,B088
M00985,B063
M00986,B028
M00987,B002
M00988,B086
M00989,B029
M00990,B014
M00991,B070
M00992,B058
M00993,B049
M00994,B060
M00995,B003
M00996,B019
M00997,B080
M00998,B074
M00999,B086
M01000,B013
M01001,B035
M01002,B052
M01003,B092
M01004,B084
M01005,B005
M01006,B089
M01007,B062
M01008,B045
M01009,B041
M01010,B043
M01011,B078
M01012,B082
M01013,B065
M01014,B018
M01015,B074
M01016,B093
M01017,B009
M01018,B015
M01019,B035
M01020,B049
M01021,B070
M01022,B048
M01023,B031
M01024,B024
M01025,B003
M01026,B016
M01027,B079
M01028,B100
M01029,B071
M01030,B032
M01031,B022
M01032,B024
M01033,B030
M01034,B011
M01035,B037
M01036,B089
M01037,B056
M01038,B040
M01039,B011
M01040,B080
M01041,B027
M01042,B079
M01043,B024
M01044,B081
M01045,B015
M01046,B001
M01047,B022
M01048,B080
M01049,B027
M01050,B071
M01051,B096
M01052,B057
M01053,B003
M01054,B090
M01055,B061
M01056,B045
M01057,B072
M01058,B028
M01059,B062
M01060,B005
M01061,B043
M01062,B088
M01063,B062
M01064,B070
M01065,B047
M01066,B030
M01067,B048
M01068,B099
M01069,B032
M01070,B083
M01071,B064
M01072,B070
M01073,B082
M01074,B017
M01075,B085
M01076,B069
M01077,B100
M01078,B021
M01079,B046
M01080,B066
M01081,B024
M01082,B084
M01083,B065
M01084,B089
M01085,B082
M01086,B001
M01087,B019
M01088,B016
M01089,B067
M01090,B074
M01091,B046
M01092,B100
M01093,B023
M01094,B032
M01095,B008
M01096,B083
M01097,B016
M01098,B068
M01099,B100
M01100,B072
M01101,B037
M01102,B074
M01103,B069
M01104,B068
M01105,B056
M01106,B077
M01107,B031
M01108,B040
M01109,B003
M01110,B095
M01111,B045
M01112,B077
M01113,B047
M01114,B027
M01115,B069
M01116,B095
M01117,B078
M01118,B033
M01119,B071
M01120,B009
M01121,B086
M01122,B022
M01123,B027
M01124,B061
M01125,B072
M01126,B031
M01127,B018
M01128,B012
M01129,B033
M01130,B019
M01131,B041
M01132,B056
M01133,B010
M01134,B060
M01135,B052
M01136,B052
M01137,B094
M01138,B080
M01139,B073
M01140,B065
M01141,B076
M01142,B077
M01143,B050
M01144,B058
M01145,B029
M01146,B053
M01147,B016
M01148,B097
M01149,B023
M01150,B091
M01151,B037
M01152,B091
M01153,B025
M01154,B087
M01155,B071
M01156,B051
M01157,B048
M01158,B050
M01159,B092
M01160,B097
M01161,B027
M01162,B050
M01163,B074
M01164,B050
M01165,B045
M01166,B053
M01167,B076
M01168,B049
M01169,B095
M01170,B057
M01171,B014
M01172,B025
M01173,B017
M01174,B035
M01175,B065
M01176,B075
M01177,B036
M01178,B027
M01179,B069
M01180,B026
M01181,B019
M01182,B070
M01183,B062
M01184,B014
M01185,B074
M01186,B025
M01187,B058
M01188,B080
M01189,B016
M01190,B035
M01191,B021
M01192,B089
M01193,B057
M01194,B073
M01195,B066
M01196,B068
M01197,B044
M01198,B078
M01199,B082
M01200,B055
M01201,B036
M01202,B073
M01203,B050
M01204,B060
M01205,B097
M01206,B100
M01207,B011
M01208,B003
M01209,B027
M01210,B061
M01211,B047
M01212,B046
M01213,B098
M01214,B048
M01215,B007
M01216,B008
M01217,B056
M01218,B061
M01219,B008
M01220,B092
M01221,B054
M01222,B010
M01223,B001
M01224,B036
M01225,B037
M01226,B031
M01227,B015
M01228,B005
M01229,B089
M01230,B023
M01231,B043
M01232,B054
M01233,B049
M01234,B075
M01235,B026
M01236,B051
M01237,B062
M01238,B075
M01239,B045
M01240,B013
M01241,B037
M01242,B059
M01243,B002
M01244,B039
M01245,B032
M01246,B076
M01247,B055
M01248,B063
M01249,B014
M01250,B086
M01251,B075
M01252,B015
M01253,B075
M01254,B077
M01255,B068
M01256,B037
M01257,B062
M01258,B046
M01259,B053
M01260,B033
M01261,B070
M01262,B021
M01263,B009
M01264,B071
M01265,B097
M01266,B043
M01267,B036
M01268,B048
M01269,B098
M01270,B044
M01271,B089
M01272,B069
M01273,B037
M01274,B082
M01275,B013
M01276,B100
M01277,B099
M01278,B006
M01279,B042
M01280,B024
M01281,B041
M01282,B081
M01283,B011
M01284,B040
M01285,B095
M01286,B084
M01287,B083
M01288,B087
M01289,B010
M01290,B090
M01291,B089
M01292,B036
M01293,B042
M01294,B032
M01295,B086
M01296,B021
M01297,B029
M01298,B042
M01299,B057
M01300,B091
M01301,B053
M01302,B001
M01303,B042
M01304,B048
M01305,B007
M01306,B060
M01307,B096
M01308,B029
M01309,B090
M01310,B029
M01311,B002
M01312,B015
M01313,B052
M01314,B037
M01315,B011
M01316,B100
M01317,B081
M01318,B083
M01319,B026
M01320,B058
M01321,B093
M01322,B037
M01323,B009
M01324,B003
M01325,B043
M01326,B054
M01327,B005
M01328,B097
M01329,B031
M01330,B025
M01331,B074
M01332,B045
M01333,B096
M01334,B073
M01335,B021
M01336,B034
M01337,B060
M01338,B042
M01339,B022
M01340,B005
M01341,B054
M01342,B019
M01343,B029
M01344,B016
M01345,B054
M01346,B094
M01347,B044
M01348,B028
M01349,B063
M01350,B006
M01351,B026
M01352,B021
M01353,B017
M01354,B014
M01355,B094
M01356,B039
M01357,B048
M01358,B046
M01359,B077
M01360,B052
M01361,B002
M01362,B042
M01363,B055
M01364,B042
M01365,B060
M01366,B002
M01367,B075
M01368,B089
M01369,B001
M01370,B083
M01371,B049
M01372,B016
M01373,B009
M01374,B081
M01375,B066
M01376,B006
M01377,B049
M01378,B042
M01379,B028
M01380,B092
M01381,B010
M01382,B046
M01383,B070
M01384,B057
M01385,B026
M01386,B076
M01387,B052
M01388,B010
M01389,B020
M01390,B044
M01391,B088
M01392,B012
M01393,B082
M01394,B025
M01395,B033
M01396,B076
M01397,B058
M01398,B043
M01399,B001
M01400,B003
M01401,B085
M01402,B037
M01403,B052
M01404,B094
M01405,B073
M01406,B054
M01407,B058
M01408,B077
M01409,B001
M01410,B058
M01411,B092
M01412,B092
M01413,B099
M01414,B010
M01415,B056
M01416,B064
M01417,B004
M01418,B036
M01419,B097
M01420,B082
M01421,B086
M01422,B066
M01423,B031
M01424,B006
M01425,B099
M01426,B042
M01427,B097
M01428,B043
M01429,B043
M01430,B017
M01431,B071
M01432,B040
M01433,B023
M01434,B085
M01435,B022
M01436,B001
M01437,B010
M01438,B042
M01439,B066
M01440,B027
M01441,B085
M01442,B083
M01443,B067
M01444,B078
M01445,B054
M01446,B022
M01447,B071
M01448,B093
M01449,B079
M01450,B096
M01451,B057
M01452,B022
M01453,B083
M01454,B027
M01455,B039
M01456,B044
M01457,B065
M01458,B019
M01459,B009
M01460,B026
M01461,B039
M01462,B018
M01463,B038
M01464,B083
M01465,B028
M01466,B029
M01467,B087
M01468,B050
M01469,B068
M01470,B043
M01471,B048
M01472,B040
M01473,B038
M01474,B004
M01475,B088
M01476,B098
M01477,B020
M01478,B039
M01479,B050
M01480,B089
M01481,B022
M01482,B079
M01483,B035
M01484,B033
M01485,B080
M01486,B079
M01487,B082
M01488,B026
M01489,B011
M01490,B012
M01491,B050
M01492,B067
M01493,B023
M01494,B003
M01495,B078
M01496,B045
M01497,B042
M01498,B014
M01499,B031
M01500,B065
M01501,B099
M01502,B047
M01503,B064
M01504,B062
M01505,B084
M01506,B057
M01507,B069
M01508,B060
M01509,B022
M01510,B052
M01511,B027
M01512,B009
M01513,B014
M01514,B069
M01515,B022
M01516,B092
M01517,B066
M01518,B062
M01519,B017
M01520,B005
M01521,B050
M01522,B100
M01523,B071
M01524,B083
M01525,B008
M01526,B060
M01527,B097
M01528,B031
M01529,B065
M01530,B028
M01531,B012
M01532,B052
M01533,B064
M01534,B027
M01535,B047
M01536,B055
M01537,B049
M01538,B100
M01539,B069
M01540,B016
M01541,B075
M01542,B023
M01543,B025
M01544,B078
M01545,B003
M01546,B020
M01547,B054
M01548,B077
M01549,B015
M01550,B016
M01551,B079
M01552,B009
M01553,B014
M01554,B030
M01555,B090
M01556,B003
M01557,B059
M01558,B088
M01559,B099
M01560,B007
M01561,B017
M01562,B040
M01563,B094
M01564,B067
M01565,B048
M01566,B007
M01567,B071
M01568,B002
M01569,B030
M01570,B017
M01571,B019
M01572,B046
M01573,B079
M01574,B034
M01575,B081
M01576,B026
M01577,B076
M01578,B074
M01579,B082
M01580,B042
M01581,B013
M01582,B086
M01583,B007
M01584,B048
M01585,B089
M01586,B064
M01587,B038
M01588,B081
M01589,B053
M01590,B095
M01591,B023
M01592,B070
M01593,B069
M01594,B070
M01595,B047
M01596,B093
M01597,B043
M01598,B058
M01599,B041
M01600,B079
M01601,B022
M01602,B080
M01603,B012
M01604,B030
M01605,B052
M01606,B043
M01607,B077
M01608,B037
M01609,B062
M01610,B065
M01611,B004
M01612,B066
M01613,B054
M01614,B036
M01615,B073
M01616,B031
M01617,B017
M01618,B060
M01619,B010
M01620,B056
M01621,B088
M01622,B029
M01623,B021
M01624,B011
M01625,B018
M01626,B013
M01627,B018
M01628,B028
M01629,B093
M01630,B019
M01631,B005
M01632,B057
M01633,B024
M01634,B021
M01635,B024
M01636,B034
M01637,B004
M01638,B095
M01639,B060
M01640,B098
M01641,B077
M01642,B061
M01643,B097
M01644,B084
M01645,B068
M01646,B025
M01647,B091
M01648,B068
M01649,B065
M01650,B087
M01651,B009
M01652,B065
M01653,B013
M01654,B037
M01655,B060
M01656,B084
M01657,B058
M01658,B026
M01659,B099
M01660,B005
M01661,B028
M01662,B051
M01663,B054
M01664,B080
M01665,B067
M01666,B038
M01667,B029
M01668,B040
M01669,B094
M01670,B040
M01671,B075
M01672,B054
M01673,B016
M01674,B044
M01675,B092
M01676,B083
M01677,B029
M01678,B010
M01679,B019
M01680,B070
M01681,B045
M01682,B039
M01683,B017
M01684,B027
M01685,B055
M01686,B008
M01687,B098
M01688,B076
M01689,B044
M01690,B097
M01691,B018
M01692,B017
M01693,B061
M01694,B017
M01695,B053
M01696,B037
M01697,B001
M01698,B048
M01699,B040
M01700,B017
M01701,B055
M01702,B012
M01703,B090
M01704,B099
M01705,B054
M01706,B005
M01707,B030
M01708,B049
M01709,B017
M01710,B071
M01711,B090
M01712,B056
M01713,B095
M01714,B045
M01715,B073
M01716,B096
M01717,B095
M01718,B035
M01719,B078
M01720,B028
M01721,B065
M01722,B032
M01723,B092
M01724,B015
M01725,B003
M01726,B073
M01727,B044
M01728,B066
M01729,B064
M01730,B034
M01731,B056
M01732,B031
M01733,B015
M01734,B041
M01735,B008
M01736,B055
M01737,B005
M01738,B067
M01739,B064
M01740,B030
M01741,B052
M01742,B043
M01743,B003
M01744,B027
M01745,B082
M01746,B091
M01747,B083
M01748,B070
M01749,B051
M01750,B095
M01751,B069
M01752,B061
M01753,B056
M01754,B081
M01755,B039
M01756,B024
M01757,B033
M01758,B097
M01759,B030
M01760,B024
M01761,B032
M01762,B036
M01763,B018
M01764,B074
M01765,B041
M01766,B057
M01767,B032
M01768,B027
M01769,B032
M01770,B008
M01771,B053
M01772,B045
M01773,B005
M01774,B078
M01775,B048
M01776,B002
M01777,B037
M01778,B005
M01779,B041
M01780,B023
M01781,B033
M01782,B005
M01783,B069
M01784,B047
M01785,B083
M01786,B081
M01787,B056
M01788,B062
M01789,B001
M01790,B047
M01791,B098
M01792,B047
M01793,B056
M01794,B040
M01795,B003
M01796,B089
M01797,B031
M01798,B049
M01799,B006
M01800,B007
M01801,B051
M01802,B013
M01803,B003
M01804,B070
M01805,B036
M01806,B084
M01807,B018
M01808,B034
M01809,B042
M01810,B099
M01811,B012
M01812,B023
M01813,B014
M01814,B027
M01815,B082
M01816,B004
M01817,B049
M01818,B084
M01819,B030
M01820,B042
M01821,B058
M01822,B100
M01823,B005
M01824,B047
M01825,B012
M01826,B064
M01827,B043
M01828,B095
M01829,B032
M01830,B084
M01831,B051
M01832,B029
M01833,B028
M01834,B051
M01835,B065
M01836,B053
M01837,B010
M01838,B054
M01839,B060
M01840,B014
M01841,B082
M01842,B052
M01843,B056
M01844,B046
M01845,B100
M01846,B041
M01847,B052
M01848,B063
M01849,B039
M01850,B040
M01851,B097
M01852,B001
M01853,B043
M01854,B077
M01855,B051
M01856,B006
M01857,B065
M01858,B034
M01859,B066
M01860,B051
M01861,B033
M01862,B028
M01863,B038
M01864,B073
M01865,B057
M01866,B044
M01867,B098
M01868,B013
M01869,B092
M01870,B076
M01871,B099
M01872,B043
M01873,B019
M01874,B007
M01875,B042
M01876,B073
M01877,B010
M01878,B099
M01879,B077
M01880,B049
M01881,B097
M01882,B017
M01883,B028
M01884,B100
M01885,B018
M01886,B040
M01887,B023
M01888,B052
M01889,B048
M01890,B064
M01891,B055
M01892,B012
M01893,B095
M01894,B037
M01895,B097
M01896,B081
M01897,B078
M01898,B092
M01899,B041
M01900,B077
M01901,B038
M01902,B012
M01903,B006
M01904,B044
M01905,B016
M01906,B059
M01907,B043
M01908,B094
M01909,B072
M01910,B049
M01911,B063
M01912,B017
M01913,B013
M01914,B043
M01915,B075
M01916,B032
M01917,B005
M01918,B057
M01919,B073
M01920,B004
M01921,B006
M01922,B096
M01923,B061
M01924,B016
M01925,B006
M01926,B032
M01927,B050
M01928,B072
M01929,B039
M01930,B088
M01931,B043
M01932,B012
M01933,B043
M01934,B044
M01935,B057
M01936,B083
M01937,B024
M01938,B029
M01939,B065
M01940,B079
M01941,B057
M01942,B055
M01943,B048
M01944,B083
M01945,B014
M01946,B095
M01947,B087
M01948,B048
M01949,B010
M01950,B004
M01951,B016
M01952,B100
M01953,B056
M01954,B087
M01955,B048
M01956,B001
M01957,B057
M01958,B043
M01959,B023
M01960,B008
M01961,B058
M01962,B005
M01963,B093
M01964,B068
M01965,B017
M01966,B038
M01967,B004
M01968,B042
M01969,B096
M01970,B005
M01971,B074
M01972,B071
M01973,B083
M01974,B056
M01975,B020
M01976,B071
M01977,B020
M01978,B094
M01979,B034
M01980,B023
M01981,B027
M01982,B036
M01983,B057
M01984,B058
M01985,B087
M01986,B032
M01987,B068
M01988,B006
M01989,B014
M01990,B077
M01991,B035
M01992,B092
M01993,B066
M01994,B086
M01995,B027
M01996,B081
