merchant_id,industry_id
M00199,I003
M00200,I009
M00201,I009
M00202,I001
M00203,I003
M00204,I010
M00205,I003
M00206,I003
M00207,I002
M00208,I010
M00209,I002
M00210,I004
M00211,I003
M00212,I005
M00213,I004
M00214,I004
M00215,I003
M00216,I005
M00217,I004
M00218,I005
M00219,I008
M00220,I010
M00221,I005
M00222,I004
M00223,I003
M00224,I009
M00225,I008
M00226,I009
M00227,I007
M00228,I010
M00229,I006
M00230,I003
M00231,I001
M00232,I005
M00233,I008
M00234,I007
M00235,I004
M00236,I008
M00237,I008
M00238,I002
M00239,I003
M00240,I004
M00241,I005
M00242,I008
M00243,I007
M00244,I008
M00245,I009
M00246,I003
M00247,I001
M00248,I004
M00249,I001
M00250,I010
M00251,I008
M00252,I010
M00253,I002
M00254,I006
M00255,I009
M00256,I004
M00257,I005
M00258,I006
M00259,I004
M00260,I010
M00261,I004
M00262,I004
M00263,I007
M00264,I009
M00265,I009
M00266,I004
M00267,I010
M00268,I004
M00269,I002
M00270,I008
M00271,I010
M00272,I005
M00273,I002
M00274,I005
M00275,I001
M00276,I006
M00277,I009
M00278,I007
M00279,I004
M00280,I009
M00281,I004
M00282,I004
M00283,I007
M00284,I001
M00285,I005
M00286,I001
M00287,I004
M00288,I005
M00289,I004
M00290,I004
M00291,I007
M00292,I007
M00293,I009
M00294,I001
M00295,I003
M00296,I009
M00297,I006
M00298,I009
M00299,I001
M00300,I003
M00301,I007
M00302,I004
M00303,I004
M00304,I009
M00305,I002
M00306,I002
M00307,I006
M00308,I004
M00309,I010
M00310,I006
M00311,I004
M00312,I006
M00313,I007
M00314,I006
M00315,I007
M00316,I004
M00317,I004
M00318,I005
M00319,I010
M00320,I003
M00321,I007
M00322,I003
M00323,I004
M00324,I001
M00325,I005
M00326,I001
M00327,I008
M00328,I010
M00329,I006
M00330,I007
M00331,I007
M00332,I008
M00333,I008
M00334,I006
M00335,I002
M00336,I001
M00337,I003
M00338,I007
M00339,I005
M00340,I007
M00341,I002
M00342,I005
M00343,I004
M00344,I006
M00345,I003
M00346,I002
M00347,I006
M00348,I003
M00349,I010
M00350,I002
M00351,I002
M00352,I009
M00353,I010
M00354,I010
M00355,I001
M00356,I008
M00357,I001
M00358,I008
M00359,I004
M00360,I002
M00361,I009
M00362,I009
M00363,I010
M00364,I001
M00365,I003
M00366,I010
M00367,I008
M00368,I003
M00369,I002
M00370,I007
M00371,I009
M00372,I001
M00373,I001
M00374,I003
M00375,I009
M00376,I010
M00377,I008
M00378,I010
M00379,I009
M00380,I002
M00381,I003
M00382,I006
M00383,I004
M00384,I002
M00385,I003
M00386,I009
M00387,I008
M00388,I001
M00389,I008
M00390,I008
M00391,I007
M00392,I004
M00393,I004
M00394,I009
M00395,I001
M00396,I004
M00397,I010
M00398,I008
M00399,I005
M00400,I005
M00401,I006
M00402,I010
M00403,I002
M00404,I008
M00405,I004
M00406,I002
M00407,I009
M00408,I005
M00409,I008
M00410,I006
M00411,I009
M00412,I009
M00413,I004
M00414,I005
M00415,I010
M00416,I007
M00417,I003
M00418,I008
M00419,I010
M00420,I010
M00421,I009
M00422,I004
M00423,I004
M00424,I010
M00425,I004
M00426,I004
M00427,I006
M00428,I001
M00429,I009
M00430,I001
M00431,I002
M00432,I002
M00433,I004
M00434,I002
M00435,I006
M00436,I003
M00437,I010
M00438,I005
M00439,I006
M00440,I004
M00441,I001
M00442,I010
M00443,I003
M00444,I002
M00445,I002
M00446,I001
M00447,I003
M00448,I005
M00449,I002
M00450,I010
M00451,I010
M00452,I009
M00453,I005
M00454,I010
M00455,I010
M00456,I009
M00457,I004
M00458,I009
M00459,I009
M00460,I003
M00461,I009
M00462,I004
M00463,I004
M00464,I001
M00465,I005
M00466,I009
M00467,I004
M00468,I006
M00469,I007
M00470,I010
M00471,I006
M00472,I004
M00473,I007
M00474,I003
M00475,I002
M00476,I007
M00477,I003
M00478,I008
M00479,I008
M00480,I009
M00481,I008
M00482,I008
M00483,I002
M00484,I008
M00485,I009
M00486,I008
M00487,I002
M00488,I008
M00489,I005
M00490,I010
M00491,I008
M00492,I005
M00493,I009
M00494,I009
M00495,I006
M00496,I006
M00497,I001
M00498,I010
M00499,I001
M00500,I009
M00501,I004
M00502,I005
M00503,I005
M00504,I007
M00505,I006
M00506,I010
M00507,I009
M00508,I006
M00509,I002
M00510,I009
M00511,I009
M00512,I007
M00513,I005
M00514,I003
M00515,I007
M00516,I003
M00517,I006
M00518,I010
M00519,I006
M00520,I006
M00521,I003
M00522,I006
M00523,I005
M00524,I005
M00525,I007
M00526,I002
M00527,I007
M00528,I006
M00529,I007
M00530,I007
M00531,I009
M00532,I008
M00533,I006
M00534,I006
M00535,I005
M00536,I006
M00537,I002
M00538,I006
M00539,I005
M00540,I006
M00541,I004
M00542,I009
M00543,I002
M00544,I009
M00545,I009
M00546,I010
M00547,I001
M00548,I001
M00549,I010
M00550,I008
M00551,I010
M00552,I001
M00553,I002
M00554,I005
M00555,I004
M00556,I002
M00557,I009
M00558,I002
M00559,I006
M00560,I010
M00561,I009
M00562,I006
M00563,I002
M00564,I001
M00565,I001
M00566,I001
M00567,I009
M00568,I006
M00569,I009
M00570,I007
M00571,I002
M00572,I001
M00573,I007
M00574,I008
M00575,I002
M00576,I001
M00577,I006
M00578,I001
M00579,I002
M00580,I006
M00581,I005
M00582,I010
M00583,I001
M00584,I004
M00585,I005
M00586,I001
M00587,I010
M00588,I003
M00589,I005
M00590,I003
M00591,I005
M00592,I006
M00593,I007
M00594,I007
M00595,I010
M00596,I003
M00597,I009
M00598,I004
M00599,I003
M00600,I004
M00601,I001
M00602,I007
M00603,I010
M00604,I002
M00605,I008
M00606,I001
M00607,I009
M00608,I001
M00609,I010
M00610,I001
M00611,I002
M00612,I007
M00613,I001
M00614,I010
M00615,I008
M00616,I003
M00617,I005
M00618,I006
M00619,I007
M00620,I008
M00621,I006
M00622,I007
M00623,I006
M00624,I007
M00625,I008
M00626,I002
M00627,I006
M00628,I010
M00629,I005
M00630,I007
M00631,I007
M00632,I002
M00633,I002
M00634,I002
M00635,I010
M00636,I002
M00637,I002
M00638,I003
M00639,I006
M00640,I001
M00641,I010
M00642,I002
M00643,I002
M00644,I003
M00645,I001
M00646,I010
M00647,I005
M00648,I007
M00649,I006
M00650,I008
M00651,I005
M00652,I001
M00653,I008
M00654,I002
M00655,I006
M00656,I006
M00657,I006
M00658,I009
M00659,I008
M00660,I004
M00661,I010
M00662,I003
M00663,I003
M00664,I008
M00665,I009
M00666,I010
M00667,I008
M00668,I003
M00669,I001
M00670,I003
M00671,I010
M00672,I008
M00673,I007
M00674,I003
M00675,I009
M00676,I006
M00677,I009
M00678,I010
M00679,I002
M00680,I010
M00681,I005
M00682,I004
M00683,I004
M00684,I005
M00685,I007
M00686,I002
M00687,I001
M00688,I008
M00689,I001
M00690,I010
M00691,I001
M00692,I005
M00693,I006
M00694,I001
M00695,I002
M00696,I004
M00697,I005
M00698,I001
M00699,I010
M00700,I003
M00701,I005
M00702,I002
M00703,I007
M00704,I005
M00705,I009
M00706,I001
M00707,I005
M00708,I002
M00709,I008
M00710,I001
M00711,I008
M00712,I003
M00713,I002
M00714,I006
M00715,I008
M00716,I001
M00717,I004
M00718,I003
M00719,I006
M00720,I003
M00721,I007
M00722,I005
M00723,I008
M00724,I009
M00725,I008
M00726,I004
M00727,I007
M00728,I007
M00729,I002
M00730,I008
M00731,I008
M00732,I003
M00733,I001
M00734,I008
M00735,I002
M00736,I001
M00737,I008
M00738,I008
M00739,I008
M00740,I009
M00741,I003
M00742,I008
M00743,I007
M00744,I007
M00745,I010
M00746,I002
M00747,I010
M00748,I003
M00749,I008
M00750,I001
M00751,I003
M00752,I004
M00753,I008
M00754,I004
M00755,I007
M00756,I010
M00757,I007
M00758,I006
M00759,I010
M00760,I004
M00761,I003
M00762,I004
M00763,I008
M00764,I003
M00765,I007
M00766,I008
M00767,I010
M00768,I006
M00769,I010
M00770,I002
M00771,I006
M00772,I002
M00773,I009
M00774,I010
M00775,I002
M00776,I004
M00777,I006
M00778,I003
M00779,I006
M00780,I003
M00781,I003
M00782,I006
M00783,I005
M00784,I009
M00785,I001
M00786,I004
M00787,I006
M00788,I007
M00789,I010
M00790,I008
M00791,I001
M00792,I006
M00793,I009
M00794,I006
M00795,I007
M00796,I010
M00797,I009
M00798,I009
M00799,I006
M00800,I004
M00801,I006
M00802,I009
M00803,I005
M00804,I008
M00805,I002
M00806,I003
M00807,I002
M00808,I005
M00809,I003
M00810,I007
M00811,I009
M00812,I010
M00813,I004
M00814,I004
M00815,I007
M00816,I002
M00817,I009
M00818,I009
M00819,I009
M00820,I001
M00821,I002
M00822,I002
M00823,I004
M00824,I009
M00825,I004
M00826,I007
M00827,I001
M00828,I001
M00829,I010
M00830,I009
M00831,I001
M00832,I004
M00833,I010
M00834,I004
M00835,I005
M00836,I008
M00837,I003
M00838,I004
M00839,I001
M00840,I006
M00841,I004
M00842,I001
M00843,I007
M00844,I009
M00845,I007
M00846,I007
M00847,I010
M00848,I001
M00849,I001
M00850,I003
M00851,I002
M00852,I001
M00853,I009
M00854,I003
M00855,I006
M00856,I010
M00857,I005
M00858,I002
M00859,I004
M00860,I004
M00861,I005
M00862,I008
M00863,I010
M00864,I006
M00865,I002
M00866,I009
M00867,I010
M00868,I010
M00869,I009
M00870,I007
M00871,I007
M00872,I008
M00873,I003
M00874,I001
M00875,I009
M00876,I001
M00877,I003
M00878,I008
M00879,I007
M00880,I006
M00881,I007
M00882,I007
M00883,I006
M00884,I001
M00885,I005
M00886,I002
M00887,I009
M00888,I005
M00889,I004
M00890,I006
M00891,I001
M00892,I004
M00893,I009
M00894,I002
M00895,I007
M00896,I009
M00897,I004
M00898,I004
M00899,I006
M00900,I009
M00901,I002
M00902,I007
M00903,I009
M00904,I010
M00905,I005
M00906,I010
M00907,I006
M00908,I005
M00909,I008
M00910,I006
M00911,I008
M00912,I001
M00913,I008
M00914,I005
M00915,I002
M00916,I009
M00917,I006
M00918,I007
M00919,I008
M00920,I007
M00921,I004
M00922,I005
M00923,I003
M00924,I010
M00925,I010
M00926,I004
M00927,I006
M00928,I002
M00929,I005
M00930,I010
M00931,I010
M00932,I004
M00933,I002
M00934,I005
M00935,I002
M00936,I008
M00937,I003
M00938,I006
M00939,I003
M00940,I007
M00941,I006
M00942,I005
M00943,I004
M00944,I001
M00945,I006
M00946,I002
M00947,I005
M00948,I006
M00949,I005
M00950,I001
M00951,I002
M00952,I009
M00953,I003
M00954,I006
M00955,I001
M00956,I008
M00957,I005
M00958,I003
M00959,I004
M00960,I009
M00961,I001
M00962,I001
M00963,I001
M00964,I005
M00965,I006
M00966,I005
M00967,I002
M00968,I009
M00969,I003
M00970,I003
M00971,I006
M00972,I001
M00973,I007
M00974,I003
M00975,I003
M00976,I001
M00977,I001
M00978,I009
M00979,I010
M00980,I010
M00981,I004
M00982,I006
M00983,I006
M00984,I002
M00985,I001
M00986,I002
M00987,I009
M00988,I004
M00989,I010
M00990,I002
M00991,I008
M00992,I009
M00993,I006
M00994,I009
M00995,I009
M00996,I007
M00997,I010
M00998,I005
M00999,I008
M01000,I006
M01001,I006
M01002,I009
M01003,I007
M01004,I003
M01005,I005
M01006,I006
M01007,I004
M01008,I008
M01009,I008
M01010,I010
M01011,I010
M01012,I007
M01013,I001
M01014,I004
M01015,I010
M01016,I009
M01017,I007
M01018,I009
M01019,I005
M01020,I003
M01021,I007
M01022,I009
M01023,I003
M01024,I009
M01025,I007
M01026,I010
M01027,I009
M01028,I002
M01029,I004
M01030,I005
M01031,I006
M01032,I002
M01033,I003
M01034,I008
M01035,I010
M01036,I003
M01037,I008
M01038,I005
M01039,I003
M01040,I003
M01041,I002
M01042,I010
M01043,I008
M01044,I005
M01045,I006
M01046,I003
M01047,I008
M01048,I002
M01049,I007
M01050,I001
M01051,I003
M01052,I001
M01053,I006
M01054,I001
M01055,I006
M01056,I001
M01057,I008
M01058,I003
M01059,I007
M01060,I006
M01061,I008
M01062,I002
M01063,I008
M01064,I006
M01065,I010
M01066,I009
M01067,I002
M01068,I003
M01069,I002
M01070,I008
M01071,I005
M01072,I008
M01073,I008
M01074,I008
M01075,I008
M01076,I001
M01077,I003
M01078,I007
M01079,I006
M01080,I009
M01081,I001
M01082,I004
M01083,I008
M01084,I010
M01085,I009
M01086,I006
M01087,I001
M01088,I002
M01089,I002
M01090,I009
M01091,I009
M01092,I006
M01093,I006
M01094,I002
M01095,I008
M01096,I009
M01097,I003
M01098,I004
M01099,I007
M01100,I010
M01101,I001
M01102,I004
M01103,I007
M01104,I005
M01105,I010
M01106,I004
M01107,I001
M01108,I010
M01109,I003
M01110,I002
M01111,I008
M01112,I002
M01113,I006
M01114,I010
M01115,I004
M01116,I001
M01117,I007
M01118,I008
M01119,I010
M01120,I006
M01121,I002
M01122,I002
M01123,I006
M01124,I001
M01125,I001
M01126,I001
M01127,I004
M01128,I009
M01129,I003
M01130,I002
M01131,I009
M01132,I005
M01133,I009
M01134,I001
M01135,I002
M01136,I005
M01137,I005
M01138,I009
M01139,I006
M01140,I001
M01141,I007
M01142,I009
M01143,I003
M01144,I009
M01145,I003
M01146,I005
M01147,I010
M01148,I007
M01149,I005
M01150,I005
M01151,I007
M01152,I006
M01153,I004
M01154,I008
M01155,I004
M01156,I001
M01157,I002
M01158,I002
M01159,I004
M01160,I003
M01161,I004
M01162,I002
M01163,I008
M01164,I002
M01165,I001
M01166,I005
M01167,I006
M01168,I010
M01169,I005
M01170,I002
M01171,I007
M01172,I004
M01173,I008
M01174,I009
M01175,I008
M01176,I003
M01177,I007
M01178,I004
M01179,I004
M01180,I004
M01181,I009
M01182,I009
M01183,I003
M01184,I001
M01185,I006
M01186,I005
M01187,I009
M01188,I005
M01189,I009
M01190,I007
M01191,I009
M01192,I007
M01193,I009
M01194,I006
M01195,I009
M01196,I007
M01197,I003
M01198,I003
M01199,I007
M01200,I006
M01201,I004
M01202,I009
M01203,I009
M01204,I004
M01205,I001
M01206,I007
M01207,I008
M01208,I001
M01209,I003
M01210,I010
M01211,I009
M01212,I007
M01213,I009
M01214,I007
M01215,I010
M01216,I009
M01217,I007
M01218,I004
M01219,I006
M01220,I003
M01221,I007
M01222,I010
M01223,I008
M01224,I010
M01225,I002
M01226,I006
M01227,I002
M01228,I009
M01229,I001
M01230,I002
M01231,I002
M01232,I005
M01233,I003
M01234,I004
M01235,I009
M01236,I010
M01237,I004
M01238,I010
M01239,I002
M01240,I009
M01241,I002
M01242,I007
M01243,I007
M01244,I004
M01245,I001
M01246,I009
M01247,I009
M01248,I004
M01249,I004
M01250,I005
M01251,I005
M01252,I005
M01253,I009
M01254,I002
M01255,I001
M01256,I008
M01257,I007
M01258,I004
M01259,I004
M01260,I010
M01261,I008
M01262,I007
M01263,I003
M01264,I001
M01265,I006
M01266,I005
M01267,I005
M01268,I002
M01269,I003
M01270,I009
M01271,I008
M01272,I010
M01273,I008
M01274,I002
M01275,I002
M01276,I007
M01277,I003
M01278,I006
M01279,I006
M01280,I005
M01281,I010
M01282,I006
M01283,I003
M01284,I004
M01285,I005
M01286,I004
M01287,I007
M01288,I003
M01289,I009
M01290,I007
M01291,I009
M01292,I010
M01293,I004
M01294,I001
M01295,I008
M01296,I007
M01297,I002
M01298,I001
M01299,I010
M01300,I005
M01301,I003
M01302,I010
M01303,I003
M01304,I006
M01305,I008
M01306,I010
M01307,I006
M01308,I009
M01309,I005
M01310,I009
M01311,I004
M01312,I004
M01313,I007
M01314,I004
M01315,I003
M01316,I007
M01317,I006
M01318,I007
M01319,I009
M01320,I001
M01321,I005
M01322,I004
M01323,I001
M01324,I006
M01325,I003
M01326,I003
M01327,I008
M01328,I002
M01329,I008
M01330,I008
M01331,I004
M01332,I007
M01333,I006
M01334,I010
M01335,I010
M01336,I008
M01337,I007
M01338,I004
M01339,I008
M01340,I006
M01341,I003
M01342,I009
M01343,I010
M01344,I002
M01345,I008
M01346,I004
M01347,I006
M01348,I002
M01349,I009
M01350,I006
M01351,I003
M01352,I010
M01353,I003
M01354,I004
M01355,I010
M01356,I002
M01357,I010
M01358,I006
M01359,I003
M01360,I004
M01361,I009
M01362,I010
M01363,I009
M01364,I007
M01365,I004
M01366,I010
M01367,I008
M01368,I008
M01369,I010
M01370,I006
M01371,I002
M01372,I010
M01373,I001
M01374,I005
M01375,I010
M01376,I004
M01377,I002
M01378,I009
M01379,I007
M01380,I008
M01381,I005
M01382,I007
M01383,I008
M01384,I009
M01385,I010
M01386,I007
M01387,I005
M01388,I005
M01389,I008
M01390,I004
M01391,I007
M01392,I004
M01393,I003
M01394,I004
M01395,I005
M01396,I008
M01397,I002
M01398,I009
M01399,I007
M01400,I006
M01401,I005
M01402,I009
M01403,I007
M01404,I004
M01405,I004
M01406,I003
M01407,I003
M01408,I004
M01409,I008
M01410,I010
M01411,I008
M01412,I010
M01413,I001
M01414,I006
M01415,I006
M01416,I001
M01417,I007
M01418,I010
M01419,I004
M01420,I007
M01421,I008
M01422,I007
M01423,I009
M01424,I002
M01425,I010
M01426,I001
M01427,I009
M01428,I004
M01429,I009
M01430,I005
M01431,I002
M01432,I006
M01433,I001
M01434,I001
M01435,I009
M01436,I003
M01437,I009
M01438,I010
M01439,I002
M01440,I001
M01441,I009
M01442,I002
M01443,I010
M01444,I003
M01445,I003
M01446,I007
M01447,I009
M01448,I007
M01449,I009
M01450,I003
M01451,I010
M01452,I009
M01453,I001
M01454,I004
M01455,I001
M01456,I009
M01457,I010
M01458,I009
M01459,I004
M01460,I003
M01461,I003
M01462,I003
M01463,I009
M01464,I004
M01465,I010
M01466,I003
M01467,I007
M01468,I003
M01469,I005
M01470,I004
M01471,I010
M01472,I003
M01473,I005
M01474,I006
M01475,I004
M01476,I007
M01477,I004
M01478,I007
M01479,I008
M01480,I002
M01481,I004
M01482,I010
M01483,I001
M01484,I004
M01485,I003
M01486,I003
M01487,I001
M01488,I005
M01489,I007
M01490,I010
M01491,I004
M01492,I001
M01493,I004
M01494,I009
M01495,I002
M01496,I006
M01497,I009
M01498,I010
M01499,I004
M01500,I004
M01501,I005
M01502,I001
M01503,I009
M01504,I004
M01505,I006
M01506,I007
M01507,I001
M01508,I002
M01509,I006
M01510,I005
M01511,I007
M01512,I006
M01513,I004
M01514,I007
M01515,I003
M01516,I007
M01517,I005
M01518,I008
M01519,I010
M01520,I006
M01521,I007
M01522,I004
M01523,I006
M01524,I003
M01525,I002
M01526,I002
M01527,I007
M01528,I009
M01529,I010
M01530,I001
M01531,I004
M01532,I009
M01533,I006
M01534,I005
M01535,I010
M01536,I008
M01537,I008
M01538,I005
M01539,I006
M01540,I006
M01541,I010
M01542,I001
M01543,I003
M01544,I003
M01545,I009
M01546,I003
M01547,I002
M01548,I010
M01549,I001
M01550,I003
M01551,I006
M01552,I007
M01553,I006
M01554,I001
M01555,I005
M01556,I009
M01557,I005
M01558,I003
M01559,I004
M01560,I006
M01561,I006
M01562,I006
M01563,I003
M01564,I001
M01565,I004
M01566,I006
M01567,I007
M01568,I008
M01569,I003
M01570,I007
M01571,I001
M01572,I001
M01573,I005
M01574,I007
M01575,I009
M01576,I002
M01577,I008
M01578,I004
M01579,I003
M01580,I008
M01581,I005
M01582,I001
M01583,I003
M01584,I005
M01585,I007
M01586,I007
M01587,I008
M01588,I004
M01589,I010
M01590,I001
M01591,I009
M01592,I010
M01593,I010
M01594,I009
M01595,I008
M01596,I005
M01597,I001
M01598,I008
M01599,I004
M01600,I003
M01601,I005
M01602,I010
M01603,I006
M01604,I006
M01605,I006
M01606,I008
M01607,I007
M01608,I009
M01609,I009
M01610,I006
M01611,I006
M01612,I010
M01613,I007
M01614,I004
M01615,I003
M01616,I008
M01617,I010
M01618,I008
M01619,I010
M01620,I005
M01621,I009
M01622,I001
M01623,I003
M01624,I009
M01625,I001
M01626,I005
M01627,I006
M01628,I003
M01629,I003
M01630,I003
M01631,I003
M01632,I002
M01633,I009
M01634,I002
M01635,I002
M01636,I006
M01637,I005
M01638,I006
M01639,I008
M01640,I007
M01641,I005
M01642,I007
M01643,I003
M01644,I007
M01645,I001
M01646,I009
M01647,I002
M01648,I006
M01649,I007
M01650,I001
M01651,I002
M01652,I009
M01653,I001
M01654,I010
M01655,I010
M01656,I002
M01657,I007
M01658,I003
M01659,I004
M01660,I003
M01661,I008
M01662,I009
M01663,I001
M01664,I003
M01665,I004
M01666,I008
M01667,I003
M01668,I001
M01669,I008
M01670,I002
M01671,I010
M01672,I006
M01673,I007
M01674,I009
M01675,I010
M01676,I003
M01677,I010
M01678,I010
M01679,I010
M01680,I007
M01681,I004
M01682,I010
M01683,I003
M01684,I010
M01685,I002
M01686,I002
M01687,I002
M01688,I002
M01689,I005
M01690,I010
M01691,I002
M01692,I006
M01693,I009
M01694,I005
M01695,I008
M01696,I006
M01697,I006
M01698,I005
M01699,I009
M01700,I001
M01701,I004
M01702,I010
M01703,I002
M01704,I009
M01705,I002
M01706,I002
M01707,I009
M01708,I003
M01709,I006
M01710,I004
M01711,I004
M01712,I010
M01713,I002
M01714,I003
M01715,I006
M01716,I002
M01717,I005
M01718,I002
M01719,I009
M01720,I010
M01721,I006
M01722,I003
M01723,I010
M01724,I010
M01725,I007
M01726,I006
M01727,I001
M01728,I006
M01729,I005
M01730,I010
M01731,I001
M01732,I002
M01733,I004
M01734,I004
M01735,I009
M01736,I005
M01737,I008
M01738,I005
M01739,I007
M01740,I008
M01741,I003
M01742,I009
M01743,I003
M01744,I004
M01745,I002
M01746,I004
M01747,I004
M01748,I006
M01749,I006
M01750,I004
M01751,I005
M01752,I009
M01753,I004
M01754,I008
M01755,I001
M01756,I009
M01757,I003
M01758,I006
M01759,I004
M01760,I005
M01761,I002
M01762,I003
M01763,I003
M01764,I006
M01765,I001
M01766,I010
M01767,I006
M01768,I007
M01769,I004
M01770,I009
M01771,I008
M01772,I003
M01773,I010
M01774,I002
M01775,I004
M01776,I004
M01777,I009
M01778,I009
M01779,I001
M01780,I008
M01781,I002
M01782,I001
M01783,I005
M01784,I009
M01785,I007
M01786,I004
M01787,I004
M01788,I007
M01789,I006
M01790,I008
M01791,I003
M01792,I003
M01793,I010
M01794,I010
M01795,I004
M01796,I005
M01797,I005
M01798,I006
M01799,I003
M01800,I005
M01801,I005
M01802,I009
M01803,I006
M01804,I001
M01805,I002
M01806,I005
M01807,I007
M01808,I009
M01809,I004
M01810,I001
M01811,I010
M01812,I010
M01813,I010
M01814,I003
M01815,I010
M01816,I002
M01817,I004
M01818,I006
M01819,I003
M01820,I003
M01821,I004
M01822,I009
M01823,I002
M01824,I004
M01825,I004
M01826,I009
M01827,I010
M01828,I009
M01829,I006
M01830,I004
M01831,I009
M01832,I010
M01833,I006
M01834,I010
M01835,I002
M01836,I010
M01837,I002
M01838,I001
M01839,I007
M01840,I003
M01841,I001
M01842,I007
M01843,I006
M01844,I004
M01845,I001
M01846,I005
M01847,I007
M01848,I004
M01849,I004
M01850,I002
M01851,I003
M01852,I008
M01853,I009
M01854,I008
M01855,I003
M01856,I007
M01857,I002
M01858,I005
M01859,I010
M01860,I004
M01861,I004
M01862,I005
M01863,I005
M01864,I002
M01865,I008
M01866,I006
M01867,I001
M01868,I006
M01869,I004
M01870,I007
M01871,I004
M01872,I008
M01873,I003
M01874,I001
M01875,I004
M01876,I007
M01877,I010
M01878,I006
M01879,I003
M01880,I005
M01881,I009
M01882,I005
M01883,I004
M01884,I005
M01885,I006
M01886,I005
M01887,I008
M01888,I008
M01889,I009
M01890,I009
M01891,I001
M01892,I009
M01893,I001
M01894,I005
M01895,I008
M01896,I001
M01897,I007
M01898,I005
M01899,I003
M01900,I006
M01901,I007
M01902,I004
M01903,I004
M01904,I009
M01905,I006
M01906,I006
M01907,I009
M01908,I002
M01909,I003
M01910,I003
M01911,I002
M01912,I006
M01913,I008
M01914,I010
M01915,I002
M01916,I009
M01917,I003
M01918,I005
M01919,I004
M01920,I004
M01921,I004
M01922,I007
M01923,I004
M01924,I004
M01925,I010
M01926,I007
M01927,I002
M01928,I010
M01929,I005
M01930,I003
M01931,I003
M01932,I005
M01933,I010
M01934,I003
M01935,I010
M01936,I008
M01937,I007
M01938,I009
M01939,I004
M01940,I008
M01941,I001
M01942,I008
M01943,I010
M01944,I009
M01945,I005
M01946,I007
M01947,I003
M01948,I008
M01949,I004
M01950,I010
M01951,I009
M01952,I010
M01953,I007
M01954,I005
M01955,I008
M01956,I004
M01957,I006
M01958,I004
M01959,I007
M01960,I003
M01961,I009
M01962,I006
M01963,I007
M01964,I008
M01965,I009
M01966,I007
M01967,I001
M01968,I001
M01969,I002
M01970,I008
M01971,I004
M01972,I003
M01973,I001
M01974,I002
M01975,I009
M01976,I001
M01977,I002
M01978,I008
M01979,I004
M01980,I009
M01981,I010
M01982,I004
M01983,I003
M01984,I005
M01985,I005
M01986,I010
M01987,I007
M01988,I005
M01989,I010
M01990,I008
M01991,I006
M01992,I007
M01993,I008
M01994,I002
M01995,I008
M01996,I006
