doc_id,officer_id
D000309,C0202
D000310,C0293
D000311,C0079
D000312,C0320
D000313,C0280
D000314,C0051
D000315,C0398
D000316,C0176
D000317,C0320
D000318,C0184
D000319,C0325
D000320,C0491
D000321,C0051
D000322,C0265
D000323,C0083
D000324,C0405
D000325,C0477
D000326,C0340
D000327,C0097
D000328,C0074
D000329,C0500
D000330,C0229
D000331,C0451
D000332,C0281
D000333,C0380
D000334,C0437
D000335,C0265
D000336,C0433
D000337,C0001
D000338,C0034
D000339,C0408
D000340,C0315
D000341,C0215
D000342,C0370
D000343,C0375
D000344,C0385
D000345,C0112
D000346,C0209
D000347,C0420
D000348,C0190
D000349,C0020
D000350,C0026
D000351,C0244
D000352,C0328
D000353,C0196
D000354,C0338
D000355,C0366
D000356,C0095
D000357,C0312
D000358,C0173
D000359,C0400
D000360,C0388
D000361,C0447
D000362,C0025
D000363,C0072
D000364,C0089
D000365,C0457
D000366,C0119
D000367,C0253
D000368,C0206
D000369,C0077
D000370,C0323
D000371,C0443
D000372,C0352
D000373,C0461
D000374,C0313
D000375,C0336
D000376,C0005
D000377,C0074
D000378,C0151
D000379,C0315
D000380,C0490
D000381,C0200
D000382,C0066
D000383,C0120
D000384,C0259
D000385,C0330
D000386,C0395
D000387,C0107
D000388,C0436
D000389,C0163
D000390,C0103
D000391,C0474
D000392,C0454
D000393,C0220
D000394,C0483
D000395,C0038
D000396,C0485
D000397,C0347
D000398,C0449
D000399,C0282
D000400,C0283
D000401,C0182
D000402,C0422
D000403,C0093
D000404,C0380
D000405,C0421
D000406,C0030
D000407,C0085
D000408,C0223
D000409,C0459
D000410,C0079
D000411,C0189
D000412,C0408
D000413,C0060
D000414,C0208
D000415,C0364
D000416,C0142
D000417,C0120
D000418,C0034
D000419,C0303
D000420,C0036
D000421,C0288
D000422,C0074
D000423,C0298
D000424,C0386
D000425,C0059
D000426,C0401
D000427,C0094
D000428,C0385
D000429,C0203
D000430,C0349
D000431,C0330
D000432,C0219
D000433,C0370
D000434,C0082
D000435,C0234
D000436,C0074
D000437,C0064
D000438,C0279
D000439,C0087
D000440,C0267
D000441,C0258
D000442,C0301
D000443,C0109
D000444,C0336
D000445,C0414
D000446,C0298
D000447,C0345
D000448,C0100
D000449,C0192
D000450,C0463
D000451,C0467
D000452,C0492
D000453,C0342
D000454,C0306
D000455,C0453
D000456,C0123
D000457,C0010
D000458,C0017
D000459,C0190
D000460,C0111
D000461,C0225
D000462,C0126
D000463,C0378
D000464,C0391
D000465,C0049
D000466,C0218
D000467,C0344
D000468,C0299
D000469,C0116
D000470,C0390
D000471,C0186
D000472,C0431
D000473,C0491
D000474,C0318
D000475,C0079
D000476,C0275
D000477,C0470
D000478,C0470
D000479,C0347
D000480,C0007
D000481,C0132
D000482,C0281
D000483,C0183
D000484,C0191
D000485,C0091
D000486,C0122
D000487,C0423
D000488,C0378
D000489,C0081
D000490,C0380
D000491,C0056
D000492,C0341
D000493,C0011
D000494,C0199
D000495,C0456
D000496,C0306
D000497,C0224
D000498,C0451
D000499,C0316
D000500,C0076
D000501,C0268
D000502,C0400
D000503,C0213
D000504,C0075
D000505,C0479
D000506,C0377
D000507,C0386
D000508,C0392
D000509,C0170
D000510,C0226
D000511,C0431
D000512,C0241
D000513,C0290
D000514,C0236
D000515,C0117
D000516,C0283
D000517,C0367
D000518,C0111
D000519,C0204
D000520,C0091
D000521,C0015
D000522,C0015
D000523,C0038
D000524,C0033
D000525,C0416
D000526,C0153
D000527,C0457
D000528,C0211
D000529,C0036
D000530,C0005
D000531,C0038
D000532,C0053
D000533,C0168
D000534,C0450
D000535,C0063
D000536,C0402
D000537,C0263
D000538,C0218
D000539,C0475
D000540,C0498
D000541,C0073
D000542,C0221
D000543,C0497
D000544,C0020
D000545,C0225
D000546,C0079
D000547,C0419
D000548,C0270
D000549,C0012
D000550,C0312
D000551,C0091
D000552,C0250
D000553,C0021
D000554,C0435
D000555,C0379
D000556,C0005
D000557,C0298
D000558,C0325
D000559,C0457
D000560,C0340
D000561,C0017
D000562,C0323
D000563,C0280
D000564,C0124
D000565,C0087
D000566,C0042
D000567,C0020
D000568,C0064
D000569,C0355
D000570,C0500
D000571,C0376
D000572,C0253
D000573,C0338
D000574,C0479
D000575,C0344
D000576,C0072
D000577,C0372
D000578,C0194
D000579,C0083
D000580,C0309
D000581,C0296
D000582,C0251
D000583,C0071
D000584,C0240
D000585,C0055
D000586,C0061
D000587,C0348
D000588,C0055
D000589,C0374
D000590,C0405
D000591,C0219
D000592,C0079
D000593,C0140
D000594,C0437
D000595,C0164
D000596,C0135
D000597,C0296
D000598,C0165
D000599,C0040
D000600,C0131
D000601,C0492
D000602,C0245
D000603,C0085
D000604,C0448
D000605,C0493
D000606,C0085
D000607,C0422
D000608,C0452
D000609,C0444
D000610,C0317
D000611,C0232
D000612,C0232
D000613,C0270
D000614,C0315
D000615,C0301
D000616,C0248
D000617,C0452
D000618,C0454
D000619,C0109
D000620,C0204
D000621,C0171
D000622,C0336
D000623,C0374
D000624,C0235
D000625,C0162
D000626,C0251
D000627,C0375
D000628,C0269
D000629,C0149
D000630,C0245
D000631,C0124
D000632,C0047
D000633,C0288
D000634,C0356
D000635,C0364
D000636,C0470
D000637,C0092
D000638,C0077
D000639,C0123
D000640,C0479
D000641,C0262
D000642,C0348
D000643,C0306
D000644,C0379
D000645,C0118
D000646,C0446
D000647,C0035
D000648,C0018
D000649,C0349
D000650,C0150
D000651,C0342
D000652,C0441
D000653,C0037
D000654,C0086
D000655,C0228
D000656,C0145
D000657,C0085
D000658,C0085
D000659,C0378
D000660,C0333
D000661,C0254
D000662,C0242
D000663,C0416
D000664,C0400
D000665,C0449
D000666,C0226
D000667,C0210
D000668,C0171
D000669,C0388
D000670,C0120
D000671,C0054
D000672,C0333
D000673,C0090
D000674,C0262
D000675,C0278
D000676,C0140
D000677,C0167
D000678,C0434
D000679,C0145
D000680,C0486
D000681,C0083
D000682,C0464
D000683,C0396
D000684,C0045
D000685,C0398
D000686,C0064
D000687,C0152
D000688,C0369
D000689,C0232
D000690,C0271
D000691,C0217
D000692,C0201
D000693,C0365
D000694,C0080
D000695,C0060
D000696,C0090
D000697,C0333
D000698,C0488
D000699,C0311
D000700,C0483
D000701,C0102
D000702,C0330
D000703,C0450
D000704,C0254
D000705,C0193
D000706,C0073
D000707,C0428
D000708,C0338
D000709,C0189
D000710,C0039
D000711,C0301
D000712,C0183
D000713,C0457
D000714,C0261
D000715,C0386
D000716,C0215
D000717,C0159
D000718,C0085
D000719,C0293
D000720,C0326
D000721,C0255
D000722,C0201
D000723,C0173
D000724,C0420
D000725,C0203
D000726,C0022
D000727,C0444
D000728,C0495
D000729,C0043
D000730,C0395
D000731,C0236
D000732,C0132
D000733,C0279
D000734,C0025
D000735,C0301
D000736,C0063
D000737,C0364
D000738,C0452
D000739,C0307
D000740,C0421
D000741,C0418
D000742,C0222
D000743,C0029
D000744,C0421
D000745,C0029
D000746,C0197
D000747,C0383
D000748,C0481
D000749,C0003
D000750,C0430
D000751,C0134
D000752,C0270
D000753,C0327
D000754,C0084
D000755,C0224
D000756,C0007
D000757,C0392
D000758,C0307
D000759,C0271
D000760,C0297
D000761,C0468
D000762,C0212
D000763,C0364
D000764,C0466
D000765,C0130
D000766,C0330
D000767,C0375
D000768,C0314
D000769,C0172
D000770,C0014
D000771,C0410
D000772,C0386
D000773,C0069
D000774,C0366
D000775,C0111
D000776,C0407
D000777,C0171
D000778,C0452
D000779,C0361
D000780,C0302
D000781,C0392
D000782,C0338
D000783,C0127
D000784,C0311
D000785,C0071
D000786,C0400
D000787,C0436
D000788,C0306
D000789,C0368
D000790,C0246
D000791,C0152
D000792,C0087
D000793,C0076
D000794,C0432
D000795,C0445
D000796,C0082
D000797,C0306
D000798,C0218
D000799,C0155
D000800,C0236
D000801,C0149
D000802,C0357
D000803,C0263
D000804,C0157
D000805,C0373
D000806,C0480
D000807,C0474
D000808,C0370
D000809,C0083
D000810,C0224
D000811,C0431
D000812,C0150
D000813,C0173
D000814,C0335
D000815,C0050
D000816,C0077
D000817,C0074
D000818,C0177
D000819,C0471
D000820,C0395
D000821,C0038
D000822,C0419
D000823,C0159
D000824,C0485
D000825,C0009
D000826,C0040
D000827,C0262
D000828,C0051
D000829,C0321
D000830,C0100
D000831,C0452
D000832,C0492
D000833,C0370
D000834,C0301
D000835,C0211
D000836,C0014
D000837,C0382
D000838,C0268
D000839,C0341
D000840,C0271
D000841,C0075
D000842,C0374
D000843,C0365
D000844,C0458
D000845,C0141
D000846,C0176
D000847,C0366
D000848,C0144
D000849,C0385
D000850,C0260
D000851,C0355
D000852,C0452
D000853,C0188
D000854,C0155
D000855,C0106
D000856,C0318
D000857,C0013
D000858,C0216
D000859,C0371
D000860,C0006
D000861,C0226
D000862,C0142
D000863,C0356
D000864,C0232
D000865,C0398
D000866,C0068
D000867,C0369
D000868,C0405
D000869,C0083
D000870,C0261
D000871,C0472
D000872,C0198
D000873,C0177
D000874,C0371
D000875,C0389
D000876,C0290
D000877,C0457
D000878,C0482
D000879,C0234
D000880,C0311
D000881,C0194
D000882,C0485
D000883,C0032
D000884,C0118
D000885,C0476
D000886,C0047
D000887,C0490
D000888,C0406
D000889,C0311
D000890,C0083
D000891,C0161
D000892,C0020
D000893,C0096
D000894,C0355
D000895,C0362
D000896,C0447
D000897,C0235
D000898,C0206
D000899,C0164
D000900,C0463
D000901,C0326
D000902,C0100
D000903,C0199
D000904,C0133
D000905,C0248
D000906,C0294
D000907,C0452
D000908,C0256
D000909,C0462
D000910,C0283
D000911,C0272
D000912,C0111
D000913,C0025
D000914,C0101
D000915,C0400
D000916,C0456
D000917,C0291
D000918,C0383
D000919,C0262
D000920,C0386
D000921,C0431
D000922,C0284
D000923,C0177
D000924,C0136
D000925,C0314
D000926,C0236
D000927,C0298
D000928,C0180
D000929,C0201
D000930,C0084
D000931,C0295
D000932,C0142
D000933,C0174
D000934,C0301
D000935,C0330
D000936,C0320
D000937,C0453
D000938,C0188
D000939,C0331
D000940,C0040
D000941,C0403
D000942,C0275
D000943,C0102
D000944,C0352
D000945,C0350
D000946,C0004
D000947,C0393
D000948,C0272
D000949,C0231
D000950,C0366
D000951,C0054
D000952,C0369
D000953,C0044
D000954,C0482
D000955,C0400
D000956,C0153
D000957,C0235
D000958,C0210
D000959,C0173
D000960,C0141
D000961,C0270
D000962,C0192
D000963,C0229
D000964,C0481
D000965,C0096
D000966,C0351
D000967,C0386
D000968,C0347
D000969,C0024
D000970,C0455
D000971,C0379
D000972,C0218
D000973,C0388
D000974,C0046
D000975,C0482
D000976,C0162
D000977,C0104
D000978,C0082
D000979,C0425
D000980,C0298
D000981,C0401
D000982,C0242
D000983,C0082
D000984,C0368
D000985,C0419
D000986,C0237
D000987,C0348
D000988,C0317
D000989,C0256
D000990,C0396
D000991,C0345
D000992,C0108
D000993,C0489
D000994,C0176
D000995,C0471
D000996,C0482
D000997,C0438
D000998,C0274
D000999,C0041
D001000,C0294
D001001,C0445
D001002,C0295
D001003,C0174
D001004,C0486
D001005,C0417
D001006,C0099
D001007,C0343
D001008,C0099
D001009,C0442
D001010,C0407
D001011,C0372
D001012,C0378
D001013,C0471
D001014,C0281
D001015,C0361
D001016,C0238
D001017,C0395
D001018,C0122
D001019,C0108
D001020,C0362
D001021,C0167
D001022,C0280
D001023,C0327
D001024,C0494
D001025,C0226
D001026,C0006
D001027,C0118
D001028,C0440
D001029,C0251
D001030,C0247
D001031,C0397
D001032,C0012
D001033,C0494
D001034,C0476
D001035,C0222
D001036,C0088
D001037,C0482
D001038,C0102
D001039,C0467
D001040,C0004
D001041,C0332
D001042,C0093
D001043,C0265
D001044,C0379
D001045,C0122
D001046,C0072
D001047,C0097
D001048,C0004
D001049,C0143
D001050,C0186
D001051,C0283
D001052,C0113
D001053,C0107
D001054,C0400
D001055,C0269
D001056,C0260
D001057,C0240
D001058,C0339
D001059,C0132
D001060,C0164
D001061,C0233
D001062,C0317
D001063,C0074
D001064,C0315
D001065,C0488
D001066,C0288
D001067,C0240
D001068,C0488
D001069,C0341
D001070,C0251
D001071,C0211
D001072,C0475
D001073,C0379
D001074,C0340
D001075,C0384
D001076,C0109
D001077,C0424
D001078,C0281
D001079,C0331
D001080,C0201
D001081,C0175
D001082,C0061
D001083,C0410
D001084,C0417
D001085,C0382
D001086,C0412
D001087,C0089
D001088,C0046
D001089,C0055
D001090,C0417
D001091,C0356
D001092,C0269
D001093,C0319
D001094,C0454
D001095,C0212
D001096,C0023
D001097,C0054
D001098,C0271
D001099,C0172
D001100,C0431
D001101,C0019
D001102,C0294
D001103,C0474
D001104,C0206
D001105,C0111
D001106,C0166
D001107,C0168
D001108,C0389
D001109,C0333
D001110,C0156
D001111,C0220
D001112,C0254
D001113,C0158
D001114,C0415
D001115,C0190
D001116,C0163
D001117,C0315
D001118,C0382
D001119,C0249
D001120,C0158
D001121,C0135
D001122,C0489
D001123,C0044
D001124,C0401
D001125,C0394
D001126,C0321
D001127,C0314
D001128,C0315
D001129,C0079
D001130,C0136
D001131,C0158
D001132,C0249
D001133,C0489
D001134,C0377
D001135,C0341
D001136,C0418
D001137,C0481
D001138,C0396
D001139,C0311
D001140,C0098
D001141,C0265
D001142,C0241
D001143,C0300
D001144,C0110
D001145,C0496
D001146,C0479
D001147,C0469
D001148,C0329
D001149,C0357
D001150,C0328
D001151,C0435
D001152,C0329
D001153,C0458
D001154,C0474
D001155,C0169
D001156,C0148
D001157,C0183
D001158,C0339
D001159,C0128
D001160,C0402
D001161,C0098
D001162,C0164
D001163,C0369
D001164,C0446
D001165,C0045
D001166,C0389
D001167,C0201
D001168,C0003
D001169,C0457
D001170,C0308
D001171,C0379
D001172,C0112
D001173,C0149
D001174,C0287
D001175,C0425
D001176,C0433
D001177,C0162
D001178,C0443
D001179,C0154
D001180,C0413
D001181,C0406
D001182,C0080
D001183,C0411
D001184,C0486
D001185,C0131
D001186,C0235
D001187,C0063
D001188,C0415
D001189,C0105
D001190,C0307
D001191,C0165
D001192,C0120
D001193,C0244
D001194,C0406
D001195,C0158
D001196,C0357
D001197,C0397
D001198,C0378
D001199,C0346
D001200,C0035
D001201,C0013
D001202,C0081
D001203,C0302
D001204,C0120
D001205,C0367
D001206,C0356
D001207,C0490
D001208,C0422
D001209,C0485
D001210,C0374
D001211,C0478
D001212,C0136
D001213,C0478
D001214,C0135
D001215,C0060
D001216,C0283
D001217,C0423
D001218,C0334
D001219,C0380
D001220,C0208
D001221,C0154
D001222,C0492
D001223,C0057
D001224,C0230
D001225,C0334
D001226,C0173
D001227,C0022
D001228,C0032
D001229,C0150
D001230,C0101
D001231,C0185
D001232,C0240
D001233,C0357
D001234,C0278
D001235,C0473
D001236,C0064
D001237,C0159
D001238,C0087
D001239,C0403
D001240,C0407
D001241,C0384
D001242,C0081
D001243,C0005
D001244,C0006
D001245,C0359
D001246,C0100
D001247,C0282
D001248,C0091
D001249,C0056
D001250,C0406
D001251,C0172
D001252,C0116
D001253,C0375
D001254,C0499
D001255,C0231
D001256,C0217
D001257,C0196
D001258,C0243
D001259,C0121
D001260,C0475
D001261,C0080
D001262,C0303
D001263,C0198
D001264,C0218
D001265,C0034
D001266,C0400
D001267,C0177
D001268,C0190
D001269,C0467
D001270,C0371
D001271,C0373
D001272,C0433
D001273,C0128
D001274,C0019
D001275,C0207
D001276,C0025
D001277,C0007
D001278,C0020
D001279,C0329
D001280,C0092
D001281,C0389
D001282,C0273
D001283,C0112
D001284,C0070
D001285,C0149
D001286,C0495
D001287,C0168
D001288,C0300
D001289,C0127
D001290,C0479
D001291,C0346
D001292,C0405
D001293,C0336
D001294,C0299
D001295,C0031
D001296,C0469
D001297,C0101
D001298,C0329
D001299,C0111
D001300,C0244
D001301,C0136
D001302,C0006
D001303,C0457
D001304,C0480
D001305,C0049
D001306,C0306
D001307,C0248
D001308,C0258
D001309,C0012
D001310,C0030
D001311,C0158
D001312,C0343
D001313,C0220
D001314,C0234
D001315,C0148
D001316,C0435
D001317,C0330
D001318,C0209
D001319,C0200
D001320,C0051
D001321,C0327
D001322,C0080
D001323,C0485
D001324,C0489
D001325,C0030
D001326,C0114
D001327,C0019
D001328,C0280
D001329,C0062
D001330,C0036
D001331,C0315
D001332,C0206
D001333,C0279
D001334,C0192
D001335,C0391
D001336,C0466
D001337,C0313
D001338,C0230
D001339,C0376
D001340,C0289
D001341,C0422
D001342,C0051
D001343,C0299
D001344,C0117
D001345,C0061
D001346,C0486
D001347,C0351
D001348,C0135
D001349,C0431
D001350,C0370
D001351,C0066
D001352,C0335
D001353,C0289
D001354,C0188
D001355,C0061
D001356,C0242
D001357,C0309
D001358,C0130
D001359,C0441
D001360,C0211
D001361,C0497
D001362,C0130
D001363,C0233
D001364,C0413
D001365,C0409
D001366,C0379
D001367,C0228
D001368,C0024
D001369,C0017
D001370,C0118
D001371,C0118
D001372,C0177
D001373,C0159
D001374,C0149
D001375,C0166
D001376,C0173
D001377,C0355
D001378,C0475
D001379,C0448
D001380,C0048
D001381,C0035
D001382,C0281
D001383,C0304
D001384,C0346
D001385,C0451
D001386,C0208
D001387,C0227
D001388,C0126
D001389,C0399
D001390,C0434
D001391,C0428
D001392,C0490
D001393,C0409
D001394,C0036
D001395,C0472
D001396,C0048
D001397,C0051
D001398,C0229
D001399,C0158
D001400,C0205
D001401,C0203
D001402,C0150
D001403,C0253
D001404,C0174
D001405,C0314
D001406,C0445
D001407,C0142
D001408,C0217
D001409,C0471
D001410,C0128
D001411,C0116
D001412,C0297
D001413,C0087
D001414,C0453
D001415,C0114
D001416,C0500
D001417,C0222
D001418,C0340
D001419,C0393
D001420,C0172
D001421,C0069
D001422,C0085
D001423,C0195
D001424,C0378
D001425,C0407
D001426,C0066
D001427,C0151
D001428,C0443
D001429,C0311
D001430,C0428
D001431,C0161
D001432,C0331
D001433,C0428
D001434,C0430
D001435,C0498
D001436,C0252
D001437,C0476
D001438,C0167
D001439,C0416
D001440,C0477
D001441,C0285
D001442,C0381
D001443,C0144
D001444,C0482
D001445,C0139
D001446,C0414
D001447,C0041
D001448,C0387
D001449,C0237
D001450,C0160
D001451,C0020
D001452,C0376
D001453,C0168
D001454,C0209
D001455,C0424
D001456,C0272
D001457,C0387
D001458,C0048
D001459,C0430
D001460,C0398
D001461,C0226
D001462,C0493
D001463,C0471
D001464,C0132
D001465,C0184
D001466,C0477
D001467,C0042
D001468,C0391
D001469,C0164
D001470,C0229
D001471,C0174
D001472,C0422
D001473,C0338
D001474,C0017
D001475,C0472
D001476,C0456
D001477,C0359
D001478,C0188
D001479,C0183
D001480,C0253
D001481,C0460
D001482,C0427
D001483,C0495
D001484,C0224
D001485,C0153
D001486,C0468
D001487,C0300
D001488,C0444
D001489,C0206
D001490,C0144
D001491,C0375
D001492,C0421
D001493,C0388
D001494,C0374
D001495,C0317
D001496,C0422
D001497,C0444
D001498,C0254
D001499,C0035
D001500,C0002
D001501,C0199
D001502,C0009
D001503,C0319
D001504,C0379
D001505,C0374
D001506,C0302
D001507,C0422
D001508,C0468
D001509,C0034
D001510,C0004
D001511,C0210
D001512,C0131
D001513,C0276
D001514,C0268
D001515,C0345
D001516,C0229
D001517,C0471
D001518,C0452
D001519,C0283
D001520,C0189
D001521,C0059
D001522,C0362
D001523,C0329
D001524,C0030
D001525,C0218
D001526,C0188
D001527,C0482
D001528,C0450
D001529,C0264
D001530,C0084
D001531,C0035
D001532,C0425
D001533,C0192
D001534,C0013
D001535,C0300
D001536,C0451
D001537,C0464
D001538,C0152
D001539,C0113
D001540,C0322
D001541,C0104
D001542,C0117
D001543,C0160
D001544,C0092
D001545,C0393
D001546,C0279
D001547,C0484
D001548,C0498
D001549,C0211
D001550,C0353
D001551,C0448
D001552,C0125
D001553,C0286
D001554,C0267
D001555,C0227
D001556,C0385
D001557,C0104
D001558,C0363
D001559,C0038
D001560,C0103
D001561,C0210
D001562,C0492
D001563,C0074
D001564,C0076
D001565,C0165
D001566,C0305
D001567,C0130
D001568,C0040
D001569,C0283
D001570,C0155
D001571,C0354
D001572,C0471
D001573,C0056
D001574,C0261
D001575,C0115
D001576,C0006
D001577,C0255
D001578,C0197
D001579,C0054
D001580,C0267
D001581,C0261
D001582,C0259
D001583,C0240
D001584,C0257
D001585,C0140
D001586,C0261
D001587,C0056
D001588,C0338
D001589,C0417
D001590,C0064
D001591,C0123
D001592,C0399
D001593,C0286
D001594,C0173
D001595,C0308
D001596,C0434
D001597,C0159
D001598,C0220
D001599,C0365
D001600,C0418
D001601,C0325
D001602,C0283
D001603,C0197
D001604,C0321
D001605,C0163
D001606,C0404
D001607,C0043
D001608,C0494
D001609,C0476
D001610,C0008
D001611,C0042
D001612,C0221
D001613,C0272
D001614,C0448
D001615,C0177
D001616,C0437
D001617,C0300
D001618,C0179
D001619,C0025
D001620,C0057
D001621,C0293
D001622,C0454
D001623,C0113
D001624,C0423
D001625,C0409
D001626,C0274
D001627,C0395
D001628,C0148
D001629,C0298
D001630,C0027
D001631,C0182
D001632,C0292
D001633,C0205
D001634,C0172
D001635,C0114
D001636,C0233
D001637,C0117
D001638,C0327
D001639,C0263
D001640,C0026
D001641,C0475
D001642,C0258
D001643,C0271
D001644,C0373
D001645,C0268
D001646,C0335
D001647,C0198
D001648,C0389
D001649,C0129
D001650,C0412
D001651,C0129
D001652,C0400
D001653,C0458
D001654,C0095
D001655,C0203
D001656,C0415
D001657,C0437
D001658,C0472
D001659,C0188
D001660,C0296
D001661,C0061
D001662,C0158
D001663,C0240
D001664,C0488
D001665,C0087
D001666,C0364
D001667,C0338
D001668,C0251
D001669,C0090
D001670,C0265
D001671,C0436
D001672,C0311
D001673,C0304
D001674,C0230
D001675,C0321
D001676,C0084
D001677,C0237
D001678,C0476
D001679,C0133
D001680,C0412
D001681,C0169
D001682,C0484
D001683,C0153
D001684,C0479
D001685,C0353
D001686,C0429
D001687,C0207
D001688,C0089
D001689,C0100
D001690,C0006
D001691,C0311
D001692,C0319
D001693,C0415
D001694,C0170
D001695,C0323
D001696,C0209
D001697,C0361
D001698,C0027
D001699,C0055
D001700,C0037
D001701,C0479
D001702,C0008
D001703,C0355
D001704,C0026
D001705,C0215
D001706,C0057
D001707,C0423
D001708,C0317
D001709,C0135
D001710,C0353
D001711,C0298
D001712,C0218
D001713,C0394
D001714,C0465
D001715,C0146
D001716,C0050
D001717,C0058
D001718,C0103
D001719,C0124
D001720,C0422
D001721,C0494
D001722,C0222
D001723,C0272
D001724,C0254
D001725,C0408
D001726,C0451
D001727,C0174
D001728,C0334
D001729,C0317
D001730,C0129
D001731,C0402
D001732,C0013
D001733,C0281
D001734,C0198
D001735,C0393
D001736,C0445
D001737,C0246
D001738,C0350
D001739,C0269
D001740,C0305
D001741,C0384
D001742,C0334
D001743,C0040
D001744,C0191
D001745,C0130
D001746,C0186
D001747,C0166
