merchant_id,risk_id
M00151,R003
M00152,R002
M00153,R002
M00154,R003
M00155,R002
M00156,R002
M00157,R002
M00158,R001
M00159,R001
M00160,R001
M00161,R002
M00162,R001
M00163,R001
M00164,R002
M00165,R002
M00166,R001
M00167,R003
M00168,R003
M00169,R001
M00170,R003
M00171,R002
M00172,R002
M00173,R001
M00174,R002
M00175,R002
M00176,R003
M00177,R002
M00178,R003
M00179,R002
M00180,R003
M00181,R001
M00182,R001
M00183,R002
M00184,R002
M00185,R001
M00186,R002
M00187,R002
M00188,R003
M00189,R003
M00190,R002
M00191,R002
M00192,R001
M00193,R003
M00194,R003
M00195,R001
M00196,R001
M00197,R002
M00198,R003
M00199,R001
M00200,R002
M00201,R002
M00202,R003
M00203,R001
M00204,R002
M00205,R003
M00206,R003
M00207,R002
M00208,R003
M00209,R002
M00210,R001
M00211,R001
M00212,R002
M00213,R003
M00214,R003
M00215,R003
M00216,R001
M00217,R003
M00218,R002
M00219,R003
M00220,R001
M00221,R002
M00222,R003
M00223,R001
M00224,R002
M00225,R003
M00226,R002
M00227,R003
M00228,R003
M00229,R002
M00230,R002
M00231,R002
M00232,R003
M00233,R001
M00234,R001
M00235,R002
M00236,R001
M00237,R001
M00238,R001
M00239,R002
M00240,R001
M00241,R002
M00242,R001
M00243,R002
M00244,R002
M00245,R002
M00246,R001
M00247,R002
M00248,R002
M00249,R001
M00250,R003
M00251,R001
M00252,R002
M00253,R001
M00254,R001
M00255,R001
M00256,R001
M00257,R002
M00258,R002
M00259,R001
M00260,R002
M00261,R003
M00262,R001
M00263,R001
M00264,R001
M00265,R001
M00266,R002
M00267,R002
M00268,R002
M00269,R003
M00270,R001
M00271,R003
M00272,R003
M00273,R003
M00274,R003
M00275,R003
M00276,R003
M00277,R001
M00278,R001
M00279,R001
M00280,R002
M00281,R003
M00282,R001
M00283,R003
M00284,R001
M00285,R003
M00286,R003
M00287,R002
M00288,R002
M00289,R002
M00290,R002
M00291,R001
M00292,R003
M00293,R003
M00294,R001
M00295,R002
M00296,R002
M00297,R001
M00298,R002
M00299,R001
M00300,R002
M00301,R001
M00302,R003
M00303,R002
M00304,R002
M00305,R001
M00306,R003
M00307,R001
M00308,R001
M00309,R002
M00310,R002
M00311,R003
M00312,R003
M00313,R002
M00314,R001
M00315,R002
M00316,R002
M00317,R002
M00318,R003
M00319,R003
M00320,R003
M00321,R002
M00322,R003
M00323,R002
M00324,R001
M00325,R003
M00326,R002
M00327,R001
M00328,R001
M00329,R003
M00330,R003
M00331,R003
M00332,R003
M00333,R003
M00334,R002
M00335,R002
M00336,R003
M00337,R001
M00338,R003
M00339,R003
M00340,R001
M00341,R002
M00342,R001
M00343,R001
M00344,R002
M00345,R002
M00346,R002
M00347,R003
M00348,R001
M00349,R003
M00350,R002
M00351,R001
M00352,R001
M00353,R003
M00354,R001
M00355,R002
M00356,R001
M00357,R001
M00358,R001
M00359,R001
M00360,R002
M00361,R001
M00362,R001
M00363,R002
M00364,R003
M00365,R001
M00366,R002
M00367,R003
M00368,R001
M00369,R003
M00370,R003
M00371,R002
M00372,R003
M00373,R001
M00374,R002
M00375,R003
M00376,R002
M00377,R001
M00378,R001
M00379,R003
M00380,R001
M00381,R002
M00382,R002
M00383,R003
M00384,R001
M00385,R001
M00386,R003
M00387,R001
M00388,R003
M00389,R001
M00390,R002
M00391,R003
M00392,R001
M00393,R003
M00394,R001
M00395,R002
M00396,R003
M00397,R001
M00398,R002
M00399,R001
M00400,R003
M00401,R001
M00402,R003
M00403,R002
M00404,R002
M00405,R002
M00406,R002
M00407,R001
M00408,R002
M00409,R002
M00410,R002
M00411,R002
M00412,R002
M00413,R002
M00414,R003
M00415,R002
M00416,R002
M00417,R003
M00418,R002
M00419,R002
M00420,R003
M00421,R001
M00422,R001
M00423,R003
M00424,R002
M00425,R001
M00426,R003
M00427,R002
M00428,R003
M00429,R002
M00430,R001
M00431,R002
M00432,R001
M00433,R003
M00434,R002
M00435,R002
M00436,R002
M00437,R003
M00438,R003
M00439,R001
M00440,R003
M00441,R002
M00442,R003
M00443,R001
M00444,R001
M00445,R001
M00446,R003
M00447,R002
M00448,R002
M00449,R003
M00450,R001
M00451,R003
M00452,R003
M00453,R002
M00454,R002
M00455,R002
M00456,R002
M00457,R002
M00458,R002
M00459,R003
M00460,R003
M00461,R003
M00462,R003
M00463,R002
M00464,R003
M00465,R003
M00466,R003
M00467,R003
M00468,R001
M00469,R001
M00470,R001
M00471,R003
M00472,R003
M00473,R001
M00474,R002
M00475,R003
M00476,R001
M00477,R002
M00478,R001
M00479,R003
M00480,R002
M00481,R002
M00482,R003
M00483,R001
M00484,R001
M00485,R001
M00486,R002
M00487,R002
M00488,R001
M00489,R003
M00490,R002
M00491,R001
M00492,R002
M00493,R002
M00494,R003
M00495,R002
M00496,R002
M00497,R001
M00498,R003
M00499,R002
M00500,R002
M00501,R001
M00502,R001
M00503,R002
M00504,R002
M00505,R001
M00506,R003
M00507,R002
M00508,R003
M00509,R002
M00510,R002
M00511,R001
M00512,R001
M00513,R001
M00514,R002
M00515,R002
M00516,R002
M00517,R001
M00518,R002
M00519,R003
M00520,R001
M00521,R002
M00522,R003
M00523,R003
M00524,R003
M00525,R003
M00526,R003
M00527,R003
M00528,R002
M00529,R001
M00530,R001
M00531,R003
M00532,R003
M00533,R002
M00534,R003
M00535,R003
M00536,R001
M00537,R002
M00538,R003
M00539,R003
M00540,R001
M00541,R002
M00542,R001
M00543,R003
M00544,R003
M00545,R001
M00546,R003
M00547,R001
M00548,R003
M00549,R001
M00550,R001
M00551,R003
M00552,R002
M00553,R002
M00554,R003
M00555,R003
M00556,R003
M00557,R002
M00558,R003
M00559,R003
M00560,R002
M00561,R003
M00562,R002
M00563,R001
M00564,R002
M00565,R002
M00566,R002
M00567,R001
M00568,R001
M00569,R002
M00570,R003
M00571,R001
M00572,R002
M00573,R001
M00574,R001
M00575,R003
M00576,R003
M00577,R003
M00578,R001
M00579,R002
M00580,R003
M00581,R003
M00582,R003
M00583,R002
M00584,R001
M00585,R001
M00586,R003
M00587,R003
M00588,R003
M00589,R002
M00590,R001
M00591,R002
M00592,R001
M00593,R001
M00594,R002
M00595,R002
M00596,R001
M00597,R001
M00598,R003
M00599,R001
M00600,R002
M00601,R002
M00602,R002
M00603,R003
M00604,R001
M00605,R002
M00606,R001
M00607,R002
M00608,R001
M00609,R002
M00610,R001
M00611,R003
M00612,R003
M00613,R003
M00614,R002
M00615,R001
M00616,R003
M00617,R003
M00618,R003
M00619,R003
M00620,R003
M00621,R001
M00622,R001
M00623,R003
M00624,R002
M00625,R001
M00626,R003
M00627,R001
M00628,R001
M00629,R001
M00630,R001
M00631,R003
M00632,R002
M00633,R001
M00634,R001
M00635,R001
M00636,R001
M00637,R003
M00638,R001
M00639,R001
M00640,R003
M00641,R003
M00642,R002
M00643,R003
M00644,R003
M00645,R003
M00646,R002
M00647,R001
M00648,R002
M00649,R001
M00650,R003
M00651,R001
M00652,R003
M00653,R003
M00654,R002
M00655,R003
M00656,R001
M00657,R002
M00658,R001
M00659,R003
M00660,R002
M00661,R001
M00662,R002
M00663,R003
M00664,R003
M00665,R001
M00666,R001
M00667,R003
M00668,R001
M00669,R003
M00670,R002
M00671,R003
M00672,R003
M00673,R003
M00674,R003
M00675,R002
M00676,R003
M00677,R001
M00678,R002
M00679,R002
M00680,R001
M00681,R001
M00682,R001
M00683,R002
M00684,R003
M00685,R001
M00686,R003
M00687,R002
M00688,R003
M00689,R003
M00690,R003
M00691,R003
M00692,R001
M00693,R001
M00694,R001
M00695,R001
M00696,R003
M00697,R001
M00698,R002
M00699,R003
M00700,R002
M00701,R001
M00702,R002
M00703,R001
M00704,R003
M00705,R003
M00706,R002
M00707,R001
M00708,R001
M00709,R002
M00710,R002
M00711,R003
M00712,R003
M00713,R002
M00714,R003
M00715,R003
M00716,R001
M00717,R002
M00718,R001
M00719,R002
M00720,R002
M00721,R001
M00722,R003
M00723,R001
M00724,R002
M00725,R002
M00726,R001
M00727,R001
M00728,R003
M00729,R003
M00730,R002
M00731,R002
M00732,R003
M00733,R002
M00734,R002
M00735,R002
M00736,R001
M00737,R001
M00738,R003
M00739,R002
M00740,R002
M00741,R003
M00742,R003
M00743,R001
M00744,R001
M00745,R002
M00746,R003
M00747,R001
M00748,R003
M00749,R002
M00750,R001
M00751,R002
M00752,R001
M00753,R001
M00754,R003
M00755,R003
M00756,R003
M00757,R003
M00758,R003
M00759,R002
M00760,R002
M00761,R003
M00762,R002
M00763,R002
M00764,R001
M00765,R001
M00766,R002
M00767,R002
M00768,R002
M00769,R002
M00770,R002
M00771,R002
M00772,R002
M00773,R003
M00774,R002
M00775,R001
M00776,R001
M00777,R001
M00778,R002
M00779,R001
M00780,R001
M00781,R001
M00782,R003
M00783,R001
M00784,R001
M00785,R002
M00786,R002
M00787,R002
M00788,R002
M00789,R002
M00790,R003
M00791,R003
M00792,R002
M00793,R001
M00794,R003
M00795,R002
M00796,R001
M00797,R001
M00798,R003
M00799,R002
M00800,R002
M00801,R003
M00802,R001
M00803,R001
M00804,R002
M00805,R003
M00806,R002
M00807,R001
M00808,R001
M00809,R003
M00810,R001
M00811,R002
M00812,R002
M00813,R001
M00814,R002
M00815,R001
M00816,R003
M00817,R003
M00818,R003
M00819,R001
M00820,R001
M00821,R003
M00822,R002
M00823,R001
M00824,R003
M00825,R001
M00826,R002
M00827,R001
M00828,R002
M00829,R002
M00830,R001
M00831,R002
M00832,R002
M00833,R003
M00834,R003
M00835,R001
M00836,R002
M00837,R001
M00838,R001
M00839,R001
M00840,R003
M00841,R003
M00842,R001
M00843,R003
M00844,R001
M00845,R003
M00846,R003
M00847,R003
M00848,R003
M00849,R003
M00850,R001
M00851,R002
M00852,R003
M00853,R002
M00854,R001
M00855,R003
M00856,R001
M00857,R003
M00858,R002
M00859,R001
M00860,R003
M00861,R002
M00862,R001
M00863,R002
M00864,R002
M00865,R001
M00866,R002
M00867,R002
M00868,R001
M00869,R002
M00870,R003
M00871,R002
M00872,R002
M00873,R002
M00874,R001
M00875,R002
M00876,R003
M00877,R001
M00878,R001
M00879,R002
M00880,R003
M00881,R002
M00882,R001
M00883,R003
M00884,R002
M00885,R003
M00886,R001
M00887,R002
M00888,R001
M00889,R001
M00890,R001
M00891,R001
M00892,R003
M00893,R003
M00894,R002
M00895,R001
M00896,R002
M00897,R002
M00898,R003
M00899,R001
M00900,R002
M00901,R002
M00902,R003
M00903,R001
M00904,R002
M00905,R001
M00906,R002
M00907,R003
M00908,R002
M00909,R001
M00910,R002
M00911,R002
M00912,R003
M00913,R001
M00914,R003
M00915,R002
M00916,R001
M00917,R002
M00918,R002
M00919,R002
M00920,R003
M00921,R003
M00922,R003
M00923,R002
M00924,R003
M00925,R003
M00926,R003
M00927,R001
M00928,R003
M00929,R003
M00930,R001
M00931,R002
M00932,R002
M00933,R002
M00934,R001
M00935,R002
M00936,R003
M00937,R001
M00938,R001
M00939,R002
M00940,R002
M00941,R002
M00942,R003
M00943,R002
M00944,R003
M00945,R001
M00946,R001
M00947,R002
M00948,R001
M00949,R002
M00950,R002
M00951,R002
M00952,R001
M00953,R001
M00954,R001
M00955,R001
M00956,R003
M00957,R003
M00958,R003
M00959,R002
M00960,R002
M00961,R001
M00962,R003
M00963,R003
M00964,R001
M00965,R001
M00966,R003
M00967,R001
M00968,R001
M00969,R001
M00970,R002
M00971,R001
M00972,R001
M00973,R001
M00974,R003
M00975,R002
M00976,R001
M00977,R002
M00978,R003
M00979,R002
M00980,R002
M00981,R003
M00982,R002
M00983,R003
M00984,R003
M00985,R001
M00986,R001
M00987,R002
M00988,R003
M00989,R001
M00990,R003
M00991,R003
M00992,R003
M00993,R003
M00994,R001
M00995,R003
M00996,R003
M00997,R003
M00998,R002
M00999,R003
M01000,R002
M01001,R002
M01002,R001
M01003,R001
M01004,R003
M01005,R003
M01006,R003
M01007,R003
M01008,R003
M01009,R001
M01010,R002
M01011,R003
M01012,R003
M01013,R001
M01014,R003
M01015,R002
M01016,R001
M01017,R003
M01018,R001
M01019,R001
M01020,R003
M01021,R003
M01022,R003
M01023,R003
M01024,R003
M01025,R001
M01026,R002
M01027,R001
M01028,R001
M01029,R001
M01030,R003
M01031,R003
M01032,R002
M01033,R003
M01034,R002
M01035,R001
M01036,R003
M01037,R002
M01038,R001
M01039,R001
M01040,R002
M01041,R003
M01042,R002
M01043,R001
M01044,R002
M01045,R001
M01046,R001
M01047,R002
M01048,R002
M01049,R003
M01050,R002
M01051,R001
M01052,R001
M01053,R003
M01054,R002
M01055,R003
M01056,R003
M01057,R001
M01058,R003
M01059,R002
M01060,R003
M01061,R002
M01062,R003
M01063,R002
M01064,R003
M01065,R002
M01066,R001
M01067,R002
M01068,R001
M01069,R002
M01070,R001
M01071,R003
M01072,R003
M01073,R003
M01074,R001
M01075,R002
M01076,R002
M01077,R001
M01078,R002
M01079,R002
M01080,R002
M01081,R002
M01082,R003
M01083,R002
M01084,R001
M01085,R002
M01086,R002
M01087,R001
M01088,R001
M01089,R003
M01090,R001
M01091,R003
M01092,R002
M01093,R001
M01094,R002
M01095,R002
M01096,R002
M01097,R001
M01098,R001
M01099,R003
M01100,R002
M01101,R001
M01102,R002
M01103,R001
M01104,R002
M01105,R002
M01106,R001
M01107,R001
M01108,R003
M01109,R001
M01110,R001
M01111,R003
M01112,R003
M01113,R003
M01114,R002
M01115,R003
M01116,R002
M01117,R002
M01118,R001
M01119,R001
M01120,R002
M01121,R001
M01122,R001
M01123,R001
M01124,R003
M01125,R001
M01126,R003
M01127,R001
M01128,R002
M01129,R002
M01130,R003
M01131,R002
M01132,R003
M01133,R002
M01134,R002
M01135,R002
M01136,R002
M01137,R001
M01138,R001
M01139,R001
M01140,R003
M01141,R002
M01142,R001
M01143,R002
M01144,R002
M01145,R002
M01146,R001
M01147,R001
M01148,R001
M01149,R001
M01150,R003
M01151,R001
M01152,R001
M01153,R003
M01154,R003
M01155,R001
M01156,R003
M01157,R001
M01158,R002
M01159,R001
M01160,R001
M01161,R003
M01162,R003
M01163,R003
M01164,R003
M01165,R001
M01166,R003
M01167,R001
M01168,R003
M01169,R003
M01170,R001
M01171,R002
M01172,R002
M01173,R003
M01174,R001
M01175,R003
M01176,R002
M01177,R002
M01178,R003
M01179,R003
M01180,R003
M01181,R001
M01182,R001
M01183,R002
M01184,R003
M01185,R002
M01186,R001
M01187,R001
M01188,R003
M01189,R001
M01190,R003
M01191,R003
M01192,R001
M01193,R002
M01194,R002
M01195,R003
M01196,R003
M01197,R002
M01198,R003
M01199,R001
M01200,R003
M01201,R003
M01202,R001
M01203,R002
M01204,R003
M01205,R002
M01206,R001
M01207,R001
M01208,R002
M01209,R003
M01210,R002
M01211,R001
M01212,R001
M01213,R003
M01214,R002
M01215,R002
M01216,R002
M01217,R002
M01218,R001
M01219,R003
M01220,R002
M01221,R002
M01222,R001
M01223,R003
M01224,R001
M01225,R001
M01226,R003
M01227,R001
M01228,R003
M01229,R002
M01230,R001
M01231,R003
M01232,R003
M01233,R001
M01234,R001
M01235,R001
M01236,R001
M01237,R003
M01238,R001
M01239,R001
M01240,R002
M01241,R002
M01242,R002
M01243,R002
M01244,R003
M01245,R002
M01246,R001
M01247,R002
M01248,R003
M01249,R003
M01250,R003
M01251,R003
M01252,R001
M01253,R001
M01254,R001
M01255,R003
M01256,R001
M01257,R002
M01258,R001
M01259,R002
M01260,R002
M01261,R003
M01262,R001
M01263,R001
M01264,R002
M01265,R002
M01266,R003
M01267,R003
M01268,R001
M01269,R001
M01270,R002
M01271,R001
M01272,R001
M01273,R003
M01274,R002
M01275,R003
M01276,R002
M01277,R001
M01278,R002
M01279,R003
M01280,R002
M01281,R001
M01282,R003
M01283,R001
M01284,R002
M01285,R001
M01286,R003
M01287,R002
M01288,R001
M01289,R003
M01290,R001
M01291,R002
M01292,R003
M01293,R001
M01294,R001
M01295,R003
M01296,R002
M01297,R003
M01298,R003
M01299,R001
M01300,R003
M01301,R003
M01302,R003
M01303,R001
M01304,R002
M01305,R003
M01306,R003
M01307,R002
M01308,R002
M01309,R002
M01310,R001
M01311,R001
M01312,R002
M01313,R001
M01314,R003
M01315,R002
M01316,R002
M01317,R003
M01318,R002
M01319,R001
M01320,R002
M01321,R003
M01322,R002
M01323,R003
M01324,R003
M01325,R003
M01326,R002
M01327,R002
M01328,R002
M01329,R001
M01330,R002
M01331,R003
M01332,R003
M01333,R002
M01334,R001
M01335,R003
M01336,R002
M01337,R003
M01338,R002
M01339,R003
M01340,R002
M01341,R001
M01342,R002
M01343,R003
M01344,R003
M01345,R002
M01346,R002
M01347,R002
M01348,R003
M01349,R002
M01350,R001
M01351,R003
M01352,R003
M01353,R002
M01354,R001
M01355,R001
M01356,R003
M01357,R001
M01358,R003
M01359,R003
M01360,R002
M01361,R003
M01362,R001
M01363,R002
M01364,R003
M01365,R003
M01366,R003
M01367,R001
M01368,R002
M01369,R001
M01370,R002
M01371,R001
M01372,R003
M01373,R002
M01374,R001
M01375,R003
M01376,R003
M01377,R003
M01378,R002
M01379,R002
M01380,R001
M01381,R001
M01382,R003
M01383,R003
M01384,R001
M01385,R002
M01386,R002
M01387,R001
M01388,R001
M01389,R001
M01390,R002
M01391,R002
M01392,R003
M01393,R001
M01394,R002
M01395,R003
M01396,R002
M01397,R003
M01398,R002
M01399,R003
M01400,R002
M01401,R001
M01402,R001
M01403,R001
M01404,R003
M01405,R001
M01406,R003
M01407,R001
M01408,R001
M01409,R002
M01410,R001
M01411,R001
M01412,R001
M01413,R002
M01414,R003
M01415,R002
M01416,R003
M01417,R003
M01418,R003
M01419,R001
M01420,R002
M01421,R003
M01422,R002
M01423,R001
M01424,R003
M01425,R003
M01426,R003
M01427,R001
M01428,R002
M01429,R002
M01430,R001
M01431,R002
M01432,R003
M01433,R002
M01434,R003
M01435,R001
M01436,R002
M01437,R002
M01438,R002
M01439,R002
M01440,R003
M01441,R001
M01442,R002
M01443,R003
M01444,R003
M01445,R001
M01446,R001
M01447,R002
M01448,R001
M01449,R001
M01450,R002
M01451,R001
M01452,R002
M01453,R002
M01454,R001
M01455,R003
M01456,R001
M01457,R001
M01458,R001
M01459,R001
M01460,R003
M01461,R003
M01462,R002
M01463,R001
M01464,R003
M01465,R002
M01466,R003
M01467,R003
M01468,R003
M01469,R002
M01470,R003
M01471,R001
M01472,R001
M01473,R001
M01474,R003
M01475,R001
M01476,R001
M01477,R001
M01478,R002
M01479,R001
M01480,R001
M01481,R003
M01482,R002
M01483,R001
M01484,R001
M01485,R001
M01486,R002
M01487,R003
M01488,R003
M01489,R003
M01490,R003
M01491,R002
M01492,R002
M01493,R002
M01494,R001
M01495,R002
M01496,R003
M01497,R002
M01498,R003
M01499,R003
M01500,R003
M01501,R001
M01502,R001
M01503,R001
M01504,R001
M01505,R002
M01506,R001
M01507,R001
M01508,R001
M01509,R003
M01510,R003
M01511,R001
M01512,R003
M01513,R002
M01514,R001
M01515,R003
M01516,R001
M01517,R001
M01518,R002
M01519,R003
M01520,R003
M01521,R003
M01522,R002
M01523,R001
M01524,R001
M01525,R002
M01526,R002
M01527,R003
M01528,R002
M01529,R003
M01530,R001
M01531,R003
M01532,R001
M01533,R002
M01534,R003
M01535,R002
M01536,R002
M01537,R001
M01538,R002
M01539,R001
M01540,R001
M01541,R001
M01542,R003
M01543,R001
M01544,R001
M01545,R001
M01546,R003
M01547,R003
M01548,R001
M01549,R002
M01550,R002
M01551,R002
M01552,R003
M01553,R003
M01554,R002
M01555,R001
M01556,R003
M01557,R001
M01558,R002
M01559,R003
M01560,R001
M01561,R003
M01562,R002
M01563,R001
M01564,R001
M01565,R002
M01566,R002
M01567,R003
M01568,R002
M01569,R003
M01570,R001
M01571,R001
M01572,R003
M01573,R003
M01574,R001
M01575,R002
M01576,R002
M01577,R003
M01578,R002
M01579,R003
M01580,R001
M01581,R003
M01582,R001
M01583,R002
M01584,R001
M01585,R001
M01586,R001
M01587,R003
M01588,R002
M01589,R001
M01590,R002
M01591,R003
M01592,R003
M01593,R001
M01594,R003
M01595,R002
M01596,R003
M01597,R001
M01598,R002
M01599,R002
M01600,R001
M01601,R003
M01602,R003
M01603,R003
M01604,R001
M01605,R001
M01606,R002
M01607,R003
M01608,R002
M01609,R002
M01610,R001
M01611,R001
M01612,R003
M01613,R001
M01614,R002
M01615,R002
M01616,R001
M01617,R003
M01618,R003
M01619,R001
M01620,R002
M01621,R002
M01622,R003
M01623,R002
M01624,R002
M01625,R003
M01626,R001
M01627,R003
M01628,R003
M01629,R002
M01630,R001
M01631,R001
M01632,R002
M01633,R001
M01634,R002
M01635,R001
M01636,R003
M01637,R002
M01638,R003
M01639,R002
M01640,R003
M01641,R003
M01642,R003
M01643,R003
M01644,R002
M01645,R002
M01646,R003
M01647,R003
M01648,R001
M01649,R002
M01650,R002
M01651,R002
M01652,R001
M01653,R003
M01654,R001
M01655,R001
M01656,R002
M01657,R003
M01658,R003
M01659,R002
M01660,R001
M01661,R002
M01662,R002
M01663,R003
M01664,R001
M01665,R001
M01666,R001
M01667,R002
M01668,R002
M01669,R002
M01670,R002
M01671,R003
M01672,R003
M01673,R001
M01674,R002
M01675,R001
M01676,R002
M01677,R002
M01678,R003
M01679,R002
M01680,R003
M01681,R002
M01682,R002
M01683,R002
M01684,R001
M01685,R001
M01686,R003
M01687,R003
M01688,R001
M01689,R001
M01690,R003
M01691,R002
M01692,R001
M01693,R001
M01694,R003
M01695,R001
M01696,R003
M01697,R001
M01698,R001
M01699,R001
M01700,R001
M01701,R003
M01702,R002
M01703,R003
M01704,R002
M01705,R002
M01706,R002
M01707,R002
M01708,R002
M01709,R003
M01710,R001
M01711,R001
M01712,R001
M01713,R001
M01714,R001
M01715,R001
M01716,R003
M01717,R003
M01718,R003
M01719,R002
M01720,R003
M01721,R003
M01722,R001
M01723,R001
M01724,R002
M01725,R003
M01726,R001
M01727,R002
M01728,R001
M01729,R001
M01730,R003
M01731,R001
M01732,R003
M01733,R002
M01734,R002
M01735,R001
M01736,R002
M01737,R003
M01738,R002
M01739,R003
M01740,R003
M01741,R002
M01742,R001
M01743,R002
M01744,R003
M01745,R001
M01746,R003
M01747,R003
M01748,R003
M01749,R003
M01750,R003
M01751,R001
M01752,R002
M01753,R001
M01754,R001
M01755,R002
M01756,R002
M01757,R003
M01758,R002
M01759,R001
M01760,R003
M01761,R002
M01762,R001
M01763,R002
M01764,R002
M01765,R001
M01766,R001
M01767,R002
M01768,R003
M01769,R001
M01770,R001
M01771,R003
M01772,R003
M01773,R002
M01774,R003
M01775,R001
M01776,R003
M01777,R001
M01778,R003
M01779,R002
M01780,R001
M01781,R002
M01782,R001
M01783,R001
M01784,R001
M01785,R001
M01786,R002
M01787,R003
M01788,R003
M01789,R001
M01790,R002
M01791,R002
M01792,R002
M01793,R002
M01794,R001
M01795,R002
M01796,R001
M01797,R003
M01798,R001
M01799,R002
M01800,R003
M01801,R002
M01802,R001
M01803,R001
M01804,R001
M01805,R001
M01806,R003
M01807,R003
M01808,R002
M01809,R001
M01810,R001
M01811,R001
M01812,R003
M01813,R002
M01814,R001
M01815,R002
M01816,R003
M01817,R003
M01818,R001
M01819,R003
M01820,R003
M01821,R002
M01822,R001
M01823,R002
M01824,R003
M01825,R003
M01826,R003
M01827,R003
M01828,R001
M01829,R003
M01830,R002
M01831,R001
M01832,R003
M01833,R001
M01834,R003
M01835,R002
M01836,R001
M01837,R003
M01838,R002
M01839,R001
M01840,R003
M01841,R003
M01842,R003
M01843,R003
M01844,R003
M01845,R002
M01846,R003
M01847,R003
M01848,R002
M01849,R003
M01850,R001
M01851,R001
M01852,R003
M01853,R003
M01854,R003
M01855,R001
M01856,R001
M01857,R002
M01858,R002
M01859,R002
M01860,R001
M01861,R001
M01862,R002
M01863,R001
M01864,R002
M01865,R001
M01866,R003
M01867,R002
M01868,R002
M01869,R003
M01870,R002
M01871,R002
M01872,R001
M01873,R001
M01874,R001
M01875,R001
M01876,R001
M01877,R003
M01878,R001
M01879,R002
M01880,R003
M01881,R001
M01882,R003
M01883,R003
M01884,R001
M01885,R001
M01886,R001
M01887,R001
M01888,R003
M01889,R002
M01890,R003
M01891,R001
M01892,R003
M01893,R002
M01894,R003
M01895,R002
M01896,R002
M01897,R003
M01898,R003
M01899,R001
M01900,R001
M01901,R003
M01902,R003
M01903,R001
M01904,R001
M01905,R003
M01906,R001
M01907,R003
M01908,R002
M01909,R003
M01910,R003
M01911,R001
M01912,R001
M01913,R002
M01914,R002
M01915,R003
M01916,R003
M01917,R002
M01918,R003
M01919,R001
M01920,R003
M01921,R001
M01922,R001
M01923,R003
M01924,R001
M01925,R001
M01926,R001
M01927,R003
M01928,R003
M01929,R003
M01930,R003
M01931,R003
M01932,R001
M01933,R001
M01934,R001
M01935,R002
M01936,R002
M01937,R003
M01938,R003
M01939,R001
M01940,R002
M01941,R003
M01942,R002
M01943,R002
M01944,R001
M01945,R001
M01946,R002
M01947,R001
M01948,R002
M01949,R002
M01950,R002
M01951,R003
M01952,R002
M01953,R003
M01954,R002
M01955,R001
M01956,R001
M01957,R003
M01958,R002
M01959,R002
M01960,R002
M01961,R002
M01962,R001
M01963,R003
M01964,R002
M01965,R002
M01966,R002
M01967,R002
M01968,R002
M01969,R002
M01970,R001
M01971,R002
M01972,R003
M01973,R003
M01974,R003
M01975,R003
M01976,R001
M01977,R003
M01978,R002
M01979,R001
M01980,R003
M01981,R001
M01982,R001
M01983,R003
M01984,R001
M01985,R002
M01986,R002
M01987,R001
M01988,R003
M01989,R001
M01990,R001
M01991,R001
M01992,R001
M01993,R001
M01994,R001
M01995,R003
M01996,R003
