merchant_id,gateway_id
M00169,PG006
M00170,PG004
M00171,PG010
M00172,PG005
M00173,PG014
M00174,PG001
M00175,PG012
M00176,PG009
M00177,PG015
M00178,PG013
M00179,PG007
M00180,PG011
M00181,PG005
M00182,PG010
M00183,PG005
M00184,PG010
M00185,PG012
M00186,PG003
M00187,PG005
M00188,PG003
M00189,PG005
M00190,PG014
M00191,PG011
M00192,PG005
M00193,PG015
M00194,PG008
M00195,PG011
M00196,PG010
M00197,PG007
M00198,PG011
M00199,PG010
M00200,PG011
M00201,PG001
M00202,PG008
M00203,PG013
M00204,PG001
M00205,PG003
M00206,PG007
M00207,PG007
M00208,PG001
M00209,PG008
M00210,PG010
M00211,PG001
M00212,PG014
M00213,PG013
M00214,PG002
M00215,PG013
M00216,PG003
M00217,PG008
M00218,PG009
M00219,PG014
M00220,PG013
M00221,PG007
M00222,PG013
M00223,PG009
M00224,PG013
M00225,PG012
M00226,PG008
M00227,PG005
M00228,PG013
M00229,PG012
M00230,PG001
M00231,PG006
M00232,PG014
M00233,PG010
M00234,PG009
M00235,PG007
M00236,PG014
M00237,PG012
M00238,PG006
M00239,PG001
M00240,PG015
M00241,PG012
M00242,PG002
M00243,PG004
M00244,PG007
M00245,PG007
M00246,PG005
M00247,PG001
M00248,PG003
M00249,PG011
M00250,PG014
M00251,PG005
M00252,PG012
M00253,PG002
M00254,PG007
M00255,PG013
M00256,PG014
M00257,PG013
M00258,PG004
M00259,PG014
M00260,PG010
M00261,PG010
M00262,PG011
M00263,PG002
M00264,PG013
M00265,PG014
M00266,PG013
M00267,PG015
M00268,PG013
M00269,PG003
M00270,PG010
M00271,PG011
M00272,PG005
M00273,PG008
M00274,PG007
M00275,PG010
M00276,PG006
M00277,PG008
M00278,PG003
M00279,PG012
M00280,PG014
M00281,PG008
M00282,PG007
M00283,PG002
M00284,PG006
M00285,PG009
M00286,PG002
M00287,PG002
M00288,PG011
M00289,PG015
M00290,PG013
M00291,PG002
M00292,PG015
M00293,PG003
M00294,PG004
M00295,PG010
M00296,PG007
M00297,PG006
M00298,PG011
M00299,PG007
M00300,PG006
M00301,PG003
M00302,PG014
M00303,PG004
M00304,PG010
M00305,PG003
M00306,PG005
M00307,PG001
M00308,PG002
M00309,PG014
M00310,PG014
M00311,PG012
M00312,PG012
M00313,PG009
M00314,PG009
M00315,PG014
M00316,PG008
M00317,PG013
M00318,PG010
M00319,PG013
M00320,PG012
M00321,PG007
M00322,PG003
M00323,PG003
M00324,PG009
M00325,PG002
M00326,PG010
M00327,PG010
M00328,PG004
M00329,PG008
M00330,PG004
M00331,PG010
M00332,PG010
M00333,PG007
M00334,PG005
M00335,PG009
M00336,PG006
M00337,PG004
M00338,PG013
M00339,PG015
M00340,PG014
M00341,PG009
M00342,PG009
M00343,PG010
M00344,PG006
M00345,PG011
M00346,PG011
M00347,PG009
M00348,PG013
M00349,PG007
M00350,PG004
M00351,PG005
M00352,PG009
M00353,PG009
M00354,PG011
M00355,PG002
M00356,PG001
M00357,PG004
M00358,PG004
M00359,PG006
M00360,PG011
M00361,PG012
M00362,PG004
M00363,PG008
M00364,PG015
M00365,PG013
M00366,PG001
M00367,PG014
M00368,PG001
M00369,PG008
M00370,PG011
M00371,PG011
M00372,PG002
M00373,PG006
M00374,PG005
M00375,PG009
M00376,PG005
M00377,PG014
M00378,PG013
M00379,PG006
M00380,PG002
M00381,PG009
M00382,PG014
M00383,PG009
M00384,PG007
M00385,PG009
M00386,PG011
M00387,PG006
M00388,PG009
M00389,PG004
M00390,PG013
M00391,PG002
M00392,PG003
M00393,PG003
M00394,PG007
M00395,PG006
M00396,PG008
M00397,PG005
M00398,PG007
M00399,PG008
M00400,PG010
M00401,PG007
M00402,PG009
M00403,PG003
M00404,PG001
M00405,PG004
M00406,PG009
M00407,PG001
M00408,PG007
M00409,PG013
M00410,PG015
M00411,PG015
M00412,PG006
M00413,PG003
M00414,PG012
M00415,PG004
M00416,PG002
M00417,PG010
M00418,PG006
M00419,PG011
M00420,PG004
M00421,PG014
M00422,PG010
M00423,PG011
M00424,PG001
M00425,PG008
M00426,PG008
M00427,PG010
M00428,PG001
M00429,PG006
M00430,PG004
M00431,PG012
M00432,PG009
M00433,PG013
M00434,PG003
M00435,PG005
M00436,PG003
M00437,PG003
M00438,PG001
M00439,PG011
M00440,PG009
M00441,PG005
M00442,PG013
M00443,PG012
M00444,PG011
M00445,PG002
M00446,PG012
M00447,PG014
M00448,PG002
M00449,PG015
M00450,PG008
M00451,PG010
M00452,PG002
M00453,PG002
M00454,PG005
M00455,PG003
M00456,PG003
M00457,PG013
M00458,PG011
M00459,PG006
M00460,PG003
M00461,PG004
M00462,PG004
M00463,PG005
M00464,PG013
M00465,PG012
M00466,PG007
M00467,PG007
M00468,PG005
M00469,PG007
M00470,PG010
M00471,PG006
M00472,PG003
M00473,PG003
M00474,PG006
M00475,PG009
M00476,PG015
M00477,PG008
M00478,PG008
M00479,PG007
M00480,PG013
M00481,PG004
M00482,PG014
M00483,PG008
M00484,PG006
M00485,PG015
M00486,PG007
M00487,PG003
M00488,PG008
M00489,PG004
M00490,PG011
M00491,PG007
M00492,PG001
M00493,PG012
M00494,PG014
M00495,PG013
M00496,PG014
M00497,PG010
M00498,PG005
M00499,PG001
M00500,PG011
M00501,PG014
M00502,PG012
M00503,PG010
M00504,PG013
M00505,PG007
M00506,PG013
M00507,PG014
M00508,PG014
M00509,PG006
M00510,PG010
M00511,PG006
M00512,PG012
M00513,PG003
M00514,PG007
M00515,PG001
M00516,PG003
M00517,PG008
M00518,PG005
M00519,PG003
M00520,PG009
M00521,PG012
M00522,PG015
M00523,PG009
M00524,PG002
M00525,PG011
M00526,PG013
M00527,PG008
M00528,PG015
M00529,PG013
M00530,PG003
M00531,PG001
M00532,PG007
M00533,PG014
M00534,PG007
M00535,PG008
M00536,PG005
M00537,PG014
M00538,PG012
M00539,PG006
M00540,PG011
M00541,PG008
M00542,PG008
M00543,PG009
M00544,PG015
M00545,PG001
M00546,PG001
M00547,PG006
M00548,PG007
M00549,PG004
M00550,PG013
M00551,PG014
M00552,PG012
M00553,PG012
M00554,PG011
M00555,PG015
M00556,PG011
M00557,PG012
M00558,PG006
M00559,PG012
M00560,PG001
M00561,PG003
M00562,PG001
M00563,PG010
M00564,PG013
M00565,PG010
M00566,PG006
M00567,PG002
M00568,PG008
M00569,PG005
M00570,PG015
M00571,PG003
M00572,PG012
M00573,PG007
M00574,PG003
M00575,PG002
M00576,PG003
M00577,PG007
M00578,PG014
M00579,PG001
M00580,PG004
M00581,PG010
M00582,PG002
M00583,PG004
M00584,PG008
M00585,PG014
M00586,PG010
M00587,PG010
M00588,PG010
M00589,PG012
M00590,PG006
M00591,PG011
M00592,PG004
M00593,PG014
M00594,PG005
M00595,PG002
M00596,PG011
M00597,PG013
M00598,PG013
M00599,PG010
M00600,PG010
M00601,PG013
M00602,PG014
M00603,PG008
M00604,PG011
M00605,PG003
M00606,PG004
M00607,PG015
M00608,PG014
M00609,PG011
M00610,PG012
M00611,PG009
M00612,PG008
M00613,PG004
M00614,PG014
M00615,PG005
M00616,PG003
M00617,PG005
M00618,PG007
M00619,PG009
M00620,PG014
M00621,PG005
M00622,PG008
M00623,PG015
M00624,PG012
M00625,PG012
M00626,PG002
M00627,PG006
M00628,PG001
M00629,PG003
M00630,PG004
M00631,PG004
M00632,PG006
M00633,PG012
M00634,PG006
M00635,PG001
M00636,PG002
M00637,PG003
M00638,PG012
M00639,PG004
M00640,PG014
M00641,PG006
M00642,PG006
M00643,PG011
M00644,PG002
M00645,PG009
M00646,PG012
M00647,PG010
M00648,PG004
M00649,PG015
M00650,PG015
M00651,PG002
M00652,PG012
M00653,PG011
M00654,PG011
M00655,PG013
M00656,PG010
M00657,PG010
M00658,PG015
M00659,PG013
M00660,PG014
M00661,PG006
M00662,PG011
M00663,PG012
M00664,PG009
M00665,PG010
M00666,PG002
M00667,PG015
M00668,PG005
M00669,PG004
M00670,PG008
M00671,PG006
M00672,PG008
M00673,PG012
M00674,PG015
M00675,PG003
M00676,PG005
M00677,PG004
M00678,PG007
M00679,PG001
M00680,PG012
M00681,PG001
M00682,PG002
M00683,PG004
M00684,PG009
M00685,PG012
M00686,PG005
M00687,PG013
M00688,PG003
M00689,PG015
M00690,PG005
M00691,PG015
M00692,PG012
M00693,PG001
M00694,PG014
M00695,PG010
M00696,PG002
M00697,PG008
M00698,PG010
M00699,PG005
M00700,PG008
M00701,PG002
M00702,PG004
M00703,PG004
M00704,PG010
M00705,PG006
M00706,PG007
M00707,PG011
M00708,PG007
M00709,PG001
M00710,PG015
M00711,PG003
M00712,PG009
M00713,PG009
M00714,PG015
M00715,PG004
M00716,PG009
M00717,PG006
M00718,PG006
M00719,PG005
M00720,PG001
M00721,PG001
M00722,PG014
M00723,PG011
M00724,PG010
M00725,PG007
M00726,PG007
M00727,PG015
M00728,PG012
M00729,PG015
M00730,PG005
M00731,PG002
M00732,PG007
M00733,PG013
M00734,PG002
M00735,PG010
M00736,PG008
M00737,PG003
M00738,PG006
M00739,PG012
M00740,PG015
M00741,PG006
M00742,PG001
M00743,PG010
M00744,PG002
M00745,PG015
M00746,PG013
M00747,PG014
M00748,PG004
M00749,PG005
M00750,PG002
M00751,PG001
M00752,PG009
M00753,PG004
M00754,PG011
M00755,PG009
M00756,PG013
M00757,PG004
M00758,PG009
M00759,PG005
M00760,PG011
M00761,PG015
M00762,PG011
M00763,PG015
M00764,PG007
M00765,PG006
M00766,PG012
M00767,PG010
M00768,PG009
M00769,PG012
M00770,PG005
M00771,PG014
M00772,PG006
M00773,PG005
M00774,PG009
M00775,PG012
M00776,PG001
M00777,PG008
M00778,PG014
M00779,PG014
M00780,PG005
M00781,PG008
M00782,PG005
M00783,PG006
M00784,PG008
M00785,PG005
M00786,PG008
M00787,PG010
M00788,PG015
M00789,PG004
M00790,PG014
M00791,PG013
M00792,PG004
M00793,PG012
M00794,PG006
M00795,PG006
M00796,PG007
M00797,PG011
M00798,PG004
M00799,PG008
M00800,PG003
M00801,PG014
M00802,PG005
M00803,PG012
M00804,PG003
M00805,PG007
M00806,PG012
M00807,PG011
M00808,PG003
M00809,PG008
M00810,PG011
M00811,PG015
M00812,PG015
M00813,PG003
M00814,PG015
M00815,PG005
M00816,PG011
M00817,PG006
M00818,PG015
M00819,PG003
M00820,PG011
M00821,PG007
M00822,PG006
M00823,PG007
M00824,PG010
M00825,PG001
M00826,PG004
M00827,PG012
M00828,PG001
M00829,PG005
M00830,PG010
M00831,PG012
M00832,PG001
M00833,PG003
M00834,PG001
M00835,PG007
M00836,PG007
M00837,PG012
M00838,PG007
M00839,PG013
M00840,PG015
M00841,PG003
M00842,PG015
M00843,PG010
M00844,PG002
M00845,PG004
M00846,PG014
M00847,PG009
M00848,PG006
M00849,PG012
M00850,PG003
M00851,PG015
M00852,PG005
M00853,PG009
M00854,PG004
M00855,PG013
M00856,PG007
M00857,PG003
M00858,PG001
M00859,PG011
M00860,PG012
M00861,PG010
M00862,PG013
M00863,PG001
M00864,PG015
M00865,PG012
M00866,PG004
M00867,PG014
M00868,PG012
M00869,PG011
M00870,PG001
M00871,PG001
M00872,PG008
M00873,PG011
M00874,PG011
M00875,PG009
M00876,PG006
M00877,PG011
M00878,PG007
M00879,PG008
M00880,PG010
M00881,PG014
M00882,PG004
M00883,PG015
M00884,PG014
M00885,PG009
M00886,PG009
M00887,PG002
M00888,PG001
M00889,PG004
M00890,PG002
M00891,PG015
M00892,PG009
M00893,PG006
M00894,PG011
M00895,PG011
M00896,PG006
M00897,PG013
M00898,PG001
M00899,PG003
M00900,PG005
M00901,PG001
M00902,PG002
M00903,PG013
M00904,PG001
M00905,PG013
M00906,PG003
M00907,PG010
M00908,PG001
M00909,PG006
M00910,PG015
M00911,PG014
M00912,PG001
M00913,PG011
M00914,PG014
M00915,PG011
M00916,PG008
M00917,PG002
M00918,PG010
M00919,PG001
M00920,PG008
M00921,PG012
M00922,PG006
M00923,PG013
M00924,PG012
M00925,PG004
M00926,PG013
M00927,PG012
M00928,PG002
M00929,PG015
M00930,PG013
M00931,PG002
M00932,PG002
M00933,PG004
M00934,PG004
M00935,PG002
M00936,PG002
M00937,PG012
M00938,PG014
M00939,PG010
M00940,PG001
M00941,PG002
M00942,PG012
M00943,PG009
M00944,PG015
M00945,PG004
M00946,PG002
M00947,PG011
M00948,PG009
M00949,PG005
M00950,PG004
M00951,PG015
M00952,PG014
M00953,PG010
M00954,PG009
M00955,PG009
M00956,PG013
M00957,PG009
M00958,PG003
M00959,PG002
M00960,PG012
M00961,PG014
M00962,PG007
M00963,PG011
M00964,PG012
M00965,PG006
M00966,PG002
M00967,PG007
M00968,PG015
M00969,PG013
M00970,PG007
M00971,PG004
M00972,PG007
M00973,PG014
M00974,PG002
M00975,PG013
M00976,PG014
M00977,PG001
M00978,PG006
M00979,PG013
M00980,PG004
M00981,PG010
M00982,PG015
M00983,PG015
M00984,PG001
M00985,PG006
M00986,PG007
M00987,PG007
M00988,PG003
M00989,PG003
M00990,PG003
M00991,PG014
M00992,PG006
M00993,PG014
M00994,PG004
M00995,PG013
M00996,PG014
M00997,PG005
M00998,PG007
M00999,PG008
M01000,PG013
M01001,PG013
M01002,PG008
M01003,PG013
M01004,PG013
M01005,PG008
M01006,PG011
M01007,PG003
M01008,PG006
M01009,PG014
M01010,PG004
M01011,PG010
M01012,PG001
M01013,PG006
M01014,PG014
M01015,PG007
M01016,PG006
M01017,PG015
M01018,PG012
M01019,PG011
M01020,PG012
M01021,PG013
M01022,PG006
M01023,PG014
M01024,PG006
M01025,PG002
M01026,PG007
M01027,PG001
M01028,PG001
M01029,PG003
M01030,PG003
M01031,PG004
M01032,PG004
M01033,PG002
M01034,PG007
M01035,PG007
M01036,PG001
M01037,PG001
M01038,PG013
M01039,PG012
M01040,PG001
M01041,PG013
M01042,PG010
M01043,PG010
M01044,PG003
M01045,PG003
M01046,PG006
M01047,PG009
M01048,PG007
M01049,PG006
M01050,PG007
M01051,PG011
M01052,PG014
M01053,PG008
M01054,PG008
M01055,PG015
M01056,PG010
M01057,PG003
M01058,PG003
M01059,PG009
M01060,PG012
M01061,PG006
M01062,PG007
M01063,PG014
M01064,PG012
M01065,PG014
M01066,PG001
M01067,PG004
M01068,PG003
M01069,PG009
M01070,PG003
M01071,PG003
M01072,PG014
M01073,PG001
M01074,PG012
M01075,PG004
M01076,PG012
M01077,PG009
M01078,PG012
M01079,PG004
M01080,PG007
M01081,PG014
M01082,PG006
M01083,PG002
M01084,PG001
M01085,PG006
M01086,PG001
M01087,PG005
M01088,PG003
M01089,PG003
M01090,PG005
M01091,PG014
M01092,PG015
M01093,PG011
M01094,PG011
M01095,PG008
M01096,PG011
M01097,PG001
M01098,PG015
M01099,PG004
M01100,PG002
M01101,PG014
M01102,PG001
M01103,PG004
M01104,PG006
M01105,PG012
M01106,PG007
M01107,PG015
M01108,PG011
M01109,PG004
M01110,PG015
M01111,PG009
M01112,PG012
M01113,PG001
M01114,PG012
M01115,PG001
M01116,PG010
M01117,PG011
M01118,PG013
M01119,PG015
M01120,PG012
M01121,PG004
M01122,PG015
M01123,PG013
M01124,PG014
M01125,PG007
M01126,PG003
M01127,PG014
M01128,PG001
M01129,PG015
M01130,PG011
M01131,PG006
M01132,PG014
M01133,PG002
M01134,PG007
M01135,PG001
M01136,PG008
M01137,PG003
M01138,PG009
M01139,PG002
M01140,PG013
M01141,PG005
M01142,PG015
M01143,PG002
M01144,PG009
M01145,PG009
M01146,PG001
M01147,PG011
M01148,PG005
M01149,PG011
M01150,PG012
M01151,PG004
M01152,PG015
M01153,PG008
M01154,PG008
M01155,PG005
M01156,PG009
M01157,PG011
M01158,PG012
M01159,PG006
M01160,PG010
M01161,PG011
M01162,PG003
M01163,PG003
M01164,PG004
M01165,PG003
M01166,PG012
M01167,PG004
M01168,PG003
M01169,PG007
M01170,PG001
M01171,PG002
M01172,PG003
M01173,PG009
M01174,PG002
M01175,PG002
M01176,PG001
M01177,PG006
M01178,PG008
M01179,PG004
M01180,PG014
M01181,PG006
M01182,PG014
M01183,PG013
M01184,PG002
M01185,PG014
M01186,PG007
M01187,PG004
M01188,PG007
M01189,PG003
M01190,PG008
M01191,PG011
M01192,PG010
M01193,PG010
M01194,PG005
M01195,PG008
M01196,PG009
M01197,PG005
M01198,PG011
M01199,PG004
M01200,PG010
M01201,PG004
M01202,PG001
M01203,PG001
M01204,PG011
M01205,PG008
M01206,PG007
M01207,PG009
M01208,PG015
M01209,PG006
M01210,PG007
M01211,PG008
M01212,PG009
M01213,PG004
M01214,PG013
M01215,PG005
M01216,PG015
M01217,PG014
M01218,PG009
M01219,PG007
M01220,PG006
M01221,PG010
M01222,PG007
M01223,PG014
M01224,PG005
M01225,PG008
M01226,PG006
M01227,PG004
M01228,PG015
M01229,PG006
M01230,PG013
M01231,PG015
M01232,PG006
M01233,PG014
M01234,PG006
M01235,PG012
M01236,PG008
M01237,PG012
M01238,PG008
M01239,PG001
M01240,PG015
M01241,PG007
M01242,PG010
M01243,PG011
M01244,PG010
M01245,PG012
M01246,PG008
M01247,PG014
M01248,PG006
M01249,PG015
M01250,PG014
M01251,PG001
M01252,PG006
M01253,PG006
M01254,PG008
M01255,PG002
M01256,PG001
M01257,PG009
M01258,PG009
M01259,PG012
M01260,PG014
M01261,PG002
M01262,PG011
M01263,PG007
M01264,PG010
M01265,PG013
M01266,PG004
M01267,PG015
M01268,PG012
M01269,PG007
M01270,PG012
M01271,PG001
M01272,PG008
M01273,PG002
M01274,PG012
M01275,PG009
M01276,PG010
M01277,PG012
M01278,PG009
M01279,PG013
M01280,PG003
M01281,PG004
M01282,PG004
M01283,PG013
M01284,PG013
M01285,PG013
M01286,PG007
M01287,PG002
M01288,PG011
M01289,PG007
M01290,PG006
M01291,PG005
M01292,PG003
M01293,PG003
M01294,PG007
M01295,PG010
M01296,PG015
M01297,PG006
M01298,PG007
M01299,PG009
M01300,PG003
M01301,PG005
M01302,PG010
M01303,PG002
M01304,PG008
M01305,PG015
M01306,PG001
M01307,PG001
M01308,PG002
M01309,PG009
M01310,PG003
M01311,PG011
M01312,PG008
M01313,PG004
M01314,PG005
M01315,PG003
M01316,PG008
M01317,PG015
M01318,PG012
M01319,PG014
M01320,PG011
M01321,PG006
M01322,PG013
M01323,PG012
M01324,PG002
M01325,PG002
M01326,PG008
M01327,PG006
M01328,PG001
M01329,PG006
M01330,PG006
M01331,PG009
M01332,PG010
M01333,PG010
M01334,PG002
M01335,PG002
M01336,PG009
M01337,PG014
M01338,PG010
M01339,PG010
M01340,PG004
M01341,PG011
M01342,PG009
M01343,PG008
M01344,PG001
M01345,PG007
M01346,PG013
M01347,PG007
M01348,PG015
M01349,PG015
M01350,PG007
M01351,PG009
M01352,PG008
M01353,PG008
M01354,PG004
M01355,PG012
M01356,PG008
M01357,PG014
M01358,PG009
M01359,PG002
M01360,PG002
M01361,PG005
M01362,PG011
M01363,PG001
M01364,PG004
M01365,PG004
M01366,PG012
M01367,PG012
M01368,PG013
M01369,PG003
M01370,PG008
M01371,PG015
M01372,PG009
M01373,PG002
M01374,PG007
M01375,PG001
M01376,PG014
M01377,PG013
M01378,PG015
M01379,PG010
M01380,PG006
M01381,PG002
M01382,PG010
M01383,PG005
M01384,PG014
M01385,PG013
M01386,PG011
M01387,PG015
M01388,PG002
M01389,PG006
M01390,PG003
M01391,PG004
M01392,PG007
M01393,PG003
M01394,PG005
M01395,PG009
M01396,PG004
M01397,PG013
M01398,PG011
M01399,PG014
M01400,PG011
M01401,PG013
M01402,PG009
M01403,PG011
M01404,PG009
M01405,PG004
M01406,PG002
M01407,PG007
M01408,PG011
M01409,PG003
M01410,PG001
M01411,PG007
M01412,PG012
M01413,PG010
M01414,PG009
M01415,PG014
M01416,PG002
M01417,PG011
M01418,PG005
M01419,PG003
M01420,PG005
M01421,PG015
M01422,PG011
M01423,PG014
M01424,PG005
M01425,PG015
M01426,PG008
M01427,PG003
M01428,PG008
M01429,PG010
M01430,PG015
M01431,PG010
M01432,PG005
M01433,PG003
M01434,PG015
M01435,PG015
M01436,PG006
M01437,PG011
M01438,PG001
M01439,PG005
M01440,PG007
M01441,PG005
M01442,PG015
M01443,PG007
M01444,PG013
M01445,PG003
M01446,PG005
M01447,PG012
M01448,PG008
M01449,PG009
M01450,PG013
M01451,PG009
M01452,PG008
M01453,PG003
M01454,PG004
M01455,PG005
M01456,PG001
M01457,PG013
M01458,PG013
M01459,PG006
M01460,PG011
M01461,PG006
M01462,PG002
M01463,PG015
M01464,PG008
M01465,PG004
M01466,PG005
M01467,PG008
M01468,PG015
M01469,PG014
M01470,PG009
M01471,PG009
M01472,PG001
M01473,PG012
M01474,PG015
M01475,PG015
M01476,PG008
M01477,PG002
M01478,PG004
M01479,PG001
M01480,PG010
M01481,PG011
M01482,PG013
M01483,PG006
M01484,PG006
M01485,PG003
M01486,PG010
M01487,PG010
M01488,PG011
M01489,PG002
M01490,PG004
M01491,PG007
M01492,PG013
M01493,PG006
M01494,PG009
M01495,PG014
M01496,PG011
M01497,PG006
M01498,PG011
M01499,PG002
M01500,PG012
M01501,PG008
M01502,PG004
M01503,PG002
M01504,PG006
M01505,PG004
M01506,PG014
M01507,PG015
M01508,PG014
M01509,PG014
M01510,PG009
M01511,PG004
M01512,PG008
M01513,PG002
M01514,PG003
M01515,PG010
M01516,PG005
M01517,PG008
M01518,PG014
M01519,PG001
M01520,PG013
M01521,PG015
M01522,PG012
M01523,PG012
M01524,PG002
M01525,PG009
M01526,PG008
M01527,PG009
M01528,PG004
M01529,PG014
M01530,PG010
M01531,PG012
M01532,PG015
M01533,PG008
M01534,PG007
M01535,PG004
M01536,PG007
M01537,PG001
M01538,PG010
M01539,PG004
M01540,PG004
M01541,PG001
M01542,PG003
M01543,PG012
M01544,PG007
M01545,PG003
M01546,PG006
M01547,PG012
M01548,PG001
M01549,PG008
M01550,PG007
M01551,PG015
M01552,PG010
M01553,PG008
M01554,PG008
M01555,PG010
M01556,PG009
M01557,PG009
M01558,PG008
M01559,PG008
M01560,PG011
M01561,PG007
M01562,PG010
M01563,PG011
M01564,PG003
M01565,PG011
M01566,PG006
M01567,PG014
M01568,PG011
M01569,PG011
M01570,PG015
M01571,PG014
M01572,PG009
M01573,PG010
M01574,PG003
M01575,PG006
M01576,PG015
M01577,PG014
M01578,PG011
M01579,PG012
M01580,PG008
M01581,PG009
M01582,PG002
M01583,PG011
M01584,PG010
M01585,PG014
M01586,PG001
M01587,PG013
M01588,PG011
M01589,PG009
M01590,PG011
M01591,PG014
M01592,PG007
M01593,PG003
M01594,PG007
M01595,PG002
M01596,PG010
M01597,PG004
M01598,PG004
M01599,PG012
M01600,PG002
M01601,PG008
M01602,PG004
M01603,PG014
M01604,PG010
M01605,PG006
M01606,PG001
M01607,PG014
M01608,PG015
M01609,PG002
M01610,PG006
M01611,PG007
M01612,PG014
M01613,PG003
M01614,PG012
M01615,PG012
M01616,PG002
M01617,PG009
M01618,PG005
M01619,PG015
M01620,PG004
M01621,PG012
M01622,PG009
M01623,PG007
M01624,PG005
M01625,PG007
M01626,PG002
M01627,PG009
M01628,PG010
M01629,PG014
M01630,PG013
M01631,PG003
M01632,PG006
M01633,PG009
M01634,PG012
M01635,PG001
M01636,PG014
M01637,PG002
M01638,PG014
M01639,PG011
M01640,PG013
M01641,PG002
M01642,PG013
M01643,PG009
M01644,PG009
M01645,PG010
M01646,PG009
M01647,PG011
M01648,PG014
M01649,PG004
M01650,PG005
M01651,PG007
M01652,PG007
M01653,PG009
M01654,PG003
M01655,PG009
M01656,PG013
M01657,PG004
M01658,PG001
M01659,PG014
M01660,PG002
M01661,PG011
M01662,PG001
M01663,PG005
M01664,PG009
M01665,PG003
M01666,PG010
M01667,PG008
M01668,PG014
M01669,PG010
M01670,PG014
M01671,PG009
M01672,PG011
M01673,PG014
M01674,PG008
M01675,PG006
M01676,PG001
M01677,PG004
M01678,PG006
M01679,PG005
M01680,PG006
M01681,PG009
M01682,PG009
M01683,PG010
M01684,PG008
M01685,PG014
M01686,PG010
M01687,PG004
M01688,PG008
M01689,PG012
M01690,PG015
M01691,PG007
M01692,PG008
M01693,PG007
M01694,PG011
M01695,PG001
M01696,PG003
M01697,PG015
M01698,PG006
M01699,PG013
M01700,PG001
M01701,PG002
M01702,PG004
M01703,PG008
M01704,PG010
M01705,PG015
M01706,PG009
M01707,PG007
M01708,PG011
M01709,PG015
M01710,PG014
M01711,PG013
M01712,PG001
M01713,PG013
M01714,PG014
M01715,PG015
M01716,PG008
M01717,PG006
M01718,PG008
M01719,PG012
M01720,PG002
M01721,PG013
M01722,PG002
M01723,PG009
M01724,PG011
M01725,PG005
M01726,PG014
M01727,PG009
M01728,PG002
M01729,PG002
M01730,PG001
M01731,PG005
M01732,PG001
M01733,PG001
M01734,PG002
M01735,PG012
M01736,PG010
M01737,PG006
M01738,PG007
M01739,PG005
M01740,PG005
M01741,PG001
M01742,PG007
M01743,PG012
M01744,PG013
M01745,PG003
M01746,PG010
M01747,PG011
