application_id,approval_id
A000302,AP012451
A000303,AP030019
A000304,AP038948
A000305,AP011726
A000306,AP017572
A000307,AP038502
A000308,AP010428
A000309,AP049404
A000310,AP003288
A000311,AP021693
A000312,AP042900
A000313,AP010068
A000314,AP006649
A000315,AP016653
A000316,AP012611
A000317,AP031380
A000318,AP007959
A000319,AP006610
A000320,AP014054
A000321,AP012529
A000322,AP036480
A000323,AP008037
A000324,AP033785
A000325,AP005131
A000326,AP031976
A000327,AP015194
A000328,AP016909
A000329,AP034836
A000330,AP022643
A000331,AP034053
A000332,AP045369
A000333,AP041183
A000334,AP043727
A000335,AP015545
A000336,AP005609
A000337,AP004938
A000338,AP010103
A000339,AP031923
A000340,AP003458
A000341,AP021334
A000342,AP024628
A000343,AP025358
A000344,AP000858
A000345,AP040329
A000346,AP019433
A000347,AP020549
A000348,AP044363
A000349,AP009379
A000350,AP044929
A000351,AP001948
A000352,AP006735
A000353,AP042236
A000354,AP020347
A000355,AP021041
A000356,AP006034
A000357,AP037849
A000358,AP049193
A000359,AP008943
A000360,AP028786
A000361,AP023239
A000362,AP013978
A000363,AP022307
A000364,AP003463
A000365,AP021321
A000366,AP021389
A000367,AP039797
A000368,AP010921
A000369,AP008633
A000370,AP003832
A000371,AP020361
A000372,AP034031
A000373,AP017911
A000374,AP008373
A000375,AP031631
A000376,AP041716
A000377,AP036128
A000378,AP033094
A000379,AP028597
A000380,AP043065
A000381,AP012358
A000382,AP002207
A000383,AP025614
A000384,AP019466
A000385,AP032069
A000386,AP012831
A000387,AP002980
A000388,AP043278
A000389,AP023007
A000390,AP030137
A000391,AP022151
A000392,AP021670
A000393,AP018674
A000394,AP026298
A000395,AP015139
A000396,AP015389
A000397,AP014027
A000398,AP018253
A000399,AP030161
A000400,AP036127
A000401,AP044089
A000402,AP042071
A000403,AP007773
A000404,AP011813
A000405,AP021650
A000406,AP036616
A000407,AP041639
A000408,AP047662
A000409,AP049848
A000410,AP020206
A000411,AP043869
A000412,AP005304
A000413,AP017909
A000414,AP006142
A000415,AP015453
A000416,AP007973
A000417,AP018803
A000418,AP042484
A000419,AP002595
A000420,AP020381
A000421,AP016894
A000422,AP005743
A000423,AP005618
A000424,AP021102
A000425,AP000700
A000426,AP028372
A000427,AP029512
A000428,AP034601
A000429,AP033917
A000430,AP046666
A000431,AP042128
A000432,AP045773
A000433,AP002884
A000434,AP003892
A000435,AP037369
A000436,AP045647
A000437,AP003331
A000438,AP012996
A000439,AP048525
A000440,AP010528
A000441,AP042421
A000442,AP019142
A000443,AP033448
A000444,AP011430
A000445,AP039480
A000446,AP037250
A000447,AP033303
A000448,AP039655
A000449,AP011042
A000450,AP017161
A000451,AP029639
A000452,AP001867
A000453,AP015539
A000454,AP040090
A000455,AP038717
A000456,AP027347
A000457,AP013359
A000458,AP025101
A000459,AP012995
A000460,AP040718
A000461,AP040583
A000462,AP031858
A000463,AP021439
A000464,AP007786
A000465,AP007089
A000466,AP049450
A000467,AP037710
A000468,AP010389
A000469,AP035307
A000470,AP041672
A000471,AP036086
A000472,AP023244
A000473,AP011122
A000474,AP012532
A000475,AP025080
A000476,AP037380
A000477,AP031615
A000478,AP009172
A000479,AP020219
A000480,AP044397
A000481,AP032064
A000482,AP021511
A000483,AP043046
A000484,AP024731
A000485,AP019364
A000486,AP015764
A000487,AP004588
A000488,AP031036
A000489,AP046626
A000490,AP048490
A000491,AP042774
A000492,AP026933
A000493,AP029824
A000494,AP048598
A000495,AP014604
A000496,AP013670
A000497,AP049259
A000498,AP015596
A000499,AP015464
A000500,AP020575
A000501,AP027668
A000502,AP029020
A000503,AP027279
A000504,AP005021
A000505,AP003624
A000506,AP019220
A000507,AP035821
A000508,AP002757
A000509,AP019104
A000510,AP031836
A000511,AP032276
A000512,AP031838
A000513,AP032417
A000514,AP011170
A000515,AP021888
A000516,AP046155
A000517,AP027085
A000518,AP047184
A000519,AP031526
A000520,AP025556
A000521,AP000729
A000522,AP049785
A000523,AP000756
A000524,AP022579
A000525,AP019476
A000526,AP005872
A000527,AP038635
A000528,AP029013
A000529,AP018192
A000530,AP023123
A000531,AP023570
A000532,AP033535
A000533,AP049781
A000534,AP034630
A000535,AP022118
A000536,AP041982
A000537,AP015023
A000538,AP048972
A000539,AP002340
A000540,AP025437
A000541,AP041102
A000542,AP049082
A000543,AP046823
A000544,AP041785
A000545,AP013002
A000546,AP007176
A000547,AP039340
A000548,AP047086
A000549,AP046810
A000550,AP043251
A000551,AP017822
A000552,AP026849
A000553,AP047050
A000554,AP011202
A000555,AP034069
A000556,AP038560
A000557,AP045336
A000558,AP022543
A000559,AP024233
A000560,AP018238
A000561,AP013859
A000562,AP030622
A000563,AP024435
A000564,AP034329
A000565,AP037872
A000566,AP003031
A000567,AP029412
A000568,AP010783
A000569,AP035761
A000570,AP037795
A000571,AP049852
A000572,AP026402
A000573,AP014076
A000574,AP002759
A000575,AP011532
A000576,AP034550
A000577,AP047408
A000578,AP026425
A000579,AP028382
A000580,AP038846
A000581,AP006750
A000582,AP014925
A000583,AP040948
A000584,AP038920
A000585,AP028971
A000586,AP000818
A000587,AP021850
A000588,AP044253
A000589,AP034233
A000590,AP009948
A000591,AP025255
A000592,AP020259
A000593,AP034993
A000594,AP030503
A000595,AP002391
A000596,AP034623
A000597,AP046605
A000598,AP022873
A000599,AP030847
A000600,AP043360
A000601,AP016504
A000602,AP036726
A000603,AP003509
A000604,AP033358
A000605,AP044548
A000606,AP049529
A000607,AP030627
A000608,AP021270
A000609,AP002795
A000610,AP010623
A000611,AP007552
A000612,AP034078
A000613,AP008782
A000614,AP027967
A000615,AP043488
A000616,AP005817
A000617,AP034960
A000618,AP034262
A000619,AP010346
A000620,AP013441
A000621,AP011162
A000622,AP000079
A000623,AP016279
A000624,AP005280
A000625,AP028777
A000626,AP037931
A000627,AP048439
A000628,AP043450
A000629,AP022118
A000630,AP017289
A000631,AP042117
A000632,AP047466
A000633,AP039054
A000634,AP036334
A000635,AP040955
A000636,AP018436
A000637,AP010146
A000638,AP013259
A000639,AP048156
A000640,AP030766
A000641,AP041506
A000642,AP042686
A000643,AP002217
A000644,AP039684
A000645,AP045237
A000646,AP005759
A000647,AP049822
A000648,AP001692
A000649,AP006711
A000650,AP015736
A000651,AP041565
A000652,AP031293
A000653,AP000025
A000654,AP001806
A000655,AP027425
A000656,AP010759
A000657,AP003502
A000658,AP040484
A000659,AP044484
A000660,AP014851
A000661,AP038845
A000662,AP002099
A000663,AP041051
A000664,AP039962
A000665,AP010673
A000666,AP043864
A000667,AP010021
A000668,AP003951
A000669,AP024653
A000670,AP010026
A000671,AP047785
A000672,AP018587
A000673,AP015870
A000674,AP000715
A000675,AP030151
A000676,AP004803
A000677,AP039028
A000678,AP036687
A000679,AP038107
A000680,AP017736
A000681,AP002656
A000682,AP001249
A000683,AP017550
A000684,AP004619
A000685,AP025554
A000686,AP004941
A000687,AP040905
A000688,AP016490
A000689,AP015359
A000690,AP017758
A000691,AP026172
A000692,AP039154
A000693,AP022630
A000694,AP004922
A000695,AP019049
A000696,AP016546
A000697,AP032464
A000698,AP005659
A000699,AP020232
A000700,AP021417
A000701,AP046146
A000702,AP009891
A000703,AP011229
A000704,AP014002
A000705,AP005829
A000706,AP043341
A000707,AP003587
A000708,AP038481
A000709,AP027741
A000710,AP008595
A000711,AP043340
A000712,AP004930
A000713,AP013542
A000714,AP021653
A000715,AP045850
A000716,AP010617
A000717,AP027864
A000718,AP021230
A000719,AP031006
A000720,AP022452
A000721,AP029594
A000722,AP037100
A000723,AP008355
A000724,AP010712
A000725,AP035851
A000726,AP020093
A000727,AP029326
A000728,AP021323
A000729,AP032149
A000730,AP004526
A000731,AP041078
A000732,AP039327
A000733,AP014706
A000734,AP047286
A000735,AP011283
A000736,AP004825
A000737,AP030922
A000738,AP014332
A000739,AP000671
A000740,AP026073
A000741,AP024571
A000742,AP043030
A000743,AP040895
A000744,AP016541
A000745,AP037156
A000746,AP027675
A000747,AP042218
A000748,AP002830
A000749,AP030031
A000750,AP012053
A000751,AP023083
A000752,AP011658
A000753,AP041461
A000754,AP016062
A000755,AP002411
A000756,AP003326
A000757,AP022502
A000758,AP013327
A000759,AP045616
A000760,AP029243
A000761,AP032118
A000762,AP033040
A000763,AP016172
A000764,AP015135
A000765,AP022057
A000766,AP011111
A000767,AP004956
A000768,AP036950
A000769,AP014797
A000770,AP045208
A000771,AP005795
A000772,AP020218
A000773,AP018000
A000774,AP031421
A000775,AP004575
A000776,AP008869
A000777,AP031158
A000778,AP047328
A000779,AP002893
A000780,AP036238
A000781,AP013757
A000782,AP045964
A000783,AP030484
A000784,AP010568
A000785,AP030743
A000786,AP014732
A000787,AP023983
A000788,AP028942
A000789,AP038238
A000790,AP008916
A000791,AP007396
A000792,AP046796
A000793,AP041777
A000794,AP036678
A000795,AP001604
A000796,AP021323
A000797,AP015883
A000798,AP029234
A000799,AP046592
A000800,AP044211
A000801,AP014224
A000802,AP008074
A000803,AP000049
A000804,AP030825
A000805,AP025912
A000806,AP017008
A000807,AP026247
A000808,AP018149
A000809,AP013530
A000810,AP049060
A000811,AP007664
A000812,AP041383
A000813,AP009560
A000814,AP039953
A000815,AP018369
A000816,AP009631
A000817,AP025874
A000818,AP035884
A000819,AP025604
A000820,AP024216
A000821,AP026870
A000822,AP028341
A000823,AP015411
A000824,AP025366
A000825,AP049700
A000826,AP005095
A000827,AP011195
A000828,AP033795
A000829,AP043106
A000830,AP005674
A000831,AP028043
A000832,AP038577
A000833,AP004684
A000834,AP018338
A000835,AP035363
A000836,AP042968
A000837,AP026785
A000838,AP027096
A000839,AP027916
A000840,AP036288
A000841,AP004176
A000842,AP025764
A000843,AP038391
A000844,AP033438
A000845,AP031292
A000846,AP000274
A000847,AP033499
A000848,AP038828
A000849,AP009749
A000850,AP022129
A000851,AP039564
A000852,AP026501
A000853,AP002368
A000854,AP021600
A000855,AP012892
A000856,AP001490
A000857,AP047869
A000858,AP045750
A000859,AP037991
A000860,AP031708
A000861,AP034101
A000862,AP007322
A000863,AP023039
A000864,AP037509
A000865,AP042438
A000866,AP047694
A000867,AP008768
A000868,AP040536
A000869,AP038496
A000870,AP041695
A000871,AP031254
A000872,AP017517
A000873,AP005563
A000874,AP042770
A000875,AP014021
A000876,AP005685
A000877,AP044021
A000878,AP016221
A000879,AP014447
A000880,AP028566
A000881,AP032834
A000882,AP019828
A000883,AP018102
A000884,AP022288
A000885,AP048880
A000886,AP008887
A000887,AP016175
A000888,AP027353
A000889,AP004616
A000890,AP012494
A000891,AP032678
A000892,AP021273
A000893,AP036758
A000894,AP002546
A000895,AP044683
A000896,AP038042
A000897,AP026112
A000898,AP014028
A000899,AP038142
A000900,AP043689
A000901,AP008023
A000902,AP020117
A000903,AP002260
A000904,AP022264
A000905,AP043259
A000906,AP026051
A000907,AP004938
A000908,AP001716
A000909,AP016200
A000910,AP016955
A000911,AP035548
A000912,AP032727
A000913,AP008465
A000914,AP011302
A000915,AP033042
A000916,AP022377
A000917,AP022306
A000918,AP022362
A000919,AP019730
A000920,AP019607
A000921,AP024600
A000922,AP025004
A000923,AP001302
A000924,AP049566
A000925,AP047132
A000926,AP006501
A000927,AP038129
A000928,AP029204
A000929,AP013297
A000930,AP007934
A000931,AP021860
A000932,AP031317
A000933,AP022998
A000934,AP035540
A000935,AP046169
A000936,AP016382
A000937,AP031062
A000938,AP004472
A000939,AP032141
A000940,AP021202
A000941,AP009859
A000942,AP029827
A000943,AP006166
A000944,AP018540
A000945,AP031826
A000946,AP026743
A000947,AP022739
A000948,AP039488
A000949,AP002874
A000950,AP002668
A000951,AP012846
A000952,AP020071
A000953,AP006999
A000954,AP028304
A000955,AP030471
A000956,AP016405
A000957,AP000010
A000958,AP046916
A000959,AP003156
A000960,AP006779
A000961,AP000055
A000962,AP037591
A000963,AP037678
A000964,AP013984
A000965,AP003502
A000966,AP005999
A000967,AP009752
A000968,AP011901
A000969,AP031088
A000970,AP045278
A000971,AP018321
A000972,AP015913
A000973,AP006080
A000974,AP047916
A000975,AP043319
A000976,AP027926
A000977,AP017047
A000978,AP030448
A000979,AP042449
A000980,AP042706
A000981,AP037884
A000982,AP023758
A000983,AP020730
A000984,AP026354
A000985,AP043668
A000986,AP035392
A000987,AP003450
A000988,AP021158
A000989,AP043069
A000990,AP042231
A000991,AP010392
A000992,AP031952
A000993,AP045031
A000994,AP047441
A000995,AP039885
A000996,AP003685
A000997,AP019185
A000998,AP012267
A000999,AP020056
A001000,AP027363
A001001,AP006903
A001002,AP047277
A001003,AP040565
A001004,AP036737
A001005,AP049920
A001006,AP048740
A001007,AP033951
A001008,AP010466
A001009,AP016554
A001010,AP006202
A001011,AP005715
A001012,AP009375
A001013,AP016967
A001014,AP013836
A001015,AP024019
A001016,AP043271
A001017,AP032108
A001018,AP013750
A001019,AP032110
A001020,AP048538
A001021,AP046107
A001022,AP034943
A001023,AP042835
A001024,AP003221
A001025,AP004123
A001026,AP043495
A001027,AP034144
A001028,AP025479
A001029,AP009184
A001030,AP013965
A001031,AP013194
A001032,AP005605
A001033,AP006902
A001034,AP011321
A001035,AP002192
A001036,AP001870
A001037,AP030357
A001038,AP004096
A001039,AP036064
A001040,AP002230
A001041,AP005542
A001042,AP025380
A001043,AP043022
A001044,AP005102
A001045,AP026475
A001046,AP028242
A001047,AP005913
A001048,AP047519
A001049,AP045894
A001050,AP029125
A001051,AP031314
A001052,AP038871
A001053,AP025712
A001054,AP036230
A001055,AP019671
A001056,AP036990
A001057,AP038808
A001058,AP016419
A001059,AP006695
A001060,AP019978
A001061,AP019322
A001062,AP022265
A001063,AP037004
A001064,AP030905
A001065,AP033566
A001066,AP025482
A001067,AP012483
A001068,AP031951
A001069,AP016061
A001070,AP043532
A001071,AP005075
A001072,AP049872
A001073,AP035800
A001074,AP026957
A001075,AP040341
A001076,AP002198
A001077,AP012658
A001078,AP011199
A001079,AP017368
A001080,AP029469
A001081,AP008362
A001082,AP028599
A001083,AP038706
A001084,AP007255
A001085,AP025761
A001086,AP024810
A001087,AP008224
A001088,AP029024
A001089,AP034391
A001090,AP011583
A001091,AP022269
A001092,AP005118
A001093,AP043888
A001094,AP001642
A001095,AP008932
A001096,AP025744
A001097,AP004458
A001098,AP040218
A001099,AP015817
A001100,AP014857
A001101,AP028819
A001102,AP029554
A001103,AP033172
A001104,AP046558
A001105,AP046563
A001106,AP010959
A001107,AP019364
A001108,AP031247
A001109,AP006888
A001110,AP009665
A001111,AP029201
A001112,AP008062
A001113,AP049532
A001114,AP021041
A001115,AP033743
A001116,AP010658
A001117,AP046465
A001118,AP003538
A001119,AP013160
A001120,AP024640
A001121,AP023582
A001122,AP046666
A001123,AP015938
A001124,AP017588
A001125,AP033369
A001126,AP012102
A001127,AP038797
A001128,AP031921
A001129,AP046507
A001130,AP033826
A001131,AP014242
A001132,AP045218
A001133,AP030872
A001134,AP043617
A001135,AP037365
A001136,AP033848
A001137,AP002427
A001138,AP020969
A001139,AP013153
A001140,AP016636
A001141,AP027367
A001142,AP033899
A001143,AP000539
A001144,AP009150
A001145,AP020643
A001146,AP033114
A001147,AP035597
A001148,AP048229
A001149,AP039998
A001150,AP004860
A001151,AP026902
A001152,AP000474
A001153,AP030924
A001154,AP035600
A001155,AP039437
A001156,AP016451
A001157,AP032930
A001158,AP019473
A001159,AP028130
A001160,AP037240
A001161,AP028825
A001162,AP021205
A001163,AP005324
A001164,AP035595
A001165,AP014637
A001166,AP043704
A001167,AP040216
A001168,AP013579
A001169,AP029551
A001170,AP029874
A001171,AP016218
A001172,AP039271
A001173,AP030937
A001174,AP048878
A001175,AP033598
A001176,AP002681
A001177,AP021085
A001178,AP002623
A001179,AP020052
A001180,AP042679
A001181,AP043381
A001182,AP040588
A001183,AP049617
A001184,AP039408
A001185,AP000342
A001186,AP029249
A001187,AP038160
A001188,AP031774
A001189,AP045687
A001190,AP031626
A001191,AP030482
A001192,AP011810
A001193,AP039312
A001194,AP026415
A001195,AP041589
A001196,AP034935
A001197,AP012845
A001198,AP018040
A001199,AP043943
A001200,AP011920
A001201,AP005480
A001202,AP038554
A001203,AP046473
A001204,AP001529
A001205,AP017989
A001206,AP032906
A001207,AP028663
A001208,AP006247
A001209,AP041821
A001210,AP026344
A001211,AP042805
A001212,AP009203
A001213,AP040221
A001214,AP030187
A001215,AP036770
A001216,AP006751
A001217,AP027162
A001218,AP007800
A001219,AP004934
A001220,AP012673
A001221,AP014979
A001222,AP024708
A001223,AP033073
A001224,AP042451
A001225,AP002584
A001226,AP006617
A001227,AP045128
A001228,AP014845
A001229,AP011197
A001230,AP042563
A001231,AP022713
A001232,AP016582
A001233,AP030092
A001234,AP040348
A001235,AP003279
A001236,AP044117
A001237,AP008103
A001238,AP008313
A001239,AP004425
A001240,AP043013
A001241,AP000618
A001242,AP000222
A001243,AP017821
A001244,AP045266
A001245,AP016496
A001246,AP016114
A001247,AP021161
A001248,AP042944
A001249,AP009667
A001250,AP010204
A001251,AP043131
A001252,AP033638
A001253,AP019590
A001254,AP010260
A001255,AP033344
A001256,AP046115
A001257,AP019434
A001258,AP018680
A001259,AP015123
A001260,AP046027
A001261,AP039568
A001262,AP038968
A001263,AP008111
A001264,AP016940
A001265,AP015651
A001266,AP043334
A001267,AP040916
A001268,AP004373
A001269,AP039464
A001270,AP041447
A001271,AP028303
A001272,AP035048
A001273,AP015278
A001274,AP004424
A001275,AP007066
A001276,AP042995
A001277,AP005896
A001278,AP039334
A001279,AP008365
A001280,AP041968
A001281,AP039332
A001282,AP016135
A001283,AP040992
A001284,AP036508
A001285,AP016604
A001286,AP018440
A001287,AP015197
A001288,AP035704
A001289,AP046124
A001290,AP026594
A001291,AP005662
A001292,AP007291
A001293,AP008193
A001294,AP046025
A001295,AP034509
A001296,AP043765
A001297,AP012381
A001298,AP038986
A001299,AP026109
A001300,AP046252
A001301,AP006433
A001302,AP023409
A001303,AP007958
A001304,AP004956
A001305,AP043132
A001306,AP003386
A001307,AP007281
A001308,AP022307
A001309,AP013096
A001310,AP008760
A001311,AP023594
A001312,AP026697
A001313,AP012145
A001314,AP031574
A001315,AP026783
A001316,AP047133
A001317,AP010423
A001318,AP011043
A001319,AP033083
A001320,AP035608
A001321,AP036996
A001322,AP045550
A001323,AP034307
A001324,AP031301
A001325,AP017471
A001326,AP038324
A001327,AP017299
A001328,AP042050
A001329,AP047506
A001330,AP003576
A001331,AP043045
A001332,AP031691
A001333,AP019315
A001334,AP007112
A001335,AP016266
A001336,AP003310
A001337,AP041849
A001338,AP039839
A001339,AP046008
A001340,AP037900
A001341,AP018661
A001342,AP017422
A001343,AP038179
A001344,AP004779
A001345,AP017944
A001346,AP018282
A001347,AP023805
A001348,AP022918
A001349,AP040437
A001350,AP005129
A001351,AP029584
A001352,AP031210
A001353,AP013948
A001354,AP034860
A001355,AP048516
A001356,AP046979
A001357,AP042502
A001358,AP012872
A001359,AP032485
A001360,AP049439
A001361,AP004399
A001362,AP012189
A001363,AP043350
A001364,AP012025
A001365,AP010993
A001366,AP008248
A001367,AP034421
A001368,AP041084
A001369,AP035331
A001370,AP001760
A001371,AP011721
A001372,AP017462
A001373,AP008743
A001374,AP044145
A001375,AP015650
A001376,AP040036
A001377,AP011285
A001378,AP032557
A001379,AP017329
A001380,AP049406
A001381,AP001709
A001382,AP026478
A001383,AP040517
A001384,AP016400
A001385,AP013792
A001386,AP007074
A001387,AP012234
A001388,AP043243
A001389,AP034705
A001390,AP048413
A001391,AP036861
A001392,AP031268
A001393,AP040064
A001394,AP040107
A001395,AP040996
A001396,AP032371
A001397,AP029710
A001398,AP034060
A001399,AP017985
A001400,AP049302
A001401,AP013806
A001402,AP009625
A001403,AP033569
A001404,AP049139
A001405,AP026543
A001406,AP044004
A001407,AP010328
A001408,AP007162
A001409,AP000960
A001410,AP036669
A001411,AP012827
A001412,AP047311
A001413,AP023058
A001414,AP030827
A001415,AP002622
A001416,AP016723
A001417,AP005778
A001418,AP028904
A001419,AP012970
A001420,AP047216
A001421,AP034519
A001422,AP024653
A001423,AP019210
A001424,AP017734
A001425,AP011381
A001426,AP002095
A001427,AP008511
A001428,AP034684
A001429,AP048658
A001430,AP047188
A001431,AP002187
A001432,AP016145
A001433,AP032325
A001434,AP032904
A001435,AP036122
A001436,AP041962
A001437,AP037378
A001438,AP018537
A001439,AP011238
A001440,AP036838
A001441,AP048943
A001442,AP034283
A001443,AP037332
A001444,AP034708
A001445,AP005481
A001446,AP042176
A001447,AP017284
A001448,AP049963
A001449,AP022629
A001450,AP038575
A001451,AP013605
A001452,AP046476
A001453,AP031907
A001454,AP040594
A001455,AP022102
A001456,AP039165
A001457,AP003164
A001458,AP024837
A001459,AP041625
A001460,AP036850
A001461,AP020361
A001462,AP004957
A001463,AP033401
A001464,AP021734
A001465,AP045210
A001466,AP042516
A001467,AP034640
A001468,AP013303
A001469,AP042258
A001470,AP003356
A001471,AP012017
A001472,AP035607
A001473,AP021296
A001474,AP039939
A001475,AP044635
A001476,AP044256
A001477,AP045204
A001478,AP022987
A001479,AP033795
A001480,AP020091
A001481,AP009528
A001482,AP025844
A001483,AP003777
A001484,AP005951
A001485,AP037265
A001486,AP043440
A001487,AP012347
A001488,AP009061
A001489,AP032105
A001490,AP042669
A001491,AP015419
A001492,AP009228
A001493,AP015158
A001494,AP005175
A001495,AP040792
A001496,AP024488
A001497,AP040831
A001498,AP038319
A001499,AP007055
A001500,AP020956
A001501,AP045053
A001502,AP003470
A001503,AP009897
A001504,AP049034
A001505,AP000464
A001506,AP032819
A001507,AP032957
A001508,AP006168
A001509,AP044264
A001510,AP008113
A001511,AP004732
A001512,AP039447
A001513,AP049325
A001514,AP027636
A001515,AP030464
A001516,AP026417
A001517,AP045208
A001518,AP039601
A001519,AP039460
A001520,AP006620
A001521,AP039912
A001522,AP016495
A001523,AP047896
A001524,AP020420
A001525,AP029287
A001526,AP014011
A001527,AP044217
A001528,AP000654
A001529,AP029565
A001530,AP032936
A001531,AP033960
A001532,AP003421
A001533,AP047516
A001534,AP029903
A001535,AP034841
A001536,AP038217
A001537,AP001116
A001538,AP028046
A001539,AP031423
A001540,AP006643
A001541,AP021962
A001542,AP007324
A001543,AP027576
A001544,AP049144
A001545,AP047754
A001546,AP043609
A001547,AP020646
A001548,AP032250
A001549,AP032463
A001550,AP035247
A001551,AP049086
A001552,AP027080
A001553,AP033069
