merchant_id,name,industry,risk_profile
M00162,Fresh Traders,Fashion,Low
M00163,Global World,Technology,Low
M00164,Fresh Solutions,Automotive,Medium
M00165,Vertex Services,Electronics,Medium
M00166,Nova Mart,Education,Low
M00167,Prime Retailers,Retail,High
M00168,ABC Services,Retail,High
M00169,Global Services,Finance,Low
M00170,Vertex Retailers,Finance,High
M00171,Vertex Traders,Automotive,Medium
M00172,Prime Retailers,Electronics,Medium
M00173,NextGen Traders,Fashion,Low
M00174,Metro Retailers,Technology,Medium
M00175,ABC Hub,Electronics,Medium
M00176,XYZ Traders,Electronics,High
M00177,Fresh Solutions,Education,Medium
M00178,Elite Services,Healthcare,High
M00179,Fresh Services,Electronics,Medium
M00180,Elite Store,Education,High
M00181,NextGen Mart,Finance,Low
M00182,NextGen Mart,Electronics,Low
M00183,NextGen Foods,Retail,Medium
M00184,Vertex Hub,Retail,Medium
M00185,Prime Mart,Automotive,Low
M00186,Fresh Mart,Education,Medium
M00187,Vertex World,Electronics,Medium
M00188,Fresh Hub,Retail,High
M00189,Nova Foods,Retail,High
M00190,Vertex Hub,Retail,Medium
M00191,ABC Hub,Education,Medium
M00192,XYZ Store,Fashion,Low
M00193,Global Electronics,Finance,High
M00194,Metro Electronics,Electronics,High
M00195,Global Store,Education,Low
M00196,Fresh World,Technology,Low
M00197,Prime Mart,Automotive,Medium
M00198,Metro Store,Travel,High
M00199,NextGen Mart,Healthcare,Low
M00200,XYZ Electronics,Automotive,Medium
M00201,Elite Services,Automotive,Medium
M00202,ABC Store,Retail,High
M00203,Prime Store,Healthcare,Low
M00204,Fresh Mart,Technology,Medium
M00205,NextGen World,Healthcare,High
M00206,Fresh Traders,Healthcare,High
M00207,Elite Hub,Electronics,Medium
M00208,NextGen Electronics,Technology,High
M00209,NextGen Mart,Electronics,Medium
M00210,NextGen Electronics,Finance,Low
M00211,Global World,Healthcare,Low
M00212,ABC Mart,Food & Beverage,Medium
M00213,Vertex World,Finance,High
M00214,ABC Store,Finance,High
M00215,ABC Solutions,Healthcare,High
M00216,Global Store,Food & Beverage,Low
M00217,NextGen Mart,Finance,High
M00218,Nova Electronics,Food & Beverage,Medium
M00219,Nova Foods,Fashion,High
M00220,ABC Retailers,Technology,Low
M00221,Fresh Electronics,Food & Beverage,Medium
M00222,NextGen Foods,Finance,High
M00223,Prime Traders,Healthcare,Low
M00224,Prime Store,Automotive,Medium
M00225,Vertex World,Fashion,High
M00226,Prime Foods,Automotive,Medium
M00227,Elite Solutions,Education,High
M00228,Fresh Hub,Technology,High
M00229,Fresh World,Travel,Medium
M00230,XYZ Electronics,Healthcare,Medium
M00231,Elite Services,Retail,Medium
M00232,ABC Mart,Food & Beverage,High
M00233,Elite Retailers,Fashion,Low
M00234,NextGen Retailers,Education,Low
M00235,Vertex World,Finance,Medium
M00236,NextGen Hub,Fashion,Low
M00237,ABC Solutions,Fashion,Low
M00238,XYZ Solutions,Electronics,Low
M00239,Global Solutions,Healthcare,Medium
M00240,XYZ Store,Finance,Low
M00241,Elite Mart,Food & Beverage,Medium
M00242,Global Hub,Fashion,Low
M00243,Elite Electronics,Education,Medium
M00244,Elite Foods,Fashion,Medium
M00245,NextGen World,Automotive,Medium
M00246,Metro Retailers,Healthcare,Low
M00247,Fresh World,Retail,Medium
M00248,Prime Mart,Finance,Medium
M00249,Elite Traders,Retail,Low
M00250,Vertex Store,Technology,High
M00251,Fresh Electronics,Fashion,Low
M00252,Fresh Traders,Technology,Medium
M00253,NextGen World,Electronics,Low
M00254,Vertex Services,Travel,Low
M00255,Fresh Solutions,Automotive,Low
M00256,XYZ Services,Finance,Low
M00257,NextGen Electronics,Food & Beverage,Medium
M00258,Global Store,Travel,Medium
M00259,Prime Hub,Finance,Low
M00260,Fresh Foods,Technology,Medium
M00261,Global World,Finance,High
M00262,NextGen Electronics,Finance,Low
M00263,Global Electronics,Education,Low
M00264,Prime Hub,Automotive,Low
M00265,XYZ Solutions,Automotive,Low
M00266,Prime Hub,Finance,Medium
M00267,Metro Traders,Technology,Medium
M00268,Nova Hub,Finance,Medium
M00269,Nova World,Electronics,High
M00270,Global Mart,Fashion,Low
M00271,Global Services,Technology,High
M00272,Prime Store,Food & Beverage,High
M00273,Metro Traders,Electronics,High
M00274,Metro Mart,Food & Beverage,High
M00275,ABC Electronics,Retail,High
M00276,Elite Store,Travel,High
M00277,Metro Electronics,Automotive,Low
M00278,Fresh Solutions,Education,Low
M00279,Metro Retailers,Finance,Low
M00280,ABC Services,Automotive,Medium
M00281,XYZ Store,Finance,High
M00282,NextGen Hub,Finance,Low
M00283,Nova World,Education,High
M00284,Vertex Services,Retail,Low
M00285,NextGen Store,Food & Beverage,High
M00286,Metro Retailers,Retail,High
M00287,Prime World,Finance,Medium
M00288,ABC Solutions,Food & Beverage,Medium
M00289,ABC Solutions,Finance,Medium
M00290,Metro World,Finance,Medium
M00291,XYZ Hub,Education,Low
M00292,Elite World,Education,High
M00293,NextGen Foods,Automotive,High
M00294,Nova Foods,Retail,Low
M00295,Metro Hub,Healthcare,Medium
M00296,XYZ Electronics,Automotive,Medium
M00297,Global Hub,Travel,Low
M00298,Metro Services,Automotive,Medium
M00299,Nova Solutions,Retail,Low
M00300,Elite Electronics,Healthcare,Medium
M00301,Prime Electronics,Education,Low
M00302,Metro Traders,Finance,High
M00303,Nova Traders,Finance,Medium
M00304,Nova Foods,Automotive,Medium
M00305,Nova Hub,Electronics,Low
M00306,Global Services,Electronics,High
M00307,Metro Foods,Travel,Low
M00308,Fresh Retailers,Finance,Low
M00309,Metro Retailers,Technology,Medium
M00310,NextGen Traders,Travel,Medium
M00311,Fresh Services,Finance,High
M00312,Metro World,Travel,High
M00313,XYZ Store,Education,Medium
M00314,Fresh World,Travel,Low
M00315,Prime Electronics,Education,Medium
M00316,ABC Services,Finance,Medium
M00317,Global Hub,Finance,Medium
M00318,Fresh Solutions,Food & Beverage,High
M00319,XYZ Retailers,Technology,High
M00320,Fresh Foods,Healthcare,High
M00321,Nova Mart,Education,Medium
M00322,Vertex Foods,Healthcare,High
M00323,Metro Retailers,Finance,Medium
M00324,Nova Retailers,Retail,Low
M00325,Nova Foods,Food & Beverage,High
M00326,Vertex Foods,Retail,Medium
M00327,Metro Mart,Fashion,Low
M00328,Vertex Retailers,Technology,Low
M00329,Global Electronics,Travel,High
M00330,Vertex Services,Education,High
M00331,Elite Store,Education,High
M00332,Prime Services,Fashion,High
M00333,NextGen Solutions,Fashion,High
M00334,ABC Store,Travel,Medium
M00335,Prime Solutions,Electronics,Medium
M00336,XYZ Mart,Retail,High
M00337,Prime Hub,Healthcare,Low
M00338,Fresh World,Education,High
M00339,Metro Retailers,Food & Beverage,High
M00340,Metro Solutions,Education,Low
M00341,Elite Mart,Electronics,Medium
M00342,XYZ Electronics,Food & Beverage,Low
M00343,Fresh Mart,Finance,Low
M00344,Elite Mart,Travel,Medium
M00345,Metro Foods,Healthcare,Medium
M00346,XYZ Traders,Electronics,Medium
M00347,Elite Solutions,Travel,High
M00348,Global Traders,Healthcare,Low
M00349,Nova Foods,Technology,High
M00350,Metro Solutions,Electronics,Medium
M00351,Nova Electronics,Electronics,Low
M00352,ABC Mart,Automotive,Low
M00353,Nova Store,Technology,High
M00354,Vertex Store,Technology,Low
M00355,Metro Electronics,Retail,Medium
M00356,Vertex Foods,Fashion,Low
M00357,Fresh Electronics,Retail,Low
M00358,ABC Store,Fashion,Low
M00359,ABC World,Finance,Low
M00360,Fresh Hub,Electronics,Medium
M00361,Vertex Electronics,Automotive,Low
M00362,Nova Traders,Automotive,Low
M00363,XYZ Mart,Technology,Medium
M00364,Global Mart,Retail,High
M00365,Vertex Traders,Healthcare,Low
M00366,Metro Electronics,Technology,Medium
M00367,Vertex Hub,Fashion,High
M00368,Fresh World,Healthcare,Low
M00369,XYZ Solutions,Electronics,High
M00370,Nova Store,Education,High
M00371,Global Electronics,Automotive,Medium
M00372,ABC Traders,Retail,High
M00373,Fresh Foods,Retail,Low
M00374,NextGen Store,Healthcare,Medium
M00375,Metro Electronics,Automotive,High
M00376,Fresh Foods,Technology,Medium
M00377,Global Store,Fashion,Low
M00378,Prime Traders,Technology,Low
M00379,ABC Hub,Automotive,High
M00380,ABC Retailers,Electronics,Low
M00381,NextGen Store,Healthcare,Medium
M00382,Nova Foods,Travel,Medium
M00383,Metro World,Finance,High
M00384,XYZ Solutions,Electronics,Low
M00385,NextGen Hub,Healthcare,Low
M00386,Elite Foods,Automotive,High
M00387,ABC Retailers,Fashion,Low
M00388,Elite Foods,Retail,High
M00389,XYZ Electronics,Fashion,Low
M00390,XYZ Solutions,Fashion,Medium
M00391,Prime Store,Education,High
M00392,Vertex World,Finance,Low
M00393,Elite Mart,Finance,High
M00394,Metro Retailers,Automotive,Low
M00395,ABC Traders,Retail,Medium
M00396,ABC Foods,Finance,High
M00397,Elite Traders,Technology,Low
M00398,Vertex Hub,Fashion,Medium
M00399,XYZ Electronics,Food & Beverage,Low
M00400,NextGen World,Food & Beverage,High
M00401,NextGen Foods,Travel,Low
M00402,Fresh Hub,Technology,High
M00403,NextGen Mart,Electronics,Medium
M00404,Elite Retailers,Fashion,Medium
M00405,Metro Hub,Finance,Medium
M00406,XYZ Mart,Electronics,Medium
M00407,Fresh Foods,Automotive,Low
M00408,NextGen Retailers,Food & Beverage,Medium
M00409,Global Foods,Fashion,Medium
M00410,NextGen Traders,Travel,Medium
M00411,Prime Retailers,Automotive,Medium
M00412,Metro Services,Automotive,Medium
M00413,Fresh Hub,Finance,Medium
M00414,NextGen Store,Food & Beverage,High
M00415,XYZ World,Technology,Medium
M00416,Prime Mart,Education,Medium
M00417,Vertex World,Healthcare,High
M00418,Prime Retailers,Fashion,Medium
M00419,Metro Solutions,Technology,Medium
M00420,NextGen Electronics,Technology,High
M00421,ABC Mart,Automotive,Low
M00422,XYZ Hub,Finance,Low
M00423,Elite Traders,Finance,High
M00424,Vertex Solutions,Technology,Medium
M00425,Elite World,Finance,Low
M00426,Prime Traders,Finance,High
M00427,NextGen Foods,Travel,Medium
M00428,NextGen World,Retail,High
M00429,ABC Solutions,Automotive,Medium
M00430,Nova Electronics,Retail,Low
M00431,Metro Solutions,Electronics,Medium
M00432,Elite World,Electronics,Low
M00433,Metro Store,Finance,High
M00434,Metro Electronics,Electronics,Medium
M00435,XYZ Mart,Travel,Medium
M00436,Vertex Services,Healthcare,Medium
M00437,NextGen Mart,Technology,High
M00438,ABC Electronics,Food & Beverage,High
M00439,NextGen Store,Travel,Low
M00440,Elite Retailers,Finance,High
M00441,Global Hub,Retail,Medium
M00442,Prime Retailers,Technology,High
M00443,Nova Mart,Healthcare,Low
M00444,NextGen World,Electronics,Low
M00445,XYZ Foods,Electronics,Low
M00446,Metro Electronics,Retail,High
M00447,Elite Services,Healthcare,Medium
M00448,ABC World,Food & Beverage,Medium
M00449,Vertex Electronics,Electronics,High
M00450,NextGen Solutions,Technology,Low
M00451,Global World,Technology,High
M00452,NextGen Solutions,Automotive,High
M00453,ABC Store,Food & Beverage,Medium
M00454,Global Solutions,Technology,Medium
M00455,Vertex World,Technology,Medium
M00456,Global Services,Automotive,Medium
M00457,Nova Retailers,Finance,Medium
M00458,NextGen Solutions,Automotive,Medium
M00459,XYZ Retailers,Automotive,High
M00460,Fresh World,Healthcare,High
M00461,NextGen Retailers,Automotive,High
M00462,Elite Retailers,Finance,High
M00463,Nova Mart,Finance,Medium
M00464,Prime Mart,Retail,High
M00465,ABC Solutions,Food & Beverage,High
M00466,Vertex Hub,Automotive,High
M00467,NextGen Traders,Finance,High
M00468,XYZ Electronics,Travel,Low
M00469,NextGen World,Education,Low
M00470,Elite Traders,Technology,Low
M00471,ABC Retailers,Travel,High
M00472,Global Solutions,Finance,High
M00473,Metro Traders,Education,Low
M00474,Nova Retailers,Healthcare,Medium
M00475,Global Mart,Electronics,High
M00476,Fresh Foods,Education,Low
M00477,Metro World,Healthcare,Medium
M00478,XYZ Services,Fashion,Low
M00479,ABC Electronics,Fashion,High
M00480,ABC Store,Automotive,Medium
M00481,Metro Hub,Fashion,Medium
M00482,Vertex Solutions,Fashion,High
M00483,Vertex Retailers,Electronics,Low
M00484,Elite Services,Fashion,Low
M00485,Fresh Services,Automotive,Low
M00486,Fresh Retailers,Fashion,Medium
M00487,Fresh Mart,Electronics,Medium
M00488,Elite World,Fashion,Low
M00489,Fresh Hub,Food & Beverage,High
M00490,Elite Services,Technology,Medium
M00491,Fresh World,Fashion,Low
M00492,XYZ Foods,Food & Beverage,Medium
M00493,NextGen Mart,Automotive,Medium
M00494,XYZ Services,Automotive,High
M00495,Metro Foods,Travel,Medium
M00496,Prime Mart,Travel,Medium
M00497,Global Services,Retail,Low
M00498,ABC Solutions,Technology,High
M00499,XYZ Foods,Retail,Medium
M00500,Vertex Store,Automotive,Medium
M00501,ABC Solutions,Finance,Low
M00502,Elite Mart,Food & Beverage,Low
M00503,Global Foods,Food & Beverage,Medium
M00504,Prime Hub,Education,Medium
M00505,Nova Foods,Travel,Low
M00506,NextGen Electronics,Technology,High
M00507,XYZ Retailers,Automotive,Medium
M00508,NextGen World,Travel,High
M00509,Nova Traders,Electronics,Medium
M00510,XYZ Foods,Automotive,Medium
M00511,Fresh Hub,Automotive,Low
M00512,XYZ Store,Education,Low
M00513,Vertex Store,Food & Beverage,Low
M00514,Metro Mart,Healthcare,Medium
M00515,Prime Mart,Education,Medium
M00516,XYZ Services,Healthcare,Medium
M00517,XYZ Retailers,Travel,Low
M00518,Vertex Electronics,Technology,Medium
M00519,Prime Traders,Travel,High
M00520,Fresh Hub,Travel,Low
M00521,XYZ Services,Healthcare,Medium
M00522,Metro World,Travel,High
M00523,Metro Hub,Food & Beverage,High
M00524,Global Traders,Food & Beverage,High
M00525,ABC Retailers,Education,High
M00526,Vertex Services,Electronics,High
M00527,Elite Solutions,Education,High
M00528,Fresh Solutions,Travel,Medium
M00529,Vertex Mart,Education,Low
M00530,Nova Traders,Education,Low
M00531,Elite Solutions,Automotive,High
M00532,Metro Traders,Fashion,High
M00533,Global World,Travel,Medium
M00534,XYZ Traders,Travel,High
M00535,ABC Foods,Food & Beverage,High
M00536,XYZ Hub,Travel,Low
M00537,Vertex Foods,Electronics,Medium
M00538,XYZ World,Travel,High
M00539,XYZ Foods,Food & Beverage,High
M00540,Global Retailers,Travel,Low
M00541,XYZ Foods,Finance,Medium
M00542,Global Store,Automotive,Low
M00543,Nova Retailers,Electronics,High
M00544,Vertex Solutions,Automotive,High
M00545,Elite World,Automotive,Low
M00546,ABC Hub,Technology,High
M00547,Global Hub,Retail,Low
M00548,Prime World,Retail,High
M00549,XYZ Solutions,Technology,Low
M00550,ABC Mart,Fashion,Low
M00551,NextGen Foods,Technology,High
M00552,Prime Foods,Retail,Medium
M00553,Prime Traders,Electronics,Medium
M00554,NextGen Mart,Food & Beverage,High
M00555,Fresh Hub,Finance,High
M00556,ABC Traders,Electronics,High
M00557,Fresh Foods,Automotive,Medium
M00558,Global World,Electronics,High
M00559,Nova Electronics,Travel,High
M00560,XYZ Traders,Technology,Medium
M00561,Prime Store,Automotive,High
M00562,ABC Services,Travel,Medium
M00563,Fresh Mart,Electronics,Low
M00564,Fresh Foods,Retail,Medium
M00565,ABC Hub,Retail,Medium
M00566,Global Retailers,Retail,Medium
M00567,XYZ World,Automotive,Low
M00568,ABC Retailers,Travel,Low
M00569,Fresh Hub,Automotive,Medium
M00570,NextGen Electronics,Education,High
M00571,Prime Services,Electronics,Low
M00572,Global Solutions,Retail,Medium
M00573,Metro World,Education,Low
M00574,Fresh Services,Fashion,Low
M00575,Nova Foods,Electronics,High
M00576,Metro Retailers,Retail,High
M00577,Nova Mart,Travel,High
M00578,Global Solutions,Retail,Low
M00579,Fresh Retailers,Electronics,Medium
M00580,Vertex Hub,Travel,High
M00581,ABC Foods,Food & Beverage,High
M00582,XYZ World,Technology,High
M00583,Global Retailers,Retail,Medium
M00584,NextGen Electronics,Finance,Low
M00585,ABC Hub,Food & Beverage,Low
M00586,XYZ Hub,Retail,High
M00587,ABC Hub,Technology,High
M00588,Nova Traders,Healthcare,High
M00589,ABC Hub,Food & Beverage,Medium
M00590,Global Solutions,Healthcare,Low
M00591,Vertex World,Food & Beverage,Medium
M00592,Metro Mart,Travel,Low
M00593,Nova Hub,Education,Low
M00594,Nova Retailers,Education,Medium
M00595,ABC Hub,Technology,Medium
M00596,XYZ Mart,Healthcare,Low
M00597,Global Mart,Automotive,Low
M00598,Elite Solutions,Finance,High
M00599,Fresh Store,Healthcare,Low
M00600,Metro Mart,Finance,Medium
M00601,XYZ Services,Retail,Medium
M00602,ABC Solutions,Education,Medium
M00603,Vertex Foods,Technology,High
M00604,XYZ Solutions,Electronics,Low
M00605,Nova World,Fashion,Medium
M00606,Prime World,Retail,Low
M00607,NextGen Solutions,Automotive,Medium
M00608,ABC Foods,Retail,Low
M00609,XYZ Foods,Technology,Medium
M00610,ABC Solutions,Retail,Low
M00611,Vertex World,Electronics,High
M00612,Vertex Traders,Education,High
M00613,Prime Electronics,Retail,High
M00614,NextGen Electronics,Technology,Medium
M00615,ABC World,Fashion,Low
M00616,Prime Electronics,Healthcare,High
M00617,Elite Mart,Food & Beverage,High
M00618,XYZ Mart,Travel,High
M00619,NextGen Foods,Education,High
M00620,Vertex Retailers,Fashion,High
M00621,Elite Mart,Travel,Low
M00622,Fresh Electronics,Education,Low
M00623,XYZ Mart,Travel,High
M00624,Prime Foods,Education,Medium
M00625,ABC Traders,Fashion,Low
M00626,Nova Solutions,Electronics,High
M00627,Vertex Electronics,Travel,Low
M00628,Metro Hub,Technology,Low
M00629,NextGen World,Food & Beverage,Low
M00630,ABC Electronics,Education,Low
M00631,NextGen Foods,Education,High
M00632,ABC Mart,Electronics,Medium
M00633,Nova Mart,Electronics,Low
M00634,Fresh Store,Electronics,Low
M00635,Prime Mart,Technology,Low
M00636,Global Store,Electronics,Low
M00637,ABC World,Electronics,High
M00638,XYZ Store,Healthcare,Low
M00639,ABC Hub,Travel,Low
M00640,Prime Solutions,Retail,High
M00641,ABC Mart,Technology,High
M00642,XYZ Electronics,Electronics,Medium
M00643,ABC Retailers,Electronics,High
M00644,Nova Store,Healthcare,High
M00645,Vertex Traders,Retail,High
M00646,ABC Mart,Technology,Medium
M00647,Fresh Foods,Food & Beverage,Low
M00648,NextGen Electronics,Education,Medium
M00649,XYZ Services,Travel,Low
M00650,Prime Services,Fashion,High
M00651,ABC Services,Food & Beverage,Low
M00652,Metro Retailers,Retail,High
M00653,NextGen Hub,Fashion,High
M00654,ABC Retailers,Electronics,Medium
M00655,Fresh World,Travel,High
M00656,ABC Foods,Travel,Low
M00657,Nova Solutions,Travel,Medium
M00658,Prime Foods,Automotive,Low
M00659,Vertex Electronics,Fashion,High
M00660,Elite Hub,Finance,Medium
M00661,Fresh Mart,Technology,Low
M00662,Elite Traders,Healthcare,Medium
M00663,XYZ World,Healthcare,High
M00664,ABC Mart,Fashion,High
M00665,ABC World,Automotive,Low
M00666,Nova Hub,Technology,Low
M00667,Fresh Hub,Fashion,High
M00668,Global Hub,Healthcare,Low
M00669,Metro Mart,Retail,High
M00670,Nova Mart,Healthcare,Medium
M00671,ABC Store,Technology,High
M00672,Metro Foods,Fashion,High
M00673,Fresh Solutions,Education,High
M00674,ABC Foods,Healthcare,High
M00675,ABC World,Automotive,Medium
M00676,Vertex Retailers,Travel,High
M00677,ABC Hub,Automotive,Low
M00678,Elite Solutions,Technology,Medium
M00679,Fresh Electronics,Electronics,Medium
M00680,Fresh Solutions,Technology,Low
M00681,Metro Electronics,Food & Beverage,Low
M00682,Fresh Store,Finance,Low
M00683,XYZ Retailers,Finance,Medium
M00684,Vertex Retailers,Food & Beverage,High
M00685,Vertex Mart,Education,Low
M00686,Metro Electronics,Electronics,High
M00687,Metro Retailers,Retail,Medium
M00688,Elite Services,Fashion,High
M00689,XYZ Hub,Retail,High
M00690,Nova Traders,Technology,High
M00691,Metro Retailers,Retail,High
M00692,ABC Mart,Food & Beverage,Low
M00693,Global Mart,Travel,Low
M00694,ABC Mart,Retail,Low
M00695,XYZ Hub,Electronics,Low
M00696,Fresh Traders,Finance,High
M00697,Fresh Electronics,Food & Beverage,Low
M00698,Metro World,Retail,Medium
M00699,XYZ Hub,Technology,High
M00700,NextGen Foods,Healthcare,Medium
M00701,Global Electronics,Food & Beverage,Low
M00702,Metro Mart,Electronics,Medium
M00703,ABC Services,Education,Low
M00704,Metro Electronics,Food & Beverage,High
M00705,Prime Traders,Automotive,High
M00706,Fresh World,Retail,Medium
M00707,Nova Traders,Food & Beverage,Low
M00708,NextGen Services,Electronics,Low
M00709,Elite Hub,Fashion,Medium
M00710,Fresh Services,Retail,Medium
M00711,Prime World,Fashion,High
M00712,NextGen Traders,Healthcare,High
M00713,Prime Mart,Electronics,Medium
M00714,Elite Electronics,Travel,High
M00715,Metro Mart,Fashion,High
M00716,XYZ Services,Retail,Low
M00717,Elite Services,Finance,Medium
M00718,Global Services,Healthcare,Low
M00719,Vertex Store,Travel,Medium
M00720,Nova Retailers,Healthcare,Medium
M00721,Nova Mart,Education,Low
M00722,Global Services,Food & Beverage,High
M00723,Nova Hub,Fashion,Low
M00724,ABC Services,Automotive,Medium
M00725,Fresh Mart,Fashion,Medium
M00726,ABC Retailers,Finance,Low
M00727,Global Store,Education,Low
M00728,Elite Services,Education,High
M00729,ABC Solutions,Electronics,High
M00730,Prime Foods,Fashion,Medium
M00731,Elite Store,Fashion,Medium
M00732,Metro Mart,Healthcare,High
M00733,Elite Mart,Retail,Medium
M00734,XYZ Foods,Fashion,Medium
